task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,baseline,without_positioning,linear_qr,0.1,all,577,6.867250712888199,6.023763168240579,-0.14002667785725498,0.1663778162911612
observed_change,baseline,without_positioning,linear_qr,0.1,2026-01,220,4.516640653964415,5.511596359877639,0.180520422931572,0.05454545454545454
observed_change,baseline,without_positioning,linear_qr,0.1,2026-02,204,4.9762727107318225,4.556566992556258,-0.092110072969674,0.11764705882352941
observed_change,baseline,without_positioning,linear_qr,0.1,2026-03,153,12.768516891993647,8.716473741308869,-0.4648718358986672,0.39215686274509803
observed_change,baseline,without_positioning,linear_qr,0.5,all,577,12.525420765372628,12.329308003990924,-0.01590622614977444,0.5632582322357019
observed_change,baseline,without_positioning,linear_qr,0.5,2026-01,220,10.279883545587674,10.572698450086417,0.027695380311953288,0.4727272727272727
observed_change,baseline,without_positioning,linear_qr,0.5,2026-02,204,11.038302237867427,10.918541722386703,-0.010968544932623558,0.5735294117647058
observed_change,baseline,without_positioning,linear_qr,0.5,2026-03,153,17.737122516769684,16.736173515796487,-0.059807518130022164,0.6797385620915033
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,all,577,6.330383319868014,6.023763168240579,-0.050901760753816916,0.14211438474870017
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-01,220,4.573514980054364,5.511596359877639,0.17020139331177375,0.07272727272727272
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-02,204,4.7227151497851345,4.556566992556258,-0.03646345099288584,0.08333333333333333
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-03,153,11.000156793436055,8.716473741308869,-0.2619962062530423,0.3202614379084967
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,all,577,12.615426168168977,12.329308003990924,-0.023206344109940158,0.5424610051993067
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-01,220,10.73658196084912,10.572698450086417,-0.015500632268705683,0.4681818181818182
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-02,204,10.876821231900314,10.918541722386703,0.0038210680095537297,0.5343137254901961
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-03,153,17.635172132934827,16.736173515796487,-0.05371589965231993,0.6601307189542484
observed_change,baseline,with_positioning,linear_qr,0.1,all,577,6.867250712888199,6.023763168240579,-0.14002667785725498,0.1663778162911612
observed_change,baseline,with_positioning,linear_qr,0.1,2026-01,220,4.516640653964415,5.511596359877639,0.180520422931572,0.05454545454545454
observed_change,baseline,with_positioning,linear_qr,0.1,2026-02,204,4.9762727107318225,4.556566992556258,-0.092110072969674,0.11764705882352941
observed_change,baseline,with_positioning,linear_qr,0.1,2026-03,153,12.768516891993647,8.716473741308869,-0.4648718358986672,0.39215686274509803
observed_change,baseline,with_positioning,linear_qr,0.5,all,577,12.55592358565854,12.329308003990924,-0.018380235256858057,0.5632582322357019
observed_change,baseline,with_positioning,linear_qr,0.5,2026-01,220,10.346317693991535,10.572698450086417,0.021411823780241424,0.4727272727272727
observed_change,baseline,with_positioning,linear_qr,0.5,2026-02,204,11.038302237867427,10.918541722386703,-0.010968544932623558,0.5735294117647058
observed_change,baseline,with_positioning,linear_qr,0.5,2026-03,153,17.75662980210382,16.736173515796487,-0.060973094318373944,0.6797385620915033
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,all,577,6.382210065478162,6.023763168240579,-0.059505476431650495,0.15077989601386482
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-01,220,4.587702449417737,5.511596359877639,0.16762728076125166,0.07272727272727272
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-02,204,4.684471738925978,4.556566992556258,-0.028070419370255895,0.08823529411764706
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-03,153,11.22619891613136,8.716473741308869,-0.2879289549085051,0.3464052287581699
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,all,577,12.553764305359636,12.329308003990924,-0.018205101315990735,0.5320623916811091
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-01,220,10.820080297632844,10.572698450086417,-0.02339817490438345,0.4590909090909091
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-02,204,10.648223269474213,10.918541722386703,0.024757743276123123,0.5196078431372549
