definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,outcome,group,estimate,lo,hi,bootstrap_valid,p,group_n,group_days
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,basket_weights,discount,0.0023604137373997762,0.0007214465395807769,0.004160623378566486,1.0,0.008,93,50
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,basket_weights,premium,-0.001928560325573184,-0.0034737630097919263,0.00018222777951422577,1.0,0.047,35,27
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,numeraire,discount,-0.074095346803671,-0.1679101440258095,0.012229143441654352,1.0,0.121,93,50
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,numeraire,premium,-0.12744461369915258,-0.28854324946083176,0.09917981971145037,1.0,0.1875,35,27
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,global_control,discount,0.014050706344758006,-0.06487605184455701,0.1010437513609199,1.0,0.7545,93,50
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,global_control,premium,-0.08382761656142278,-0.2050329894677571,0.05391528797397267,1.0,0.208,35,27
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,total,discount,6.204663274098361,5.083854915160009,7.304095967422873,1.0,0.0005,93,50
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,total,premium,6.5242792964482375,4.795233826686282,8.606802566062983,1.0,0.0005,35,27
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,dominance,discount,10.968559150555011,0.7740085842444878,22.402644577559535,1.0,0.049,93,50
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,dominance,premium,2.6260940209017285,-13.624221362244718,16.003830523564332,1.0,0.704,35,27
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,local,discount,8.615453325687382,3.67500189872172,14.111147258102443,1.0,0.003,93,50
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,local,premium,4.681787053968108,-2.8327183400600244,11.086624819246394,1.0,0.184,35,27
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,basket_price,discount,-2.3531058248676295,-8.394231098370492,2.798992271460398,1.0,0.4095,93,50
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,basket_price,premium,2.055693033066381,-4.90308345632942,11.172458845421005,1.0,0.581,35,27
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,basket_weights,discount,0.0023604137373997762,0.0007214465395807769,0.004160623378566486,1.0,0.008,93,50
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,basket_weights,premium,-0.001928560325573184,-0.0034737630097919263,0.00018222777951422577,1.0,0.047,35,27
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,numeraire,discount,-0.074095346803671,-0.1679101440258095,0.012229143441654352,1.0,0.121,93,50
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,numeraire,premium,-0.12744461369915258,-0.28854324946083176,0.09917981971145037,1.0,0.1875,35,27
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,global_control,discount,0.014050706344758006,-0.06487605184455701,0.1010437513609199,1.0,0.7545,93,50
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,global_control,premium,-0.08382761656142278,-0.2050329894677571,0.05391528797397267,1.0,0.208,35,27
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,total,discount,6.204663274098361,5.083854915160009,7.304095967422873,1.0,0.0005,93,50
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,total,premium,6.5242792964482375,4.795233826686282,8.606802566062983,1.0,0.0005,35,27
