definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,outcome,group,estimate,lo,hi,bootstrap_valid,p,group_n,group_days
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,dominance,premium,3.24320770943994,-2.2647001834195843,9.953432642384017,1.0,0.2845,35,27
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,local,discount,1.7696234540770717,-0.46901661419321905,4.491157850899454,1.0,0.161,93,50
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,local,premium,4.700053858776906,1.9840038123766064,8.63441403821775,1.0,0.012,35,27
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,basket_price,discount,2.4689762964833135,-0.21219499054733532,4.836181749991383,1.0,0.056,93,50
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,basket_price,premium,1.4568461493369667,-1.8552475205220031,5.3227316790757895,1.0,0.394,35,27
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,basket_weights,discount,0.00017352147565097815,-0.000311486474109789,0.000621855814896095,1.0,0.439,93,50
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,basket_weights,premium,-0.0009855033229775937,-0.002229155809856231,8.686949636519685e-05,1.0,0.097,35,27
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,numeraire,discount,0.005174210845333894,-0.02028554677626539,0.027367216843523168,1.0,0.681,93,50
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,numeraire,premium,-0.06384635073028996,-0.1459554118532408,-0.004965769096658971,1.0,0.0685,35,27
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,global_control,discount,-0.005584373453110558,-0.03559159523696814,0.02455581466991911,1.0,0.7235,93,50
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,global_control,premium,-0.014858325486467785,-0.060033485090639306,0.05244242567724464,1.0,0.5985,35,27
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,total,discount,4.238363109428382,3.428614752051633,5.112602918351818,1.0,0.0005,93,50
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,total,premium,6.077209828574261,3.8061012366990012,9.802066024855677,1.0,0.0025,35,27
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,dominance,discount,-0.6993528424062423,-5.233671380211089,4.623603234261575,1.0,0.774,93,50
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,dominance,premium,3.24320770943994,-2.2647001834195843,9.953432642384017,1.0,0.2845,35,27
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,local,discount,1.7696234540770717,-0.46901661419321905,4.491157850899454,1.0,0.161,93,50
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,local,premium,4.700053858776906,1.9840038123766064,8.63441403821775,1.0,0.012,35,27
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,basket_price,discount,2.4689762964833135,-0.21219499054733532,4.836181749991383,1.0,0.056,93,50
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,basket_price,premium,1.4568461493369667,-1.8552475205220031,5.3227316790757895,1.0,0.394,35,27
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,basket_weights,discount,0.00017352147565097815,-0.000311486474109789,0.000621855814896095,1.0,0.439,93,50
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,basket_weights,premium,-0.0009855033229775937,-0.002229155809856231,8.686949636519685e-05,1.0,0.097,35,27
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,numeraire,discount,0.005174210845333894,-0.02028554677626539,0.027367216843523168,1.0,0.681,93,50
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,numeraire,premium,-0.06384635073028996,-0.1459554118532408,-0.004965769096658971,1.0,0.0685,35,27
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,global_control,discount,-0.005584373453110558,-0.03559159523696814,0.02455581466991911,1.0,0.7235,93,50
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,global_control,premium,-0.014858325486467785,-0.060033485090639306,0.05244242567724464,1.0,0.5985,35,27
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,total,discount,4.238363109428382,3.428614752051633,5.112602918351818,1.0,0.0005,93,50
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,total,premium,6.077209828574261,3.8061012366990012,9.802066024855677,1.0,0.0025,35,27
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,dominance,discount,-0.6993528424062423,-5.233671380211089,4.623603234261575,1.0,0.774,93,50
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,dominance,premium,3.24320770943994,-2.2647001834195843,9.953432642384017,1.0,0.2845,35,27
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,local,discount,1.7696234540770717,-0.46901661419321905,4.491157850899454,1.0,0.161,93,50
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,local,premium,4.700053858776906,1.9840038123766064,8.63441403821775,1.0,0.012,35,27
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,basket_price,discount,2.4689762964833135,-0.21219499054733532,4.836181749991383,1.0,0.056,93,50
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,basket_price,premium,1.4568461493369667,-1.8552475205220031,5.3227316790757895,1.0,0.394,35,27
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,basket_weights,discount,0.00017352147565097815,-0.000311486474109789,0.000621855814896095,1.0,0.439,93,50
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,basket_weights,premium,-0.0009855033229775937,-0.002229155809856231,8.686949636519685e-05,1.0,0.097,35,27
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,numeraire,discount,0.005174210845333894,-0.02028554677626539,0.027367216843523168,1.0,0.681,93,50
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,numeraire,premium,-0.06384635073028996,-0.1459554118532408,-0.004965769096658971,1.0,0.0685,35,27
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,global_control,discount,-0.005584373453110558,-0.03559159523696814,0.02455581466991911,1.0,0.7235,93,50
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,global_control,premium,-0.014858325486467785,-0.060033485090639306,0.05244242567724464,1.0,0.5985,35,27
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,total,discount,4.238363109428382,3.428614752051633,5.112602918351818,1.0,0.0005,93,50
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,total,premium,6.077209828574261,3.8061012366990012,9.802066024855677,1.0,0.0025,35,27
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,dominance,discount,-0.6993528424062423,-5.233671380211089,4.623603234261575,1.0,0.774,93,50
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,dominance,premium,3.24320770943994,-2.2647001834195843,9.953432642384017,1.0,0.2845,35,27
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,local,discount,8.615453325687382,3.67500189872172,14.111147258102443,1.0,0.003,93,50
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,local,premium,4.681787053968108,-2.8327183400600244,11.086624819246394,1.0,0.184,35,27
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,basket_price,discount,-2.3531058248676295,-8.394231098370492,2.798992271460398,1.0,0.4095,93,50
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,basket_price,premium,2.055693033066381,-4.90308345632942,11.172458845421005,1.0,0.581,35,27
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,basket_weights,discount,0.0023604137373997762,0.0007214465395807769,0.004160623378566486,1.0,0.008,93,50
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,basket_weights,premium,-0.001928560325573184,-0.0034737630097919263,0.00018222777951422577,1.0,0.047,35,27
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,numeraire,discount,-0.074095346803671,-0.1679101440258095,0.012229143441654352,1.0,0.121,93,50
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,numeraire,premium,-0.12744461369915258,-0.28854324946083176,0.09917981971145037,1.0,0.1875,35,27
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,global_control,discount,0.014050706344758006,-0.06487605184455701,0.1010437513609199,1.0,0.7545,93,50
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,global_control,premium,-0.08382761656142278,-0.2050329894677571,0.05391528797397267,1.0,0.208,35,27
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,total,discount,6.204663274098361,5.083854915160009,7.304095967422873,1.0,0.0005,93,50
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,total,premium,6.5242792964482375,4.795233826686282,8.606802566062983,1.0,0.0005,35,27
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,dominance,discount,10.968559150555011,0.7740085842444878,22.402644577559535,1.0,0.049,93,50
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,dominance,premium,2.6260940209017285,-13.624221362244718,16.003830523564332,1.0,0.704,35,27
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,local,discount,8.615453325687382,3.67500189872172,14.111147258102443,1.0,0.003,93,50
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,local,premium,4.681787053968108,-2.8327183400600244,11.086624819246394,1.0,0.184,35,27
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,basket_price,discount,-2.3531058248676295,-8.394231098370492,2.798992271460398,1.0,0.4095,93,50
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,basket_price,premium,2.055693033066381,-4.90308345632942,11.172458845421005,1.0,0.581,35,27
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,basket_weights,discount,0.0023604137373997762,0.0007214465395807769,0.004160623378566486,1.0,0.008,93,50
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,basket_weights,premium,-0.001928560325573184,-0.0034737630097919263,0.00018222777951422577,1.0,0.047,35,27
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,numeraire,discount,-0.074095346803671,-0.1679101440258095,0.012229143441654352,1.0,0.121,93,50
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,numeraire,premium,-0.12744461369915258,-0.28854324946083176,0.09917981971145037,1.0,0.1875,35,27
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,global_control,discount,0.014050706344758006,-0.06487605184455701,0.1010437513609199,1.0,0.7545,93,50
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,global_control,premium,-0.08382761656142278,-0.2050329894677571,0.05391528797397267,1.0,0.208,35,27
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,total,discount,6.204663274098361,5.083854915160009,7.304095967422873,1.0,0.0005,93,50
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,total,premium,6.5242792964482375,4.795233826686282,8.606802566062983,1.0,0.0005,35,27
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,dominance,discount,10.968559150555011,0.7740085842444878,22.402644577559535,1.0,0.049,93,50
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,dominance,premium,2.6260940209017285,-13.624221362244718,16.003830523564332,1.0,0.704,35,27
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,local,discount,8.615453325687382,3.67500189872172,14.111147258102443,1.0,0.003,93,50
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,local,premium,4.681787053968108,-2.8327183400600244,11.086624819246394,1.0,0.184,35,27
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,basket_price,discount,-2.3531058248676295,-8.394231098370492,2.798992271460398,1.0,0.4095,93,50
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,basket_price,premium,2.055693033066381,-4.90308345632942,11.172458845421005,1.0,0.581,35,27
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,basket_weights,discount,0.0023604137373997762,0.0007214465395807769,0.004160623378566486,1.0,0.008,93,50
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,basket_weights,premium,-0.001928560325573184,-0.0034737630097919263,0.00018222777951422577,1.0,0.047,35,27
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,numeraire,discount,-0.074095346803671,-0.1679101440258095,0.012229143441654352,1.0,0.121,93,50
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,numeraire,premium,-0.12744461369915258,-0.28854324946083176,0.09917981971145037,1.0,0.1875,35,27
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,global_control,discount,0.014050706344758006,-0.06487605184455701,0.1010437513609199,1.0,0.7545,93,50
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,global_control,premium,-0.08382761656142278,-0.2050329894677571,0.05391528797397267,1.0,0.208,35,27
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,total,discount,6.204663274098361,5.083854915160009,7.304095967422873,1.0,0.0005,93,50
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,total,premium,6.5242792964482375,4.795233826686282,8.606802566062983,1.0,0.0005,35,27
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,dominance,discount,10.968559150555011,0.7740085842444878,22.402644577559535,1.0,0.049,93,50
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,dominance,premium,2.6260940209017285,-13.624221362244718,16.003830523564332,1.0,0.704,35,27
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,local,discount,8.615453325687382,3.67500189872172,14.111147258102443,1.0,0.003,93,50
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,local,premium,4.681787053968108,-2.8327183400600244,11.086624819246394,1.0,0.184,35,27
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,basket_price,discount,-2.3531058248676295,-8.394231098370492,2.798992271460398,1.0,0.4095,93,50
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,basket_price,premium,2.055693033066381,-4.90308345632942,11.172458845421005,1.0,0.581,35,27
