definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,status
CAP,1,forest20,20260926,common_path,5,5,128,35,93,67,adequate
CAP,1,forest20,20260927,common_path,5,5,128,35,93,67,adequate
CAP,1,forest40,20260926,common_path,5,5,128,35,93,67,adequate
CAP,1,forest40,20260927,common_path,5,5,128,35,93,67,adequate
CAP,1,linear,20260926,common_path,5,5,128,35,93,67,adequate
CAP,6,forest20,20260926,common_path,5,5,128,35,93,67,adequate
CAP,6,forest20,20260927,common_path,5,5,128,35,93,67,adequate
CAP,6,forest40,20260926,common_path,5,5,128,35,93,67,adequate
CAP,6,forest40,20260927,common_path,5,5,128,35,93,67,adequate
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,adequate
CAP,12,forest20,20260926,full,5,1,275,91,184,74,adequate
CAP,12,forest20,20260926,full,5,5,275,91,184,74,adequate
CAP,12,forest20,20260926,full,5,10,275,91,184,74,adequate
CAP,12,forest20,20260926,full,0,5,509,202,307,78,adequate
CAP,12,forest20,20260926,full,10,5,98,30,68,50,adequate
CAP,12,forest20,20260926,nonoverlap,5,5,109,40,69,71,adequate
CAP,12,forest20,20260926,overlap,5,5,214,70,144,71,adequate
CAP,12,forest20,20260926,2025-12,5,5,65,28,37,22,adequate
CAP,12,forest20,20260926,without_2025-12,5,5,210,63,147,52,adequate
CAP,12,forest20,20260926,2026-01,5,5,78,14,64,19,limited
CAP,12,forest20,20260926,without_2026-01,5,5,197,77,120,55,adequate
CAP,12,forest20,20260926,2026-02,5,5,58,27,31,19,adequate
CAP,12,forest20,20260926,without_2026-02,5,5,217,64,153,55,adequate
CAP,12,forest20,20260926,2026-03,5,5,74,22,52,14,adequate
CAP,12,forest20,20260926,without_2026-03,5,5,201,69,132,60,adequate
CAP,12,forest20,20260926,common_path,5,5,128,35,93,67,adequate
CAP,12,forest20,20260927,full,5,1,275,91,184,74,adequate
CAP,12,forest20,20260927,full,5,5,275,91,184,74,adequate
CAP,12,forest20,20260927,full,5,10,275,91,184,74,adequate
CAP,12,forest20,20260927,full,0,5,509,202,307,78,adequate
CAP,12,forest20,20260927,full,10,5,98,30,68,50,adequate
CAP,12,forest20,20260927,nonoverlap,5,5,109,40,69,71,adequate
CAP,12,forest20,20260927,overlap,5,5,208,65,143,71,adequate
CAP,12,forest20,20260927,2025-12,5,5,65,28,37,22,adequate
CAP,12,forest20,20260927,without_2025-12,5,5,210,63,147,52,adequate
CAP,12,forest20,20260927,2026-01,5,5,78,14,64,19,limited
CAP,12,forest20,20260927,without_2026-01,5,5,197,77,120,55,adequate
CAP,12,forest20,20260927,2026-02,5,5,58,27,31,19,adequate
CAP,12,forest20,20260927,without_2026-02,5,5,217,64,153,55,adequate
CAP,12,forest20,20260927,2026-03,5,5,74,22,52,14,adequate
CAP,12,forest20,20260927,without_2026-03,5,5,201,69,132,60,adequate
CAP,12,forest20,20260927,common_path,5,5,128,35,93,67,adequate
CAP,12,forest40,20260926,full,5,1,275,91,184,74,adequate
CAP,12,forest40,20260926,full,5,5,275,91,184,74,adequate
CAP,12,forest40,20260926,full,5,10,275,91,184,74,adequate
CAP,12,forest40,20260926,full,0,5,509,202,307,78,adequate
CAP,12,forest40,20260926,full,10,5,98,30,68,50,adequate
CAP,12,forest40,20260926,nonoverlap,5,5,109,40,69,71,adequate
CAP,12,forest40,20260926,overlap,5,5,221,74,147,71,adequate
CAP,12,forest40,20260926,2025-12,5,5,65,28,37,22,adequate
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,adequate
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,limited
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,adequate
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,adequate
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,adequate
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,adequate
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,adequate
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,adequate
CAP,12,forest40,20260927,full,5,1,275,91,184,74,adequate
CAP,12,forest40,20260927,full,5,5,275,91,184,74,adequate
CAP,12,forest40,20260927,full,5,10,275,91,184,74,adequate
CAP,12,forest40,20260927,full,0,5,509,202,307,78,adequate
CAP,12,forest40,20260927,full,10,5,98,30,68,50,adequate
CAP,12,forest40,20260927,nonoverlap,5,5,109,40,69,71,adequate
CAP,12,forest40,20260927,overlap,5,5,215,68,147,71,adequate
CAP,12,forest40,20260927,2025-12,5,5,65,28,37,22,adequate
CAP,12,forest40,20260927,without_2025-12,5,5,210,63,147,52,adequate
CAP,12,forest40,20260927,2026-01,5,5,78,14,64,19,limited
CAP,12,forest40,20260927,without_2026-01,5,5,197,77,120,55,adequate
CAP,12,forest40,20260927,2026-02,5,5,58,27,31,19,adequate
CAP,12,forest40,20260927,without_2026-02,5,5,217,64,153,55,adequate
CAP,12,forest40,20260927,2026-03,5,5,74,22,52,14,adequate
CAP,12,forest40,20260927,without_2026-03,5,5,201,69,132,60,adequate
