definition,h,learner,seed,n,premium_fraction,probability_min,probability_max,overlap_fraction,mean_residualized_sign_square,brier,constant_brier,mse_local,constant_mse_local,mse_basket_price,constant_mse_basket_price,mse_basket_weights,constant_mse_basket_weights,mse_numeraire,constant_mse_numeraire,mse_global_control,constant_mse_global_control,mse_total,constant_mse_total,mse_dominance,constant_mse_dominance
CAP,1,forest20,20260926,128,0.2734375,0.023005282082847398,0.9477347425789124,0.7734375,0.12613163292332844,0.12613163292332844,0.2614540282611102,134.27048298243093,136.36086103846534,123.24580860838114,124.59574779478785,9.22202519760313e-06,9.642724418256921e-06,0.029287783381932997,0.029049506698530722,0.04424374801854476,0.04368086351057644,39.450501033898675,44.32706459995393,475.63618432215384,477.5646199950378
CAP,1,forest20,20260927,128,0.2734375,0.02696507298022677,0.94149798358735,0.78125,0.1265010990085359,0.1265010990085359,0.2614540282611102,133.1535053128231,136.36086103846534,120.53073785265033,124.59574779478785,9.260852074242394e-06,9.642724418256921e-06,0.029364160035734943,0.029049506698530722,0.04436032255711742,0.04368086351057644,39.31598864228056,44.32706459995393,468.090599974149,477.5646199950378
CAP,1,forest40,20260926,128,0.2734375,0.030225749380149165,0.9424836672450184,0.796875,0.12676594902444482,0.12676594902444482,0.2614540282611102,135.22027728529466,136.36086103846534,123.96343316243784,124.59574779478785,9.141364504718898e-06,9.642724418256921e-06,0.029122017089479348,0.029049506698530722,0.04394927358297278,0.04368086351057644,39.061104229636456,44.32706459995393,479.3361922873895,477.5646199950378
CAP,1,forest40,20260927,128,0.2734375,0.026748458387986077,0.9441755576172589,0.78125,0.12658136191636954,0.12658136191636954,0.2614540282611102,135.45890660904792,136.36086103846534,123.86344042029829,124.59574779478785,9.181141651527321e-06,9.642724418256921e-06,0.02924272966099768,0.029049506698530722,0.0440064846815484,0.04368086351057644,39.10076375180667,44.32706459995393,479.5731655774463,477.5646199950378
CAP,1,linear,20260926,128,0.2734375,0.015296440513604018,0.9551901597056687,0.8203125,0.12308919706316748,0.12308919706316748,0.2614540282611102,137.64159543359543,136.36086103846534,124.14338984927798,124.59574779478785,1.0590292931600545e-05,9.642724418256921e-06,0.02983277358375971,0.029049506698530722,0.04442799128198989,0.04368086351057644,41.90179768667312,44.32706459995393,481.6417949883345,477.5646199950378
CAP,6,forest20,20260926,128,0.2734375,0.024176937901065662,0.9423243265497562,0.8671875,0.13446350004922167,0.13446350004922167,0.2625036780552996,562.4887678452083,559.3979222891553,620.3856515683408,615.441536327075,4.626300044832929e-05,4.827670477029473e-05,0.1890583536417606,0.1898379845347159,0.13297549015289528,0.13301740950077873,50.19051140151882,54.18859075307043,2316.1491138986707,2296.008690552111
CAP,6,forest20,20260927,128,0.2734375,0.034090337665085284,0.9368438565683188,0.8515625,0.13401647968594577,0.13401647968594577,0.2625036780552996,567.2436809707542,559.3979222891553,626.8891074082883,615.441536327075,4.607051382513054e-05,4.827670477029473e-05,0.188898072204357,0.1898379845347159,0.13319563674340973,0.13301740950077873,49.88255700271192,54.18859075307043,2338.9799935753763,2296.008690552111
CAP,6,forest40,20260926,128,0.2734375,0.03978083826615435,0.9334909669616994,0.8515625,0.13633266314248613,0.13633266314248613,0.2625036780552996,544.4680562712101,559.3979222891553,606.9927251254248,615.441536327075,4.7300559650131425e-05,4.827670477029473e-05,0.1884104721121866,0.1898379845347159,0.13138800188378896,0.13301740950077873,50.15647187917122,54.18859075307043,2253.358666819535,2296.008690552111
CAP,6,forest40,20260927,128,0.2734375,0.036434741130820576,0.9230457070638528,0.8359375,0.13327676173845804,0.13327676173845804,0.2625036780552996,539.7076777257012,559.3979222891553,601.9963838420554,615.441536327075,4.713533327722699e-05,4.827670477029473e-05,0.18872280177998352,0.1898379845347159,0.13214269223369318,0.13301740950077873,49.787128550661336,54.18859075307043,2234.2157093362202,2296.008690552111
CAP,6,linear,20260926,128,0.2734375,0.014823090477248986,0.9464473164600237,0.828125,0.12384298992192892,0.12384298992192892,0.2625036780552996,594.6455310489748,559.3979222891553,640.1509494273421,615.441536327075,5.514378709895915e-05,4.827670477029473e-05,0.1820503978395101,0.1898379845347159,0.12616323433912408,0.13301740950077873,44.80426345007292,54.18859075307043,2425.3562413132377,2296.008690552111
