definition,residual_fall_bp,n,local_up_or_flat_n,local_up_or_flat_fraction,fraction_lo,fraction_hi,local_mean_bp,basket_implied_mean_bp
CAP,5,143,85,0.5944055944055944,0.5199868421052631,0.6738209219858156,3.1329459583117947,14.652493296401166
CAP,10,71,42,0.5915492957746479,0.49205048139474367,0.6834132420091323,4.163587582357093,20.008921037271534
CAP,20,12,10,0.8333333333333334,0.6666666666666666,1.0,10.087893826291067,35.552629563333426
EQ,5,164,98,0.5975609756097561,0.5127967711301045,0.6879616837063646,5.9467877435413605,20.79210110642837
EQ,10,104,57,0.5480769230769231,0.4633920505871726,0.6363636363636364,2.614851600811193,21.659701415582358
EQ,20,39,20,0.5128205128205128,0.4,0.6428571428571429,-1.5916041702612045,24.979654116404838
PCA,5,161,96,0.5962732919254659,0.5123166303558461,0.6846013047355329,6.224992859802633,21.133148008902598
PCA,10,104,57,0.5480769230769231,0.4633920505871726,0.6363636363636364,2.614851600811193,21.51122415827469
PCA,20,37,19,0.5135135135135135,0.40476190476190477,0.6341463414634146,-1.668507596420192,25.025682303410782
