definition,variant,info,n,loss_bp,below_rate
CAP,scaled_basis,base,467,1.2874284258219597,0.18201284796573874
CAP,scaled_basis,full,467,1.321508878918851,0.1841541755888651
CAP,weak_penalty,base,467,1.3787477762376965,0.19271948608137046
CAP,weak_penalty,full,467,1.3747395080229319,0.1841541755888651
EQ,scaled_basis,base,467,2.0322328774122336,0.2462526766595289
EQ,scaled_basis,full,467,2.323798938412748,0.24839400428265523
EQ,weak_penalty,base,467,2.0573337992224316,0.24411134903640258
EQ,weak_penalty,full,467,2.055623618646397,0.22269807280513917
PCA,scaled_basis,base,467,1.9867766983556527,0.24197002141327623
PCA,scaled_basis,full,467,2.204515575670297,0.23768736616702354
PCA,weak_penalty,base,467,2.0412364387322084,0.2398286937901499
PCA,weak_penalty,full,467,2.0255093930445187,0.22055674518201285
