definition,fold,info,variant,alpha,validation_loss_bp
CAP,2026-01,full,weak_penalty,0.01,1.3024236474164927
CAP,2026-01,full,scaled_basis,0.0,1.1756524203625076
CAP,2026-01,full,scaled_basis,0.001,1.1256068601047913
CAP,2026-01,full,scaled_basis,0.005,1.1076553057564473
CAP,2026-01,full,scaled_basis,0.01,1.2221803641318707
CAP,2026-01,full,scaled_basis,0.05,1.2561653128657295
CAP,2026-02,base,weak_penalty,0.0,1.3246579095087545
CAP,2026-02,base,weak_penalty,0.001,1.2692541144511544
CAP,2026-02,base,weak_penalty,0.01,1.339406904832819
CAP,2026-02,base,scaled_basis,0.0,1.32465790950876
CAP,2026-02,base,scaled_basis,0.001,1.2610145620312667
CAP,2026-02,base,scaled_basis,0.005,1.1967562164009486
CAP,2026-02,base,scaled_basis,0.01,1.2281675517805164
CAP,2026-02,base,scaled_basis,0.05,1.259665485146009
CAP,2026-02,full,weak_penalty,0.0,1.4248747056284135
CAP,2026-02,full,weak_penalty,0.001,1.2686461793958412
CAP,2026-02,full,weak_penalty,0.01,1.339406904832819
CAP,2026-02,full,scaled_basis,0.0,1.4248747056293156
CAP,2026-02,full,scaled_basis,0.001,1.3132256468126648
CAP,2026-02,full,scaled_basis,0.005,1.2531537139102211
CAP,2026-02,full,scaled_basis,0.01,1.2281675517805162
CAP,2026-02,full,scaled_basis,0.05,1.259665485146009
CAP,2026-03,base,weak_penalty,0.0,1.4512352641400332
CAP,2026-03,base,weak_penalty,0.001,1.3396448883236747
CAP,2026-03,base,weak_penalty,0.01,1.2196289506021998
CAP,2026-03,base,scaled_basis,0.0,1.4512352641400246
CAP,2026-03,base,scaled_basis,0.001,1.3303719877889377
CAP,2026-03,base,scaled_basis,0.005,1.256329267382991
CAP,2026-03,base,scaled_basis,0.01,1.27967279799283
CAP,2026-03,base,scaled_basis,0.05,1.248200250184639
CAP,2026-03,full,weak_penalty,0.0,1.5852957040901416
CAP,2026-03,full,weak_penalty,0.001,1.3510249869750661
CAP,2026-03,full,weak_penalty,0.01,1.2196289506021998
CAP,2026-03,full,scaled_basis,0.0,1.5852957040901239
CAP,2026-03,full,scaled_basis,0.001,1.495101727473645
CAP,2026-03,full,scaled_basis,0.005,1.606015172240043
CAP,2026-03,full,scaled_basis,0.01,1.265209933935307
CAP,2026-03,full,scaled_basis,0.05,1.248200250184639
PCA,2025-12,base,weak_penalty,0.0,2.004855965148972
PCA,2025-12,base,weak_penalty,0.001,2.7841395245059775
PCA,2025-12,base,weak_penalty,0.01,2.5738422916486074
PCA,2025-12,base,scaled_basis,0.0,2.0048559651489506
PCA,2025-12,base,scaled_basis,0.001,1.9156304535340662
PCA,2025-12,base,scaled_basis,0.005,1.9956623026509956
PCA,2025-12,base,scaled_basis,0.01,2.2836062523336773
PCA,2025-12,base,scaled_basis,0.05,2.5738422916486074
PCA,2025-12,full,weak_penalty,0.0,2.2181198431565523
PCA,2025-12,full,weak_penalty,0.001,2.7456391036746255
PCA,2025-12,full,weak_penalty,0.01,2.5738422916486074
PCA,2025-12,full,scaled_basis,0.0,2.2181198431566385
PCA,2025-12,full,scaled_basis,0.001,1.9517027206897721
PCA,2025-12,full,scaled_basis,0.005,2.1797295549312716
PCA,2025-12,full,scaled_basis,0.01,2.487028577189085
PCA,2025-12,full,scaled_basis,0.05,2.5738422916486074
PCA,2026-01,base,weak_penalty,0.0,2.0109021819466157
PCA,2026-01,base,weak_penalty,0.001,2.482406484228183
PCA,2026-01,base,weak_penalty,0.01,3.4573545314506635
PCA,2026-01,base,scaled_basis,0.0,2.010902181946605
PCA,2026-01,base,scaled_basis,0.001,2.057341677128939
PCA,2026-01,base,scaled_basis,0.005,1.9822995266039922
PCA,2026-01,base,scaled_basis,0.01,2.3571391916696096
PCA,2026-01,base,scaled_basis,0.05,2.7136020649847676
PCA,2026-01,full,weak_penalty,0.0,1.9686159382957729
PCA,2026-01,full,weak_penalty,0.001,2.474185696590023
PCA,2026-01,full,weak_penalty,0.01,3.4573545314506635
PCA,2026-01,full,scaled_basis,0.0,1.9686159382957946
PCA,2026-01,full,scaled_basis,0.001,2.0084979021587888
PCA,2026-01,full,scaled_basis,0.005,2.0412863436538538
PCA,2026-01,full,scaled_basis,0.01,2.3121213363349904
PCA,2026-01,full,scaled_basis,0.05,2.7136020649847676
PCA,2026-02,base,weak_penalty,0.0,1.3414033961565375
PCA,2026-02,base,weak_penalty,0.001,1.123597814709014
PCA,2026-02,base,weak_penalty,0.01,1.3333457525151222
PCA,2026-02,base,scaled_basis,0.0,1.3414033961565244
PCA,2026-02,base,scaled_basis,0.001,1.2647762942308278
PCA,2026-02,base,scaled_basis,0.005,1.2248188907569926
PCA,2026-02,base,scaled_basis,0.01,1.2064034505160977
PCA,2026-02,base,scaled_basis,0.05,1.3183783340944173
PCA,2026-02,full,weak_penalty,0.0,1.248228907174241
PCA,2026-02,full,weak_penalty,0.001,1.094544647439443
PCA,2026-02,full,weak_penalty,0.01,1.3333457525151222
PCA,2026-02,full,scaled_basis,0.0,1.2482289071542625
PCA,2026-02,full,scaled_basis,0.001,1.1683845420467964
PCA,2026-02,full,scaled_basis,0.005,1.1607488532575196
PCA,2026-02,full,scaled_basis,0.01,1.203726280544234
PCA,2026-02,full,scaled_basis,0.05,1.3183783340944173
PCA,2026-03,base,weak_penalty,0.0,2.569124538120108
PCA,2026-03,base,weak_penalty,0.001,2.2007827729242906
PCA,2026-03,base,weak_penalty,0.01,2.144509521269443
PCA,2026-03,base,scaled_basis,0.0,2.5691245381201084
PCA,2026-03,base,scaled_basis,0.001,2.4328356759629988
PCA,2026-03,base,scaled_basis,0.005,2.3178330538234566
PCA,2026-03,base,scaled_basis,0.01,2.238077355938078
PCA,2026-03,base,scaled_basis,0.05,2.1521615836749364
PCA,2026-03,full,weak_penalty,0.0,3.9064226479812354
PCA,2026-03,full,weak_penalty,0.001,2.2839264349037003
PCA,2026-03,full,weak_penalty,0.01,2.144509521269443
PCA,2026-03,full,scaled_basis,0.0,3.9064226479811954
PCA,2026-03,full,scaled_basis,0.001,3.831368201092085
PCA,2026-03,full,scaled_basis,0.005,3.114592122070933
PCA,2026-03,full,scaled_basis,0.01,2.4319124267704004
PCA,2026-03,full,scaled_basis,0.05,2.1521615836749364
