definition,fold,info,variant,alpha,nonzero_coefficients,prediction_sd_bp
EQ,2025-12,base,weak_penalty,0.0,27,8.437860066686017
EQ,2025-12,base,scaled_basis,0.001,21,7.8512156790805765
EQ,2025-12,full,weak_penalty,0.0,39,8.02704692246239
EQ,2025-12,full,scaled_basis,0.001,30,7.788443352134452
EQ,2026-01,base,weak_penalty,0.0,27,3.4093412271003145
EQ,2026-01,base,scaled_basis,0.0,27,3.40934122710009
EQ,2026-01,full,weak_penalty,0.0,39,4.0922891319388635
EQ,2026-01,full,scaled_basis,0.0,39,4.092289132071375
EQ,2026-02,base,weak_penalty,0.001,9,3.694804319700601
EQ,2026-02,base,scaled_basis,0.01,8,3.73212585953508
EQ,2026-02,full,weak_penalty,0.001,11,3.8390741200850136
EQ,2026-02,full,scaled_basis,0.005,19,6.237115303987853
EQ,2026-03,base,weak_penalty,0.01,1,0.3708132503852322
EQ,2026-03,base,scaled_basis,0.05,1,2.2233660059016684
EQ,2026-03,full,weak_penalty,0.01,1,0.3708132503852322
EQ,2026-03,full,scaled_basis,0.05,1,2.2233660059016684
CAP,2025-12,base,weak_penalty,0.0,27,3.9554417433553066
CAP,2025-12,base,scaled_basis,0.005,12,2.7492577936541984
CAP,2025-12,full,weak_penalty,0.0,39,3.827687011326859
CAP,2025-12,full,scaled_basis,0.0,39,3.8276870118713284
CAP,2026-01,base,weak_penalty,0.0,27,4.111212882836977
CAP,2026-01,base,scaled_basis,0.005,14,3.127820455215116
CAP,2026-01,full,weak_penalty,0.001,11,3.603968244405262
CAP,2026-01,full,scaled_basis,0.005,20,3.0342054442201696
CAP,2026-02,base,weak_penalty,0.001,9,3.233134769179533
CAP,2026-02,base,scaled_basis,0.005,13,2.358734939533858
CAP,2026-02,full,weak_penalty,0.001,12,3.238510999655885
CAP,2026-02,full,scaled_basis,0.01,12,2.2861050016581785
CAP,2026-03,base,weak_penalty,0.01,0,1.7763568394002505e-15
CAP,2026-03,base,scaled_basis,0.05,2,0.8535628640042555
CAP,2026-03,full,weak_penalty,0.01,0,1.7763568394002505e-15
CAP,2026-03,full,scaled_basis,0.05,2,0.8535628640042552
PCA,2025-12,base,weak_penalty,0.0,27,8.331717943071679
PCA,2025-12,base,scaled_basis,0.001,21,7.697368109334921
PCA,2025-12,full,weak_penalty,0.0,39,7.934767620726319
PCA,2025-12,full,scaled_basis,0.001,29,7.676962274594873
PCA,2026-01,base,weak_penalty,0.0,27,3.4034952605189686
PCA,2026-01,base,scaled_basis,0.005,12,3.084095477817487
PCA,2026-01,full,weak_penalty,0.0,39,4.026848322492249
PCA,2026-01,full,scaled_basis,0.0,39,4.026848322586227
PCA,2026-02,base,weak_penalty,0.001,9,3.7318666731977856
PCA,2026-02,base,scaled_basis,0.01,8,3.697007829318242
PCA,2026-02,full,weak_penalty,0.001,10,3.7915737528115567
PCA,2026-02,full,scaled_basis,0.005,19,5.306337156409849
PCA,2026-03,base,weak_penalty,0.01,1,0.33876588013714676
PCA,2026-03,base,scaled_basis,0.05,1,2.1841886613076746
PCA,2026-03,full,weak_penalty,0.01,1,0.33876588013714676
PCA,2026-03,full,scaled_basis,0.05,1,2.1841886613076746
