sample,horizon,calibration,comparison,n,block_days,difference_bp,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months
native,1,raw,original__nonlinear_R,1088,1,0.028400234101711695,1.5257135947588485,-6.7366259476645824,11.6576199198055,0.7605,1
native,1,raw,original__nonlinear_R,1088,5,0.028400234101711695,1.5257135947588485,-7.064892481167808,11.03522768928891,0.75,1
native,1,raw,original__nonlinear_R,1088,10,0.028400234101711695,1.5257135947588485,-6.4195692839798895,9.846665808238807,0.6665,1
native,1,raw,original__nonlinear_F,1088,1,0.022217641872253804,1.2018989087112186,-8.159829255076472,11.94948764688833,0.832,2
native,1,raw,original__nonlinear_F,1088,5,0.022217641872253804,1.2018989087112186,-8.561466853523497,10.969586392840757,0.8205,2
native,1,raw,original__nonlinear_F,1088,10,0.022217641872253804,1.2018989087112186,-7.642143724958996,10.100193669945332,0.7545,2
native,1,raw,original__market_B_vs_R,1088,1,0.01132455004436843,0.6178018564678922,-1.0538678265780954,2.399821559940157,0.4855,1
native,1,raw,original__market_B_vs_R,1088,5,0.01132455004436843,0.6178018564678922,-0.8542097310929433,2.1140123897444183,0.397,1
native,1,raw,original__market_B_vs_R,1088,10,0.01132455004436843,0.6178018564678922,-0.5908011820947319,1.9750004198799702,0.358,1
native,1,raw,original__position_F_vs_B,1088,1,-0.0046127087841320085,-0.25320699106505806,-1.4856498433286038,0.9981614342445069,0.683,2
native,1,raw,original__position_F_vs_B,1088,5,-0.0046127087841320085,-0.25320699106505806,-1.2730145260665773,0.7821234783984597,0.6095,2
native,1,raw,original__position_F_vs_B,1088,10,-0.0046127087841320085,-0.25320699106505806,-0.990080488206221,0.4721919067349997,0.486,2
native,1,raw,original__total_F_vs_R,1088,1,0.0067118412602364215,0.36615918289433225,-1.3254230942930887,2.0344530294424095,0.6755,2
native,1,raw,original__total_F_vs_R,1088,5,0.0067118412602364215,0.36615918289433225,-1.0825766090294249,1.8202011956193493,0.6375,2
native,1,raw,original__total_F_vs_R,1088,10,0.0067118412602364215,0.36615918289433225,-0.8852876010803642,1.6926681511459827,0.61,2
native,1,raw,original__ml_vs_threshold_F,1088,1,0.04788510810320643,2.5549455904550933,-1.499901099279647,7.672476398503353,0.302,2
native,1,raw,original__ml_vs_threshold_F,1088,5,0.04788510810320643,2.5549455904550933,-1.5742291447179977,7.888168770100106,0.306,2
native,1,raw,original__ml_vs_threshold_F,1088,10,0.04788510810320643,2.5549455904550933,-0.8894112716625476,6.652906193017257,0.23,2
native,1,raw,own_scale__nonlinear_R,1088,1,0.023787967507602717,1.368875069477682,-4.728805975635895,9.525389879283246,0.7405,1
native,1,raw,own_scale__nonlinear_R,1088,5,0.023787967507602717,1.368875069477682,-4.936096332172796,8.397491794782718,0.7215,1
native,1,raw,own_scale__nonlinear_R,1088,10,0.023787967507602717,1.368875069477682,-4.3998947333222045,7.422799772933493,0.6695,1
native,1,raw,own_scale__nonlinear_F,1088,1,-0.046558330924048624,-2.72731387245444,-9.002945841662202,3.8477644787221745,0.403,1
native,1,raw,own_scale__nonlinear_F,1088,5,-0.046558330924048624,-2.72731387245444,-8.914067825588027,3.265754651423666,0.4035,1
native,1,raw,own_scale__nonlinear_F,1088,10,-0.046558330924048624,-2.72731387245444,-8.017406948502504,2.4324998856070326,0.3405,1
native,1,raw,own_scale__market_B_vs_R,1088,1,-0.019200419975076405,-1.1202197343673115,-3.7838599451831225,1.5954135519031971,0.4275,2
native,1,raw,own_scale__market_B_vs_R,1088,5,-0.019200419975076405,-1.1202197343673115,-3.303175963636561,1.2686070873710964,0.335,2
native,1,raw,own_scale__market_B_vs_R,1088,10,-0.019200419975076405,-1.1202197343673115,-2.8273081964895415,0.6572429802202333,0.229,2
native,1,raw,own_scale__position_F_vs_B,1088,1,-0.020484014459143548,-1.1818695948221158,-2.8507294872574467,0.3396155918014661,0.1445,2
native,1,raw,own_scale__position_F_vs_B,1088,5,-0.020484014459143548,-1.1818695948221158,-2.149045468713709,-0.14892588862099337,0.0185,2
native,1,raw,own_scale__position_F_vs_B,1088,10,-0.020484014459143548,-1.1818695948221158,-2.151420653858238,-0.3243170642134629,0.007,2
native,1,raw,own_scale__total_F_vs_R,1088,1,-0.03968443443421995,-2.3153288656251325,-5.095996681398599,0.28901845462477715,0.1035,1
native,1,raw,own_scale__total_F_vs_R,1088,5,-0.03968443443421995,-2.3153288656251325,-4.502653515056517,-0.1433082300982702,0.045,1
native,1,raw,own_scale__total_F_vs_R,1088,10,-0.03968443443421995,-2.3153288656251325,-3.8694227640228616,-0.7923712204537258,0.003,1
native,1,raw,own_scale__ml_vs_threshold_F,1088,1,0.07549425882662449,4.127251100067775,0.15176125345144467,9.276330655947032,0.081,3
native,1,raw,own_scale__ml_vs_threshold_F,1088,5,0.07549425882662449,4.127251100067775,0.034111800295003755,9.195910773205524,0.0855,3
native,1,raw,own_scale__ml_vs_threshold_F,1088,10,0.07549425882662449,4.127251100067775,0.6430878283531325,8.179799982749454,0.033,3
native,1,raw,scale__R__linear,1088,1,0.1236644976441563,6.643487675805582,2.7315441289113007,10.718207676715311,0.0175,4
native,1,raw,scale__R__linear,1088,5,0.1236644976441563,6.643487675805582,3.4405582035392897,9.955720956960612,0.006,4
native,1,raw,scale__R__linear,1088,10,0.1236644976441563,6.643487675805582,3.584963257176152,9.614638159159005,0.001,4
native,1,raw,scale__R__qrf,1088,1,0.07209535898343493,3.9704142597908554,2.303687746655349,5.691144489561031,0.001,4
native,1,raw,scale__R__qrf,1088,5,0.07209535898343493,3.9704142597908554,2.7241017679548287,5.162677862771376,0.0005,4
native,1,raw,scale__R__qrf,1088,10,0.07209535898343493,3.9704142597908554,2.8351653731833903,5.001048493738719,0.0005,4
native,1,raw,scale__R__boosting,1088,1,0.07241569369025512,3.9390549288164434,1.4968592027763554,6.273176559425159,0.003,3
native,1,raw,scale__R__boosting,1088,5,0.07241569369025512,3.9390549288164434,2.1584550027344704,5.842795413690631,0.001,3
