horizon,variant,information,fold,candidate,kind,score,n
1,original,R,2025-12,0,linear,1.3183741476365785,955
1,original,R,2025-12,1,linear,1.3341380005482926,955
1,original,R,2025-12,2,linear,1.355258759452512,955
1,original,R,2025-12,3,linear,1.3183741476365787,955
1,original,R,2025-12,4,linear,1.312628908647541,955
1,original,R,2025-12,5,linear,1.34421578094892,955
1,original,R,2025-12,6,linear,1.3104119449077511,955
1,original,R,2025-12,7,linear,1.3204436221496145,955
1,original,R,2025-12,8,linear,1.3565866096276915,955
1,original,R,2025-12,9,linear,1.3104119449077507,955
1,original,R,2025-12,10,linear,1.3011242321877492,955
1,original,R,2025-12,11,linear,1.3427441426559483,955
1,original,R,2025-12,12,qrf,1.3232752173574918,955
1,original,R,2025-12,13,qrf,1.3259675015522774,955
1,original,R,2025-12,14,qrf,1.3318794093031192,955
1,original,R,2025-12,15,qrf,1.2949510374056517,955
1,original,R,2025-12,16,qrf,1.276356466135892,955
1,original,R,2025-12,17,qrf,1.3025232008163898,955
1,original,R,2025-12,18,qrf,1.3331145759462473,955
1,original,R,2025-12,19,qrf,1.3380439115123215,955
1,original,R,2025-12,20,qrf,1.339012982277412,955
1,original,R,2025-12,21,qrf,1.3127164019149116,955
1,original,R,2025-12,22,qrf,1.2921668086186424,955
1,original,R,2025-12,23,qrf,1.310398083200725,955
1,original,R,2025-12,24,boosting,1.3268637038419568,955
1,original,R,2025-12,25,boosting,1.327776698021502,955
1,original,R,2025-12,26,boosting,1.3223015314312032,955
1,original,R,2025-12,27,boosting,1.3047922958471572,955
1,original,R,2025-12,28,boosting,1.2858030735412933,955
1,original,R,2025-12,29,boosting,1.2883989195365126,955
1,original,R,2025-12,30,boosting,1.3247699562273882,955
1,original,R,2025-12,31,boosting,1.3304582377335992,955
1,original,R,2025-12,32,boosting,1.3093214214195283,955
1,original,R,2025-12,33,boosting,1.3124765484388186,955
1,original,R,2025-12,34,boosting,1.294690362262227,955
1,original,R,2025-12,35,boosting,1.2840114987177003,955
1,original,R,2025-12,36,threshold,1.2926853130060356,955
1,original,R,2025-12,37,threshold,1.2954698948911145,955
1,original,R,2025-12,38,threshold,1.3102568889091835,955
1,original,R,2025-12,39,threshold,1.3152693778025517,955
1,original,R,2025-12,40,threshold,1.314007801241336,955
1,original,R,2025-12,41,threshold,1.3179092371928312,955
1,original,R,2025-12,42,threshold,1.292685313006037,955
1,original,R,2025-12,43,threshold,1.2868958419429897,955
1,original,R,2025-12,44,threshold,1.2804069685118895,955
1,original,R,2025-12,45,threshold,1.3152693778025517,955
1,original,R,2025-12,46,threshold,1.3018042161092502,955
1,original,R,2025-12,47,threshold,1.2838639459108643,955
1,original,R,2025-12,48,threshold,1.3051310826514624,955
1,original,R,2025-12,49,threshold,1.3028839998613129,955
1,original,R,2025-12,50,threshold,1.3091644090568677,955
1,original,R,2025-12,51,threshold,1.3058611097079922,955
1,original,R,2025-12,52,threshold,1.3090332741924127,955
1,original,R,2025-12,53,threshold,1.3188116049437353,955
1,original,R,2025-12,54,threshold,1.3051310826514626,955
1,original,R,2025-12,55,threshold,1.2923361257797796,955
1,original,R,2025-12,56,threshold,1.2905088638460918,955
1,original,R,2025-12,57,threshold,1.3058611097079926,955
1,original,R,2025-12,58,threshold,1.287880218269464,955
1,original,R,2025-12,59,threshold,1.285785786098228,955
1,original,R,2026-01,0,linear,1.570623682537966,938
1,original,R,2026-01,1,linear,1.6255578115064755,938
1,original,R,2026-01,2,linear,1.7257491901428963,938
1,original,R,2026-01,3,linear,1.570623682537966,938
1,original,R,2026-01,4,linear,1.552808168772622,938
1,original,R,2026-01,5,linear,1.54188359114386,938
1,original,R,2026-01,6,linear,1.5268630299627561,938
1,original,R,2026-01,7,linear,1.557959609800822,938
1,original,R,2026-01,8,linear,1.6627919424888729,938
1,original,R,2026-01,9,linear,1.5268630299627561,938
1,original,R,2026-01,10,linear,1.5126564752333833,938
1,original,R,2026-01,11,linear,1.5236654533175358,938
1,original,R,2026-01,12,qrf,1.5274616282748037,938
1,original,R,2026-01,13,qrf,1.5701670796946312,938
1,original,R,2026-01,14,qrf,1.5762145365017364,938
1,original,R,2026-01,15,qrf,1.4256913924493315,938
1,original,R,2026-01,16,qrf,1.4159236115156337,938
1,original,R,2026-01,17,qrf,1.449378651195585,938
1,original,R,2026-01,18,qrf,1.532532678301298,938
1,original,R,2026-01,19,qrf,1.5605520719419208,938
1,original,R,2026-01,20,qrf,1.5863424578032235,938
1,original,R,2026-01,21,qrf,1.45926052475411,938
1,original,R,2026-01,22,qrf,1.4468274108260137,938
1,original,R,2026-01,23,qrf,1.4803097803835066,938
1,original,R,2026-01,24,boosting,1.554752490556769,938
1,original,R,2026-01,25,boosting,1.541579702145612,938
1,original,R,2026-01,26,boosting,1.5879903678140002,938
1,original,R,2026-01,27,boosting,1.4615126882220115,938
1,original,R,2026-01,28,boosting,1.4145727314738308,938
1,original,R,2026-01,29,boosting,1.424278772959132,938
1,original,R,2026-01,30,boosting,1.5706481764298323,938
1,original,R,2026-01,31,boosting,1.558856675263592,938
1,original,R,2026-01,32,boosting,1.5548573373775907,938
1,original,R,2026-01,33,boosting,1.475063986597865,938
1,original,R,2026-01,34,boosting,1.438786844199333,938
1,original,R,2026-01,35,boosting,1.4350416290050456,938
1,original,R,2026-01,36,threshold,1.4097998624930144,938
1,original,R,2026-01,37,threshold,1.4413520905185553,938
1,original,R,2026-01,38,threshold,1.5324262252148746,938
1,original,R,2026-01,39,threshold,1.4538475122776864,938
1,original,R,2026-01,40,threshold,1.4680919812278328,938
1,original,R,2026-01,41,threshold,1.5267184751259757,938
1,original,R,2026-01,42,threshold,1.4097998624930164,938
1,original,R,2026-01,43,threshold,1.4204875496590712,938
1,original,R,2026-01,44,threshold,1.4309994433076898,938
1,original,R,2026-01,45,threshold,1.4538475122776855,938
1,original,R,2026-01,46,threshold,1.450064837942651,938
1,original,R,2026-01,47,threshold,1.4386571920183135,938
1,original,R,2026-01,48,threshold,1.4317117309085412,938
1,original,R,2026-01,49,threshold,1.4674919975241107,938
1,original,R,2026-01,50,threshold,1.5177808009031761,938
1,original,R,2026-01,51,threshold,1.45682688740573,938
1,original,R,2026-01,52,threshold,1.4662886263491597,938
1,original,R,2026-01,53,threshold,1.5060078976325566,938
1,original,R,2026-01,54,threshold,1.4317117309085416,938
1,original,R,2026-01,55,threshold,1.4422539192422965,938
1,original,R,2026-01,56,threshold,1.4492051998128934,938
1,original,R,2026-01,57,threshold,1.4568268874057309,938
1,original,R,2026-01,58,threshold,1.4455166598504545,938
1,original,R,2026-01,59,threshold,1.4451200107627071,938
1,original,R,2026-02,0,linear,1.6673730765489354,887
1,original,R,2026-02,1,linear,1.7161497842712674,887
1,original,R,2026-02,2,linear,1.8147740454578951,887
1,original,R,2026-02,3,linear,1.6673730765489352,887
1,original,R,2026-02,4,linear,1.6524045077541423,887
1,original,R,2026-02,5,linear,1.6792098733921657,887
1,original,R,2026-02,6,linear,1.648455623584699,887
1,original,R,2026-02,7,linear,1.6617420063353634,887
1,original,R,2026-02,8,linear,1.7687543631811695,887
1,original,R,2026-02,9,linear,1.648455623584699,887
1,original,R,2026-02,10,linear,1.6374004974356529,887
1,original,R,2026-02,11,linear,1.6911713632649972,887
1,original,R,2026-02,12,qrf,1.7005529985977756,887
1,original,R,2026-02,13,qrf,1.7564120298572412,887
1,original,R,2026-02,14,qrf,1.7695733414341805,887
1,original,R,2026-02,15,qrf,1.5503147179601726,887
1,original,R,2026-02,16,qrf,1.536400651375585,887
1,original,R,2026-02,17,qrf,1.5644049163273053,887
1,original,R,2026-02,18,qrf,1.7174658550557838,887
1,original,R,2026-02,19,qrf,1.7554316552781868,887
1,original,R,2026-02,20,qrf,1.8110775374201182,887
1,original,R,2026-02,21,qrf,1.5911025291322367,887
1,original,R,2026-02,22,qrf,1.570446859365838,887
1,original,R,2026-02,23,qrf,1.6052404634470132,887
1,original,R,2026-02,24,boosting,1.6623421840864094,887
1,original,R,2026-02,25,boosting,1.6453663666349283,887
1,original,R,2026-02,26,boosting,1.7407620128022465,887
1,original,R,2026-02,27,boosting,1.5802757646485877,887
1,original,R,2026-02,28,boosting,1.5401581530834547,887
1,original,R,2026-02,29,boosting,1.5545373655410577,887
1,original,R,2026-02,30,boosting,1.6965157378130415,887
1,original,R,2026-02,31,boosting,1.6705084836094213,887
1,original,R,2026-02,32,boosting,1.7359283102246947,887
1,original,R,2026-02,33,boosting,1.5908751580385065,887
1,original,R,2026-02,34,boosting,1.5728153205147017,887
1,original,R,2026-02,35,boosting,1.5785229489541712,887
1,original,R,2026-02,36,threshold,1.5341845997394017,887
1,original,R,2026-02,37,threshold,1.5640748192427654,887
1,original,R,2026-02,38,threshold,1.645475565632455,887
1,original,R,2026-02,39,threshold,1.5851447055817476,887
1,original,R,2026-02,40,threshold,1.592404520985546,887
1,original,R,2026-02,41,threshold,1.6381177633916693,887
1,original,R,2026-02,42,threshold,1.5341845997394021,887
1,original,R,2026-02,43,threshold,1.5432810002375892,887
1,original,R,2026-02,44,threshold,1.536532960047794,887
1,original,R,2026-02,45,threshold,1.5851447055817467,887
1,original,R,2026-02,46,threshold,1.5699400914703285,887
1,original,R,2026-02,47,threshold,1.5548251435321963,887
1,original,R,2026-02,48,threshold,1.5670354218657605,887
1,original,R,2026-02,49,threshold,1.6091337566797752,887
1,original,R,2026-02,50,threshold,1.6578663535506193,887
1,original,R,2026-02,51,threshold,1.5895911602941908,887
1,original,R,2026-02,52,threshold,1.594991458477873,887
1,original,R,2026-02,53,threshold,1.62111283701149,887
1,original,R,2026-02,54,threshold,1.5670354218657605,887
1,original,R,2026-02,55,threshold,1.583857339571019,887
1,original,R,2026-02,56,threshold,1.5710840921605311,887
1,original,R,2026-02,57,threshold,1.5895911602941908,887
1,original,R,2026-02,58,threshold,1.5769986166202234,887
1,original,R,2026-02,59,threshold,1.5709485928230478,887
1,original,R,2026-03,0,linear,1.7133586660192421,887
1,original,R,2026-03,1,linear,1.7577596005553608,887
1,original,R,2026-03,2,linear,1.8851902155370481,887
1,original,R,2026-03,3,linear,1.7133586660192421,887
1,original,R,2026-03,4,linear,1.7139409686122686,887
1,original,R,2026-03,5,linear,1.8607593216291494,887
1,original,R,2026-03,6,linear,1.7365743390046724,887
1,original,R,2026-03,7,linear,1.727927948121428,887
1,original,R,2026-03,8,linear,1.8218090271321978,887
1,original,R,2026-03,9,linear,1.7365743390046728,887
1,original,R,2026-03,10,linear,1.7377675814686486,887
1,original,R,2026-03,11,linear,1.8799512865510406,887
1,original,R,2026-03,12,qrf,1.8196563179366831,887
1,original,R,2026-03,13,qrf,1.8800261833688838,887
1,original,R,2026-03,14,qrf,1.9412256866199942,887
1,original,R,2026-03,15,qrf,1.6483584120833303,887
1,original,R,2026-03,16,qrf,1.6398811201213759,887
1,original,R,2026-03,17,qrf,1.6635862752368722,887
1,original,R,2026-03,18,qrf,1.8400390109781755,887
1,original,R,2026-03,19,qrf,1.8727197274720548,887
1,original,R,2026-03,20,qrf,1.9754364965520803,887
1,original,R,2026-03,21,qrf,1.6629176382101634,887
1,original,R,2026-03,22,qrf,1.6465490436408474,887
1,original,R,2026-03,23,qrf,1.6775339913780556,887
1,original,R,2026-03,24,boosting,1.7597597654728887,887
1,original,R,2026-03,25,boosting,1.720858434073286,887
1,original,R,2026-03,26,boosting,1.8669206913386567,887
1,original,R,2026-03,27,boosting,1.709660172457033,887
1,original,R,2026-03,28,boosting,1.6498847997637784,887
1,original,R,2026-03,29,boosting,1.64531808835894,887
1,original,R,2026-03,30,boosting,1.7894325049071955,887
1,original,R,2026-03,31,boosting,1.7413260157224149,887
1,original,R,2026-03,32,boosting,1.8744762319991821,887
1,original,R,2026-03,33,boosting,1.7068525907355665,887
1,original,R,2026-03,34,boosting,1.6761326005608972,887
1,original,R,2026-03,35,boosting,1.681793398018753,887
1,original,R,2026-03,36,threshold,1.6389124891512195,887
1,original,R,2026-03,37,threshold,1.6485975339507073,887
1,original,R,2026-03,38,threshold,1.7111515761117635,887
1,original,R,2026-03,39,threshold,1.6544262227969615,887
1,original,R,2026-03,40,threshold,1.6660227058704167,887
1,original,R,2026-03,41,threshold,1.708737264367742,887
1,original,R,2026-03,42,threshold,1.6389124891512195,887
1,original,R,2026-03,43,threshold,1.6397448276575928,887
1,original,R,2026-03,44,threshold,1.6563866552569082,887
1,original,R,2026-03,45,threshold,1.6544262227969604,887
1,original,R,2026-03,46,threshold,1.6553818541132537,887
1,original,R,2026-03,47,threshold,1.6673571905138023,887
1,original,R,2026-03,48,threshold,1.6742073132599096,887
1,original,R,2026-03,49,threshold,1.6997423235373517,887
1,original,R,2026-03,50,threshold,1.733160631914872,887
1,original,R,2026-03,51,threshold,1.7059595776417869,887
1,original,R,2026-03,52,threshold,1.692887250387372,887
1,original,R,2026-03,53,threshold,1.6961807914113343,887
1,original,R,2026-03,54,threshold,1.6742073132599096,887
1,original,R,2026-03,55,threshold,1.677946015685698,887
1,original,R,2026-03,56,threshold,1.6747530294364081,887
1,original,R,2026-03,57,threshold,1.705959577641787,887
1,original,R,2026-03,58,threshold,1.68433494084571,887
1,original,R,2026-03,59,threshold,1.6850357753808294,887
1,original,B,2025-12,0,linear,1.347620150637555,955
1,original,B,2025-12,1,linear,1.3226791003905052,955
1,original,B,2025-12,2,linear,1.355258759452512,955
1,original,B,2025-12,3,linear,1.3476201506375547,955
1,original,B,2025-12,4,linear,1.31388754026633,955
1,original,B,2025-12,5,linear,1.34421578094892,955
1,original,B,2025-12,6,linear,1.3130135179455436,955
1,original,B,2025-12,7,linear,1.3117079088704917,955
1,original,B,2025-12,8,linear,1.3565866096276915,955
1,original,B,2025-12,9,linear,1.313013517945543,955
1,original,B,2025-12,10,linear,1.2996741151565618,955
1,original,B,2025-12,11,linear,1.3427441426559483,955
1,original,B,2025-12,12,qrf,1.3399781476200767,955
1,original,B,2025-12,13,qrf,1.3458137915575308,955
1,original,B,2025-12,14,qrf,1.3405228018188928,955
1,original,B,2025-12,15,qrf,1.3063699615834699,955
1,original,B,2025-12,16,qrf,1.2924624320395173,955
1,original,B,2025-12,17,qrf,1.3129566755211501,955
1,original,B,2025-12,18,qrf,1.342210270486918,955
1,original,B,2025-12,19,qrf,1.3503426803631522,955
1,original,B,2025-12,20,qrf,1.34365427170259,955
1,original,B,2025-12,21,qrf,1.3241562147163997,955
1,original,B,2025-12,22,qrf,1.3042298137099284,955
1,original,B,2025-12,23,qrf,1.3313656293840648,955
1,original,B,2025-12,24,boosting,1.3316692913327957,955
1,original,B,2025-12,25,boosting,1.3514197558569718,955
1,original,B,2025-12,26,boosting,1.3417694297062377,955
1,original,B,2025-12,27,boosting,1.3238103027903163,955
1,original,B,2025-12,28,boosting,1.315467590253713,955
1,original,B,2025-12,29,boosting,1.3072861732353558,955
1,original,B,2025-12,30,boosting,1.3389774181318173,955
1,original,B,2025-12,31,boosting,1.3468148820320194,955
1,original,B,2025-12,32,boosting,1.3405558270069036,955
1,original,B,2025-12,33,boosting,1.3367531365811227,955
1,original,B,2025-12,34,boosting,1.327956178533983,955
1,original,B,2025-12,35,boosting,1.2974879976309555,955
1,original,B,2025-12,36,threshold,1.3418053198944218,955
1,original,B,2025-12,37,threshold,1.3502566175883368,955
1,original,B,2025-12,38,threshold,1.3340432467892185,955
1,original,B,2025-12,39,threshold,1.381385101389173,955
1,original,B,2025-12,40,threshold,1.34964178648176,955
1,original,B,2025-12,41,threshold,1.3117387925461679,955
1,original,B,2025-12,42,threshold,1.3418053198944215,955
1,original,B,2025-12,43,threshold,1.3082543856672648,955
1,original,B,2025-12,44,threshold,1.2810532943342812,955
1,original,B,2025-12,45,threshold,1.3813851013891711,955
1,original,B,2025-12,46,threshold,1.338900446697377,955
1,original,B,2025-12,47,threshold,1.2940738554655862,955
1,original,B,2025-12,48,threshold,1.367194782279057,955
1,original,B,2025-12,49,threshold,1.3469825230610952,955
1,original,B,2025-12,50,threshold,1.3345083013751433,955
1,original,B,2025-12,51,threshold,1.3807310270085078,955
1,original,B,2025-12,52,threshold,1.358016598505348,955
1,original,B,2025-12,53,threshold,1.349173817365261,955
1,original,B,2025-12,54,threshold,1.3671947822790589,955
1,original,B,2025-12,55,threshold,1.3285081053186896,955
1,original,B,2025-12,56,threshold,1.2954070766648003,955
1,original,B,2025-12,57,threshold,1.380731027008508,955
1,original,B,2025-12,58,threshold,1.343948536634441,955
1,original,B,2025-12,59,threshold,1.3064127561868404,955
1,original,B,2026-01,0,linear,1.5634163470373486,938
1,original,B,2026-01,1,linear,1.608852777850587,938
1,original,B,2026-01,2,linear,1.7257491901428963,938
1,original,B,2026-01,3,linear,1.5634163470373486,938
1,original,B,2026-01,4,linear,1.5367283527677615,938
1,original,B,2026-01,5,linear,1.5418835911438598,938
1,original,B,2026-01,6,linear,1.5198949667799064,938
1,original,B,2026-01,7,linear,1.550604351051994,938
1,original,B,2026-01,8,linear,1.6627919424888729,938
1,original,B,2026-01,9,linear,1.5198949667799055,938
1,original,B,2026-01,10,linear,1.5047920426583856,938
1,original,B,2026-01,11,linear,1.5236654533175358,938
1,original,B,2026-01,12,qrf,1.5482423937093208,938
1,original,B,2026-01,13,qrf,1.5774332687374673,938
1,original,B,2026-01,14,qrf,1.5882913828589484,938
1,original,B,2026-01,15,qrf,1.4581448290480088,938
1,original,B,2026-01,16,qrf,1.4423938950281734,938
1,original,B,2026-01,17,qrf,1.4623723304336618,938
1,original,B,2026-01,18,qrf,1.556864801161564,938
1,original,B,2026-01,19,qrf,1.5655007525080074,938
1,original,B,2026-01,20,qrf,1.6007226376790997,938
