sample,horizon,calibration,comparison,n,fold,improvement_pct
native,1,raw,scale__B__boosting,1088,2026-03,6.194449007755443
native,1,raw,scale__B__threshold,1088,2025-12,0.0
native,1,raw,scale__B__threshold,1088,2026-01,0.35867511672911245
native,1,raw,scale__B__threshold,1088,2026-02,5.888578140558298
native,1,raw,scale__B__threshold,1088,2026-03,8.796541804499558
native,1,raw,scale__B__ml_selected,1088,2025-12,2.1234056893779996
native,1,raw,scale__B__ml_selected,1088,2026-01,8.362519194679606
native,1,raw,scale__B__ml_selected,1088,2026-02,3.6207541382647146
native,1,raw,scale__B__ml_selected,1088,2026-03,6.194449007755443
native,1,raw,scale__F__linear,1088,2025-12,11.22487127715084
native,1,raw,scale__F__linear,1088,2026-01,3.187237244344654
native,1,raw,scale__F__linear,1088,2026-02,4.7627159989125145
native,1,raw,scale__F__linear,1088,2026-03,10.337997296880753
native,1,raw,scale__F__qrf,1088,2025-12,1.920805344422094
native,1,raw,scale__F__qrf,1088,2026-01,2.1741327853471937
native,1,raw,scale__F__qrf,1088,2026-02,2.227020659055423
native,1,raw,scale__F__qrf,1088,2026-03,3.4152018844994414
native,1,raw,scale__F__boosting,1088,2025-12,1.8430699519229377
native,1,raw,scale__F__boosting,1088,2026-01,3.9118234569008647
native,1,raw,scale__F__boosting,1088,2026-02,8.79969810123935
native,1,raw,scale__F__boosting,1088,2026-03,4.308495601292028
native,1,raw,scale__F__threshold,1088,2025-12,2.220446049250313e-14
native,1,raw,scale__F__threshold,1088,2026-01,0.19528752753552592
native,1,raw,scale__F__threshold,1088,2026-02,0.4870310674993883
native,1,raw,scale__F__threshold,1088,2026-03,9.759207414088966
native,1,raw,scale__F__ml_selected,1088,2025-12,1.920805344422094
native,1,raw,scale__F__ml_selected,1088,2026-01,9.04197533560227
native,1,raw,scale__F__ml_selected,1088,2026-02,2.227020659055423
native,1,raw,scale__F__ml_selected,1088,2026-03,3.4152018844994414
native,1,calibrated,original__nonlinear_R,1088,2025-12,11.793515375475128
native,1,calibrated,original__nonlinear_R,1088,2026-01,1.8195579513770044
native,1,calibrated,original__nonlinear_R,1088,2026-02,2.4178514810784035
native,1,calibrated,original__nonlinear_R,1088,2026-03,-2.2076122074135895
native,1,calibrated,original__nonlinear_F,1088,2025-12,11.480967969597678
native,1,calibrated,original__nonlinear_F,1088,2026-01,-1.1726073951588312
native,1,calibrated,original__nonlinear_F,1088,2026-02,2.233226291312418
native,1,calibrated,original__nonlinear_F,1088,2026-03,-0.8128828558328749
native,1,calibrated,original__market_B_vs_R,1088,2025-12,-2.068594922029776
native,1,calibrated,original__market_B_vs_R,1088,2026-01,-0.36026350677200725
native,1,calibrated,original__market_B_vs_R,1088,2026-02,-1.0363827799432457
native,1,calibrated,original__market_B_vs_R,1088,2026-03,1.3933418735163516
native,1,calibrated,original__position_F_vs_B,1088,2025-12,0.7056534486633792
native,1,calibrated,original__position_F_vs_B,1088,2026-01,0.6053784384351113
native,1,calibrated,original__position_F_vs_B,1088,2026-02,0.22358399849287114
native,1,calibrated,original__position_F_vs_B,1088,2026-03,-0.9377118685231611
native,1,calibrated,original__total_F_vs_R,1088,2025-12,-1.3483443619602298
native,1,calibrated,original__total_F_vs_R,1088,2026-01,0.24729588925465062
native,1,calibrated,original__total_F_vs_R,1088,2026-02,-0.810481595391277
native,1,calibrated,original__total_F_vs_R,1088,2026-03,0.468695537110253
native,1,calibrated,original__ml_vs_threshold_F,1088,2025-12,6.317991009789536
native,1,calibrated,original__ml_vs_threshold_F,1088,2026-01,-3.515509219613544
native,1,calibrated,original__ml_vs_threshold_F,1088,2026-02,3.6136339774118342
native,1,calibrated,original__ml_vs_threshold_F,1088,2026-03,1.9622949729732997
native,1,calibrated,own_scale__nonlinear_R,1088,2025-12,9.208456011666621
native,1,calibrated,own_scale__nonlinear_R,1088,2026-01,-3.276088044047065
native,1,calibrated,own_scale__nonlinear_R,1088,2026-02,3.7710466498173334
native,1,calibrated,own_scale__nonlinear_R,1088,2026-03,0.47309292140953474
native,1,calibrated,own_scale__nonlinear_F,1088,2025-12,8.131805771501266
native,1,calibrated,own_scale__nonlinear_F,1088,2026-01,-1.0580704200081392
native,1,calibrated,own_scale__nonlinear_F,1088,2026-02,0.3487422927625272
native,1,calibrated,own_scale__nonlinear_F,1088,2026-03,-0.562665229894721
native,1,calibrated,own_scale__market_B_vs_R,1088,2025-12,-1.274912941316253
native,1,calibrated,own_scale__market_B_vs_R,1088,2026-01,1.471213841949126
native,1,calibrated,own_scale__market_B_vs_R,1088,2026-02,-2.372174234490254
native,1,calibrated,own_scale__market_B_vs_R,1088,2026-03,3.887855254533912
native,1,calibrated,own_scale__position_F_vs_B,1088,2025-12,1.2481452715914165
native,1,calibrated,own_scale__position_F_vs_B,1088,2026-01,2.4324675385115846
native,1,calibrated,own_scale__position_F_vs_B,1088,2026-02,0.8096679459407619
native,1,calibrated,own_scale__position_F_vs_B,1088,2026-03,-3.508347605621176
native,1,calibrated,own_scale__total_F_vs_R,1088,2025-12,-0.01085490413090806
native,1,calibrated,own_scale__total_F_vs_R,1088,2026-01,3.8678945813331977
native,1,calibrated,own_scale__total_F_vs_R,1088,2026-02,-1.5432995541509564
native,1,calibrated,own_scale__total_F_vs_R,1088,2026-03,0.5159071256451986
native,1,calibrated,own_scale__ml_vs_threshold_F,1088,2025-12,6.3412114060757085
native,1,calibrated,own_scale__ml_vs_threshold_F,1088,2026-01,0.20829609548861372
native,1,calibrated,own_scale__ml_vs_threshold_F,1088,2026-02,4.099970700479028
native,1,calibrated,own_scale__ml_vs_threshold_F,1088,2026-03,1.812071114207947
native,1,calibrated,scale__R__linear,1088,2025-12,1.572382749104284
native,1,calibrated,scale__R__linear,1088,2026-01,5.289036551780946
native,1,calibrated,scale__R__linear,1088,2026-02,0.10585565594692925
native,1,calibrated,scale__R__linear,1088,2026-03,-1.4073773272740286
native,1,calibrated,scale__R__qrf,1088,2025-12,-1.312226412170947
native,1,calibrated,scale__R__qrf,1088,2026-01,0.7171885642918485
native,1,calibrated,scale__R__qrf,1088,2026-02,-1.0061627039754217
native,1,calibrated,scale__R__qrf,1088,2026-03,0.2582463820979819
native,1,calibrated,scale__R__boosting,1088,2025-12,-4.403206828625583
native,1,calibrated,scale__R__boosting,1088,2026-01,-0.3064819663692875
native,1,calibrated,scale__R__boosting,1088,2026-02,2.6190468633386144
native,1,calibrated,scale__R__boosting,1088,2026-03,1.2570189404203291
native,1,calibrated,scale__R__threshold,1088,2025-12,0.0
native,1,calibrated,scale__R__threshold,1088,2026-01,0.30115572543254476
native,1,calibrated,scale__R__threshold,1088,2026-02,-2.8369258592406243
native,1,calibrated,scale__R__threshold,1088,2026-03,-0.47739061300735575
native,1,calibrated,scale__R__ml_selected,1088,2025-12,-1.312226412170947
native,1,calibrated,scale__R__ml_selected,1088,2026-01,0.3734593599542535
native,1,calibrated,scale__R__ml_selected,1088,2026-02,1.4911118279348878
native,1,calibrated,scale__R__ml_selected,1088,2026-03,1.2523392107668396
native,1,calibrated,scale__B__linear,1088,2025-12,-0.7441071589079584
native,1,calibrated,scale__B__linear,1088,2026-01,4.181740681663371
native,1,calibrated,scale__B__linear,1088,2026-02,0.9142518302573621
native,1,calibrated,scale__B__linear,1088,2026-03,-0.6030113569135187
native,1,calibrated,scale__B__qrf,1088,2025-12,-0.5244259276954599
native,1,calibrated,scale__B__qrf,1088,2026-01,-0.10927772255544532
native,1,calibrated,scale__B__qrf,1088,2026-02,0.18873611537827406
native,1,calibrated,scale__B__qrf,1088,2026-03,-1.255106738164935
native,1,calibrated,scale__B__boosting,1088,2025-12,-3.4927219994710157
native,1,calibrated,scale__B__boosting,1088,2026-01,-0.2174406222179126
native,1,calibrated,scale__B__boosting,1088,2026-02,0.49759838402181344
native,1,calibrated,scale__B__boosting,1088,2026-03,3.750419623014045
native,1,calibrated,scale__B__threshold,1088,2025-12,-2.220446049250313e-14
native,1,calibrated,scale__B__threshold,1088,2026-01,0.03568644817656397
native,1,calibrated,scale__B__threshold,1088,2026-02,-2.1139044130297435
native,1,calibrated,scale__B__threshold,1088,2026-03,1.463232538141479
native,1,calibrated,scale__B__ml_selected,1088,2025-12,-0.5244259276954599
native,1,calibrated,scale__B__ml_selected,1088,2026-01,2.191546978879022
native,1,calibrated,scale__B__ml_selected,1088,2026-02,0.18873611537827406
native,1,calibrated,scale__B__ml_selected,1088,2026-03,3.750419623014045
native,1,calibrated,scale__F__linear,1088,2025-12,3.669499446067548
native,1,calibrated,scale__F__linear,1088,2026-01,3.8806626601195937
native,1,calibrated,scale__F__linear,1088,2026-02,2.65144741874348
native,1,calibrated,scale__F__linear,1088,2026-03,1.0535940571719693
native,1,calibrated,scale__F__qrf,1088,2025-12,0.024786398729559345
native,1,calibrated,scale__F__qrf,1088,2026-01,0.8437907971748815
native,1,calibrated,scale__F__qrf,1088,2026-02,0.775024758341536
native,1,calibrated,scale__F__qrf,1088,2026-03,1.2991790864735564
native,1,calibrated,scale__F__boosting,1088,2025-12,0.15915996067501492
native,1,calibrated,scale__F__boosting,1088,2026-01,3.7273836932462223
native,1,calibrated,scale__F__boosting,1088,2026-02,1.5572018851029545
native,1,calibrated,scale__F__boosting,1088,2026-03,-0.0013530135839934232
native,1,calibrated,scale__F__threshold,1088,2025-12,0.0
native,1,calibrated,scale__F__threshold,1088,2026-01,0.4067713255414329
native,1,calibrated,scale__F__threshold,1088,2026-02,0.27182627490068834
native,1,calibrated,scale__F__threshold,1088,2026-03,1.4501876508581257
native,1,calibrated,scale__F__ml_selected,1088,2025-12,0.024786398729559345
native,1,calibrated,scale__F__ml_selected,1088,2026-01,3.9894788548965
native,1,calibrated,scale__F__ml_selected,1088,2026-02,0.775024758341536
native,1,calibrated,scale__F__ml_selected,1088,2026-03,1.2991790864735564
native,6,raw,original__nonlinear_R,703,2025-12,13.415803006847193
native,6,raw,original__nonlinear_R,703,2026-01,7.513034429720378
native,6,raw,original__nonlinear_R,703,2026-02,5.645832225879522
native,6,raw,original__nonlinear_R,703,2026-03,-23.14135720170225
native,6,raw,original__nonlinear_F,703,2025-12,11.1757011010295
native,6,raw,original__nonlinear_F,703,2026-01,5.718704371721939
native,6,raw,original__nonlinear_F,703,2026-02,0.7490125398175063
native,6,raw,original__nonlinear_F,703,2026-03,-13.086228803159816
native,6,raw,original__market_B_vs_R,703,2025-12,-0.9193379130862045
native,6,raw,original__market_B_vs_R,703,2026-01,-1.0532536163269102
native,6,raw,original__market_B_vs_R,703,2026-02,-5.120024796551048
native,6,raw,original__market_B_vs_R,703,2026-03,5.939708371452546
native,6,raw,original__position_F_vs_B,703,2025-12,-1.6526633991516215
native,6,raw,original__position_F_vs_B,703,2026-01,-0.8775927683973617
native,6,raw,original__position_F_vs_B,703,2026-02,-0.0664040094110474
native,6,raw,original__position_F_vs_B,703,2026-03,0.9983575639103681
native,6,raw,original__total_F_vs_R,703,2025-12,-2.5871948734419004
native,6,raw,original__total_F_vs_R,703,2026-01,-1.9400896622940422
native,6,raw,original__total_F_vs_R,703,2026-02,-5.189828707709854
