sample,horizon,calibration,comparison,n,block_days,difference_bp,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,p_holm_81,meets_within_extension_threshold
native,1,calibrated,original__nonlinear_R,1088,5,0.07366949203852063,4.195522536964158,0.10523034529564239,8.534722391673604,0.0665,3,1.0,False
native,1,calibrated,original__nonlinear_F,1088,5,0.06471391792855369,3.688439001004462,-0.28129931492305255,7.580269152047271,0.0935,2,1.0,False
native,1,calibrated,original__market_B_vs_R,1088,5,-0.011152262634358518,-0.6629420469792979,-2.3407931472018606,1.0510020420621344,0.4725,1,1.0,False
native,1,calibrated,original__position_F_vs_B,1088,5,0.0035971892646773475,0.21242530275218385,-1.3319424471025234,1.7682327224944547,0.8075,3,1.0,False
native,1,calibrated,original__total_F_vs_R,1088,5,-0.0075550733696811735,-0.4491084875767326,-1.7781820404264812,0.8341298731999227,0.513,2,1.0,False
native,1,calibrated,original__ml_vs_threshold_F,1088,5,0.04350963892589266,2.5102159088487896,-1.329612604735637,8.259048277879323,0.324,3,1.0,False
native,1,calibrated,own_scale__nonlinear_R,1088,5,0.05546250460596882,3.2044135610162394,-0.004606482854071577,6.461774704911267,0.061,3,1.0,False
native,1,calibrated,own_scale__nonlinear_F,1088,5,0.03744115093007877,2.1981418929644003,-0.9343027833322691,5.350345459855686,0.1835,2,1.0,False
native,1,calibrated,own_scale__market_B_vs_R,1088,5,0.0018237677671540395,0.10885867995681364,-1.3478028037056546,1.5614476478171753,0.8865,2,1.0,False
native,1,calibrated,own_scale__position_F_vs_B,1088,5,0.007661838873962655,0.4578250666105288,-0.6614208218435329,1.5306920502232904,0.4295,3,1.0,False
native,1,calibrated,own_scale__total_F_vs_R,1088,5,0.009485606641116692,0.5661853642433212,-1.033557275125316,2.0679283063417175,0.497,2,1.0,False
native,1,calibrated,own_scale__ml_vs_threshold_F,1088,5,0.05943069225753078,3.4446611605115085,-0.26960168809921947,9.178178287466032,0.1395,4,1.0,False
native,1,calibrated,scale__R__linear,1088,5,0.025091370048864924,1.4289688392079114,-0.00010352320390154591,2.7223764557160766,0.0575,3,1.0,False
native,1,calibrated,scale__R__qrf,1088,5,-0.007209380934820549,-0.42821411590754366,-1.8369010060423407,0.9819226421860721,0.559,2,1.0,False
native,1,calibrated,scale__R__boosting,1088,5,-0.005340326036159957,-0.3129721472622249,-2.073638143861559,1.7435461942807595,0.7555,2,1.0,False
native,1,calibrated,scale__R__threshold,1088,5,-0.01421086865423897,-0.8402680702351395,-2.138590453226184,0.36790699015698225,0.195,1,1.0,False
native,1,calibrated,scale__R__ml_selected,1088,5,0.006884382616313111,0.4092395286483197,-1.376421182951384,2.164664329093697,0.6475,3,1.0,False
native,1,calibrated,scale__B__linear,1088,5,0.014686526641789184,0.8511308779705851,-0.45129445923613426,2.2870284921434783,0.227,2,1.0,False
native,1,calibrated,scale__B__qrf,1088,5,-0.006247770419242965,-0.37140947312803707,-1.3042427379421004,0.6697941636372231,0.48,1,1.0,False
native,1,calibrated,scale__B__boosting,1088,5,-0.0026325905354172203,-0.15410538050788514,-1.5619081182829646,1.365010690647841,0.853,2,1.0,False
native,1,calibrated,scale__B__threshold,1088,5,-0.005282114351888418,-0.3077642981776263,-1.1038523829973892,0.34927901691341523,0.423,2,1.0,False
native,1,calibrated,scale__B__ml_selected,1088,5,0.019860413017825665,1.1728196482521769,-0.10626693145375161,2.510333324179166,0.0755,3,1.0,False
native,1,calibrated,scale__F__linear,1088,5,0.051197829625585875,2.918075084965166,0.8040308790791717,4.808894252847919,0.0075,4,0.5325,False
native,1,calibrated,scale__F__qrf,1088,5,0.011543058685482766,0.688147306816822,-0.2514556113113907,1.619675814766108,0.151,4,1.0,False
native,1,calibrated,scale__F__boosting,1088,5,0.022854529030470177,1.349002971039992,-0.3518092886325312,3.3084957515565594,0.151,3,1.0,False
