sample,horizon,variant,information,strategy,calibration,state,bin,fold,n,loss_bp,below_rate
native,1,original,F,ml_selected,raw,e_now,0,2026-01,160,1.4465205810437123,0.18125
native,1,original,F,ml_selected,raw,e_now,0,2026-02,117,2.0595079266670715,0.1452991452991453
native,1,original,F,ml_selected,raw,e_now,0,2026-03,103,1.8066023821987844,0.17475728155339806
native,1,original,F,ml_selected,raw,e_now,1,all,248,1.852841175413185,0.25
native,1,original,F,ml_selected,raw,e_now,1,2025-12,69,1.3586642419272363,0.2318840579710145
native,1,original,F,ml_selected,raw,e_now,1,2026-01,73,1.5545081725168466,0.1780821917808219
native,1,original,F,ml_selected,raw,e_now,1,2026-02,60,2.354913366735799,0.3333333333333333
native,1,original,F,ml_selected,raw,e_now,1,2026-03,46,2.4126713089481044,0.2826086956521739
native,1,original,F,ml_selected,raw,e_now,2,all,321,1.9109351442787084,0.22118380062305296
native,1,original,F,ml_selected,raw,e_now,2,2025-12,105,1.6567646254797144,0.19047619047619047
native,1,original,F,ml_selected,raw,e_now,2,2026-01,61,1.9322372864602946,0.3114754098360656
native,1,original,F,ml_selected,raw,e_now,2,2026-02,103,2.0338763062019645,0.21359223300970873
native,1,original,F,ml_selected,raw,e_now,2,2026-03,52,2.155656954331059,0.19230769230769232
native,1,original,F,ml_selected,raw,e_change1,0,all,430,1.6676261177642506,0.17674418604651163
native,1,original,F,ml_selected,raw,e_change1,0,2025-12,115,1.2855600504747466,0.12173913043478261
native,1,original,F,ml_selected,raw,e_change1,0,2026-01,116,1.478598940610714,0.1724137931034483
native,1,original,F,ml_selected,raw,e_change1,0,2026-02,121,1.9269703529225553,0.1652892561983471
native,1,original,F,ml_selected,raw,e_change1,0,2026-03,78,2.1097299361482036,0.28205128205128205
native,1,original,F,ml_selected,raw,e_change1,1,all,226,2.0156834156281738,0.2079646017699115
native,1,original,F,ml_selected,raw,e_change1,1,2025-12,62,2.1306336419290117,0.1774193548387097
native,1,original,F,ml_selected,raw,e_change1,1,2026-01,71,1.532628391364264,0.22535211267605634
native,1,original,F,ml_selected,raw,e_change1,1,2026-02,43,2.4594198282827406,0.3023255813953488
native,1,original,F,ml_selected,raw,e_change1,1,2026-03,50,2.177469954586959,0.14
native,1,original,F,ml_selected,raw,e_change1,2,all,432,1.8852325347913879,0.2199074074074074
native,1,original,F,ml_selected,raw,e_change1,2,2025-12,136,1.7898015131998388,0.23529411764705882
native,1,original,F,ml_selected,raw,e_change1,2,2026-01,107,1.7051847769822073,0.2336448598130841
native,1,original,F,ml_selected,raw,e_change1,2,2026-02,116,2.179551927958711,0.22413793103448276
native,1,original,F,ml_selected,raw,e_change1,2,2026-03,73,1.8592418418410253,0.1643835616438356
native,1,original,F,ml_selected,raw,e_rms72,0,all,16,1.58673155335179,0.25
native,1,original,F,ml_selected,raw,e_rms72,0,2026-01,16,1.58673155335179,0.25
native,1,original,F,ml_selected,raw,e_rms72,1,all,123,1.4444362709335477,0.2032520325203252
native,1,original,F,ml_selected,raw,e_rms72,1,2025-12,9,1.2671614554632942,0.3333333333333333
native,1,original,F,ml_selected,raw,e_rms72,1,2026-01,114,1.4584316511022524,0.19298245614035087
native,1,original,F,ml_selected,raw,e_rms72,2,all,949,1.8798638265774705,0.19915700737618547
native,1,original,F,ml_selected,raw,e_rms72,2,2025-12,304,1.684036987829615,0.17763157894736842
native,1,original,F,ml_selected,raw,e_rms72,2,2026-01,164,1.6532923838751,0.21341463414634146
native,1,original,F,ml_selected,raw,e_rms72,2,2026-02,280,2.113380317724991,0.21071428571428572
native,1,original,F,ml_selected,raw,e_rms72,2,2026-03,201,2.0356073990214067,0.20398009950248755
native,1,original,F,qrf,raw,e_now,0,all,519,1.7345730125233718,0.1579961464354528
native,1,original,F,qrf,raw,e_now,0,2025-12,139,1.8391624390721102,0.1510791366906475
native,1,original,F,qrf,raw,e_now,0,2026-01,160,1.3597333855130282,0.1625
native,1,original,F,qrf,raw,e_now,0,2026-02,117,2.0595079266670715,0.1452991452991453
native,1,original,F,qrf,raw,e_now,0,2026-03,103,1.8066023821987844,0.17475728155339806
native,1,original,F,qrf,raw,e_now,1,all,248,1.828245871705835,0.25
native,1,original,F,qrf,raw,e_now,1,2025-12,69,1.3586642419272363,0.2318840579710145
native,1,original,F,qrf,raw,e_now,1,2026-01,73,1.4709515243055746,0.1780821917808219
native,1,original,F,qrf,raw,e_now,1,2026-02,60,2.354913366735799,0.3333333333333333
native,1,original,F,qrf,raw,e_now,1,2026-03,46,2.4126713089481044,0.2826086956521739
native,1,original,F,qrf,raw,e_now,2,all,321,1.8719806291560452,0.2087227414330218
native,1,original,F,qrf,raw,e_now,2,2025-12,105,1.6567646254797144,0.19047619047619047
native,1,original,F,qrf,raw,e_now,2,2026-01,61,1.7272471331098873,0.2459016393442623
native,1,original,F,qrf,raw,e_now,2,2026-02,103,2.0338763062019645,0.21359223300970873
native,1,original,F,qrf,raw,e_now,2,2026-03,52,2.155656954331059,0.19230769230769232
native,1,original,F,qrf,raw,e_change1,0,all,430,1.639156521844104,0.17209302325581396
native,1,original,F,qrf,raw,e_change1,0,2025-12,115,1.2855600504747466,0.12173913043478261
native,1,original,F,qrf,raw,e_change1,0,2026-01,116,1.3730650936653428,0.15517241379310345
native,1,original,F,qrf,raw,e_change1,0,2026-02,121,1.9269703529225553,0.1652892561983471
native,1,original,F,qrf,raw,e_change1,0,2026-03,78,2.1097299361482036,0.28205128205128205
native,1,original,F,qrf,raw,e_change1,1,all,226,2.001858269447974,0.19469026548672566
native,1,original,F,qrf,raw,e_change1,1,2025-12,62,2.1306336419290117,0.1774193548387097
native,1,original,F,qrf,raw,e_change1,1,2026-01,71,1.4886215880301066,0.18309859154929578
native,1,original,F,qrf,raw,e_change1,1,2026-02,43,2.4594198282827406,0.3023255813953488
native,1,original,F,qrf,raw,e_change1,1,2026-03,50,2.177469954586959,0.14
native,1,original,F,qrf,raw,e_change1,2,all,432,1.845594625818428,0.2152777777777778
native,1,original,F,qrf,raw,e_change1,2,2025-12,136,1.7898015131998388,0.23529411764705882
native,1,original,F,qrf,raw,e_change1,2,2026-01,107,1.5451513501007226,0.21495327102803738
native,1,original,F,qrf,raw,e_change1,2,2026-02,116,2.179551927958711,0.22413793103448276
native,1,original,F,qrf,raw,e_change1,2,2026-03,73,1.8592418418410253,0.1643835616438356
native,1,original,F,qrf,raw,e_rms72,0,all,16,1.4715829272164456,0.1875
native,1,original,F,qrf,raw,e_rms72,0,2026-01,16,1.4715829272164456,0.1875
native,1,original,F,qrf,raw,e_rms72,1,all,123,1.3734122254573977,0.17886178861788618
native,1,original,F,qrf,raw,e_rms72,1,2025-12,9,1.2671614554632942,0.3333333333333333
native,1,original,F,qrf,raw,e_rms72,1,2026-01,114,1.3818004441411424,0.16666666666666666
native,1,original,F,qrf,raw,e_rms72,2,all,949,1.8567746270548413,0.19599578503688092
native,1,original,F,qrf,raw,e_rms72,2,2025-12,304,1.684036987829615,0.17763157894736842
native,1,original,F,qrf,raw,e_rms72,2,2026-01,164,1.5196847598081784,0.1951219512195122
native,1,original,F,qrf,raw,e_rms72,2,2026-02,280,2.113380317724991,0.21071428571428572
native,1,original,F,qrf,raw,e_rms72,2,2026-03,201,2.0356073990214067,0.20398009950248755
native,1,original,F,threshold,raw,e_now,0,all,519,1.8481256588696444,0.15606936416184972
native,1,original,F,threshold,raw,e_now,0,2025-12,139,2.100296399533853,0.1079136690647482
native,1,original,F,threshold,raw,e_now,0,2026-01,160,1.4289488356272098,0.1875
native,1,original,F,threshold,raw,e_now,0,2026-02,117,1.9382945054149967,0.11965811965811966
native,1,original,F,threshold,raw,e_now,0,2026-03,103,2.0565412289731233,0.21359223300970873
native,1,original,F,threshold,raw,e_now,1,all,248,1.845934831270509,0.2661290322580645
native,1,original,F,threshold,raw,e_now,1,2025-12,69,1.2749738492397298,0.2028985507246377
native,1,original,F,threshold,raw,e_now,1,2026-01,73,1.499182984570321,0.1917808219178082
native,1,original,F,threshold,raw,e_now,1,2026-02,60,2.3320263988906405,0.36666666666666664
native,1,original,F,threshold,raw,e_now,1,2026-03,46,2.6186239293581095,0.34782608695652173
native,1,original,F,threshold,raw,e_now,2,all,321,1.9382370096832757,0.21495327102803738
native,1,original,F,threshold,raw,e_now,2,2025-12,105,1.6541517398633343,0.1619047619047619
native,1,original,F,threshold,raw,e_now,2,2026-01,61,1.797426834766771,0.2786885245901639
native,1,original,F,threshold,raw,e_now,2,2026-02,103,2.004734208722303,0.21359223300970873
native,1,original,F,threshold,raw,e_now,2,2026-03,52,2.5453362885290605,0.25
native,1,original,F,threshold,raw,e_change1,0,all,430,1.7470046614014327,0.15813953488372093
native,1,original,F,threshold,raw,e_change1,0,2025-12,115,1.6680530821519803,0.08695652173913043
native,1,original,F,threshold,raw,e_change1,0,2026-01,116,1.3800511481892443,0.15517241379310345
native,1,original,F,threshold,raw,e_change1,0,2026-02,121,1.762353589070915,0.14049586776859505
native,1,original,F,threshold,raw,e_change1,0,2026-03,78,2.385322852405195,0.2948717948717949
native,1,original,F,threshold,raw,e_change1,1,all,226,2.062515446041237,0.21238938053097345
native,1,original,F,threshold,raw,e_change1,1,2025-12,62,2.125507936632405,0.16129032258064516
native,1,original,F,threshold,raw,e_change1,1,2026-01,71,1.4214280009233629,0.18309859154929578
native,1,original,F,threshold,raw,e_change1,1,2026-02,43,2.3732436239072383,0.32558139534883723
native,1,original,F,threshold,raw,e_change1,1,2026-03,50,2.6275226968108107,0.22
native,1,original,F,threshold,raw,e_change1,2,all,432,1.9023209259463603,0.23148148148148148
native,1,original,F,threshold,raw,e_change1,2,2025-12,136,1.6911230242625752,0.19117647058823528
native,1,original,F,threshold,raw,e_change1,2,2026-01,107,1.7449335256004574,0.2803738317757009
native,1,original,F,threshold,raw,e_change1,2,2026-02,116,2.2232362453430885,0.23275862068965517
native,1,original,F,threshold,raw,e_change1,2,2026-03,73,2.016529000137948,0.2328767123287671
native,1,original,F,threshold,raw,e_rms72,0,all,16,1.5780922890747835,0.1875
native,1,original,F,threshold,raw,e_rms72,0,2026-01,16,1.5780922890747835,0.1875
native,1,original,F,threshold,raw,e_rms72,1,all,123,1.4710101419533697,0.2032520325203252
native,1,original,F,threshold,raw,e_rms72,1,2025-12,9,1.6806111364969314,0.2222222222222222
native,1,original,F,threshold,raw,e_rms72,1,2026-01,114,1.4544626950157202,0.20175438596491227
native,1,original,F,threshold,raw,e_rms72,2,all,949,1.931464079168917,0.19810326659641728
native,1,original,F,threshold,raw,e_rms72,2,2025-12,304,1.7712987749668574,0.14473684210526316
native,1,original,F,threshold,raw,e_rms72,2,2026-01,164,1.5649816136449477,0.21341463414634146
native,1,original,F,threshold,raw,e_rms72,2,2026-02,280,2.0471059448763937,0.20714285714285716
native,1,original,F,threshold,raw,e_rms72,2,2026-03,201,2.311631514120477,0.2537313432835821
native,1,own_scale,F,boosting,raw,e_now,0,all,519,1.6909291364147214,0.14065510597302505
native,1,own_scale,F,boosting,raw,e_now,0,2025-12,139,1.738126689297477,0.11510791366906475
native,1,own_scale,F,boosting,raw,e_now,0,2026-01,160,1.4847961180332923,0.16875
native,1,own_scale,F,boosting,raw,e_now,0,2026-02,117,1.9598493011980238,0.13675213675213677
native,1,own_scale,F,boosting,raw,e_now,0,2026-03,103,1.641969561761122,0.13592233009708737
native,1,own_scale,F,boosting,raw,e_now,1,all,248,1.683454208621485,0.2217741935483871
native,1,own_scale,F,boosting,raw,e_now,1,2025-12,69,1.359368940616331,0.18840579710144928
native,1,own_scale,F,boosting,raw,e_now,1,2026-01,73,1.499351129138549,0.1780821917808219
native,1,own_scale,F,boosting,raw,e_now,1,2026-02,60,2.0564832066503067,0.3333333333333333
native,1,own_scale,F,boosting,raw,e_now,1,2026-03,46,1.9751861306406304,0.1956521739130435
native,1,own_scale,F,boosting,raw,e_now,2,all,321,1.832840158863454,0.19937694704049844
native,1,own_scale,F,boosting,raw,e_now,2,2025-12,105,1.7438228373578812,0.2
native,1,own_scale,F,boosting,raw,e_now,2,2026-01,61,1.6010716292315166,0.2459016393442623
native,1,own_scale,F,boosting,raw,e_now,2,2026-02,103,1.8867828170431884,0.18446601941747573
native,1,own_scale,F,boosting,raw,e_now,2,2026-03,52,2.1776210295003904,0.17307692307692307
native,1,own_scale,F,boosting,raw,e_change1,0,all,430,1.6196978066118417,0.14418604651162792
native,1,own_scale,F,boosting,raw,e_change1,0,2025-12,115,1.308899452829236,0.10434782608695652
native,1,own_scale,F,boosting,raw,e_change1,0,2026-01,116,1.4594526326118373,0.14655172413793102
native,1,own_scale,F,boosting,raw,e_change1,0,2026-02,121,1.8411496837871422,0.14049586776859505
native,1,own_scale,F,boosting,raw,e_change1,0,2026-03,78,1.972705162134776,0.20512820512820512
native,1,own_scale,F,boosting,raw,e_change1,1,all,226,1.942307998734701,0.2079646017699115
native,1,own_scale,F,boosting,raw,e_change1,1,2025-12,62,2.1342397757389566,0.1774193548387097
native,1,own_scale,F,boosting,raw,e_change1,1,2026-01,71,1.589905472890067,0.2112676056338028
native,1,own_scale,F,boosting,raw,e_change1,1,2026-02,43,2.2421818152378794,0.3023255813953488
