sample,horizon,variant,information,strategy,calibration,fold,n,loss_bp,below_rate
native,1,original,B,boosting,raw,2025-12,313,1.6977979184947434,0.1597444089456869
native,1,original,B,boosting,raw,2026-01,294,1.5839067336184702,0.20748299319727892
native,1,original,B,boosting,raw,2026-02,280,2.15642659061039,0.225
native,1,original,B,boosting,raw,2026-03,201,1.974613637452126,0.19900497512437812
native,1,original,B,linear,raw,2025-12,313,1.9509235805406746,0.16932907348242812
native,1,original,B,linear,raw,2026-01,294,1.4091022021008728,0.12585034013605442
native,1,original,B,linear,raw,2026-02,280,1.9433098007198522,0.16785714285714284
native,1,original,B,linear,raw,2026-03,201,1.974820328508838,0.21393034825870647
native,1,original,B,ml_selected,raw,2025-12,313,1.652003780886517,0.1597444089456869
native,1,original,B,ml_selected,raw,2026-01,294,1.5839067336184702,0.20748299319727892
native,1,original,B,ml_selected,raw,2026-02,280,2.151365736479113,0.22142857142857142
native,1,original,B,ml_selected,raw,2026-03,201,1.974613637452126,0.19900497512437812
native,1,original,B,qrf,raw,2025-12,313,1.652003780886517,0.1597444089456869
native,1,original,B,qrf,raw,2026-01,294,1.4640921153748405,0.17687074829931973
native,1,original,B,qrf,raw,2026-02,280,2.151365736479113,0.22142857142857142
native,1,original,B,qrf,raw,2026-03,201,1.9997767734983305,0.19402985074626866
native,1,original,B,threshold,raw,2025-12,313,1.769754613864158,0.14057507987220447
native,1,original,B,threshold,raw,2026-01,294,1.5014550755344949,0.20408163265306123
native,1,original,B,threshold,raw,2026-02,280,2.086212080720542,0.20357142857142857
native,1,original,B,threshold,raw,2026-03,201,2.075589112402949,0.21890547263681592
native,1,original,F,boosting,raw,2025-12,313,1.6876459153271943,0.16613418530351437
native,1,original,F,boosting,raw,2026-01,294,1.5741117824312987,0.20748299319727892
native,1,original,F,boosting,raw,2026-02,280,2.1421842887329507,0.2357142857142857
native,1,original,F,boosting,raw,2026-03,201,1.9404069261908803,0.19402985074626866
native,1,original,F,linear,raw,2025-12,313,2.0599663430393806,0.18210862619808307
native,1,original,F,linear,raw,2026-01,294,1.4032205923571244,0.12244897959183673
native,1,original,F,linear,raw,2026-02,280,1.9383820929536748,0.16071428571428573
native,1,original,F,linear,raw,2026-03,201,2.0455404298812807,0.21393034825870647
native,1,original,F,ml_selected,raw,2025-12,313,1.6720501514356951,0.18210862619808307
native,1,original,F,ml_selected,raw,2026-01,294,1.5741117824312987,0.20748299319727892
native,1,original,F,ml_selected,raw,2026-02,280,2.113380317724991,0.21071428571428572
native,1,original,F,ml_selected,raw,2026-03,201,2.0356073990214067,0.20398009950248755
native,1,original,F,qrf,raw,2025-12,313,1.6720501514356951,0.18210862619808307
native,1,original,F,qrf,raw,2026-01,294,1.4636016261091653,0.1836734693877551
native,1,original,F,qrf,raw,2026-02,280,2.113380317724991,0.21071428571428572
native,1,original,F,qrf,raw,2026-03,201,2.0356073990214067,0.20398009950248755
native,1,original,F,threshold,raw,2025-12,313,1.7686911431897672,0.14696485623003194
native,1,original,F,threshold,raw,2026-01,294,1.5228408452202724,0.20748299319727892
native,1,original,F,threshold,raw,2026-02,280,2.0471059448763937,0.20714285714285716
native,1,original,F,threshold,raw,2026-03,201,2.311631514120477,0.2537313432835821
native,1,original,R,boosting,raw,2025-12,313,1.6786746582160113,0.14696485623003194
native,1,original,R,boosting,raw,2026-01,294,1.5724457187652614,0.19727891156462585
native,1,original,R,boosting,raw,2026-02,280,2.137119037989658,0.2357142857142857
native,1,original,R,boosting,raw,2026-03,201,2.060023083232854,0.22388059701492538
native,1,original,R,linear,raw,2025-12,313,2.026144584590712,0.1757188498402556
native,1,original,R,linear,raw,2026-01,294,1.446498192308819,0.12244897959183673
native,1,original,R,linear,raw,2026-02,280,2.000003121745216,0.16428571428571428
native,1,original,R,linear,raw,2026-03,201,2.0188630745767573,0.19900497512437812
native,1,original,R,ml_selected,raw,2025-12,313,1.6502502800042487,0.16293929712460065
native,1,original,R,ml_selected,raw,2026-01,294,1.5724457187652614,0.19727891156462585
native,1,original,R,ml_selected,raw,2026-02,280,2.131111016715352,0.22142857142857142
native,1,original,R,ml_selected,raw,2026-03,201,2.0836226729004816,0.208955223880597
native,1,original,R,qrf,raw,2025-12,313,1.6502502800042487,0.16293929712460065
native,1,original,R,qrf,raw,2026-01,294,1.5087028155658995,0.18027210884353742
native,1,original,R,qrf,raw,2026-02,280,2.131111016715352,0.22142857142857142
native,1,original,R,qrf,raw,2026-03,201,2.0836226729004816,0.208955223880597
native,1,original,R,threshold,raw,2025-12,313,1.676105875737672,0.16613418530351437
native,1,original,R,threshold,raw,2026-01,294,1.589970028553056,0.21768707482993196
native,1,original,R,threshold,raw,2026-02,280,2.1427464324274683,0.21428571428571427
native,1,original,R,threshold,raw,2026-03,201,2.064731195539883,0.22388059701492538
native,1,own_scale,B,boosting,raw,2025-12,313,1.733460418554365,0.15335463258785942
native,1,own_scale,B,boosting,raw,2026-01,294,1.5576961075808808,0.20408163265306123
native,1,own_scale,B,boosting,raw,2026-02,280,1.939733875074568,0.17142857142857143
native,1,own_scale,B,boosting,raw,2026-03,201,1.852297202579969,0.19402985074626866
native,1,own_scale,B,linear,raw,2025-12,313,1.8621259859284394,0.14376996805111822
native,1,own_scale,B,linear,raw,2026-01,294,1.3564925370965022,0.12585034013605442
native,1,own_scale,B,linear,raw,2026-02,280,1.8537811652277794,0.1
native,1,own_scale,B,linear,raw,2026-03,201,1.8375172012501126,0.1791044776119403
native,1,own_scale,B,ml_selected,raw,2025-12,313,1.6169250386144332,0.15654952076677317
native,1,own_scale,B,ml_selected,raw,2026-01,294,1.4514522289938028,0.17346938775510204
native,1,own_scale,B,ml_selected,raw,2026-02,280,2.0734700725463364,0.22142857142857142
native,1,own_scale,B,ml_selected,raw,2026-03,201,1.852297202579969,0.19402985074626866
native,1,own_scale,B,qrf,raw,2025-12,313,1.6169250386144332,0.15654952076677317
native,1,own_scale,B,qrf,raw,2026-01,294,1.4514522289938028,0.17346938775510204
native,1,own_scale,B,qrf,raw,2026-02,280,2.0734700725463364,0.22142857142857142
native,1,own_scale,B,qrf,raw,2026-03,201,1.9701121972838453,0.19900497512437812
native,1,own_scale,B,threshold,raw,2025-12,313,1.769754613864158,0.14057507987220447
native,1,own_scale,B,threshold,raw,2026-01,294,1.496069729789686,0.19047619047619047
native,1,own_scale,B,threshold,raw,2026-02,280,1.9633638521695458,0.16071428571428573
native,1,own_scale,B,threshold,raw,2026-03,201,1.8930090484407824,0.18407960199004975
native,1,own_scale,F,boosting,raw,2025-12,313,1.6565414205669444,0.1597444089456869
native,1,own_scale,F,boosting,raw,2026-01,294,1.5125353084883109,0.1870748299319728
native,1,own_scale,F,boosting,raw,2026-02,280,1.9536785385522697,0.19642857142857142
native,1,own_scale,F,boosting,raw,2026-03,201,1.8568045791287804,0.15920398009950248
native,1,own_scale,F,linear,raw,2025-12,313,1.8287377726805782,0.14696485623003194
native,1,own_scale,F,linear,raw,2026-01,294,1.3584966230172046,0.1360544217687075
native,1,own_scale,F,linear,raw,2026-02,280,1.846062458892515,0.08214285714285714
native,1,own_scale,F,linear,raw,2026-03,201,1.8340725155335507,0.1691542288557214
native,1,own_scale,F,ml_selected,raw,2025-12,313,1.6399333227655006,0.1597444089456869
native,1,own_scale,F,ml_selected,raw,2026-01,294,1.4317809833090513,0.19047619047619047
native,1,own_scale,F,ml_selected,raw,2026-02,280,2.0663149014448448,0.20357142857142857
native,1,own_scale,F,ml_selected,raw,2026-03,201,1.9660872967690173,0.19900497512437812
native,1,own_scale,F,qrf,raw,2025-12,313,1.6399333227655006,0.1597444089456869
native,1,own_scale,F,qrf,raw,2026-01,294,1.4317809833090513,0.19047619047619047
native,1,own_scale,F,qrf,raw,2026-02,280,2.0663149014448448,0.20357142857142857
native,1,own_scale,F,qrf,raw,2026-03,201,1.9660872967690173,0.19900497512437812
native,1,own_scale,F,threshold,raw,2025-12,313,1.7686911431897663,0.14696485623003194
native,1,own_scale,F,threshold,raw,2026-01,294,1.5198669269853406,0.2108843537414966
native,1,own_scale,F,threshold,raw,2026-02,280,2.0371359029402187,0.21071428571428572
native,1,own_scale,F,threshold,raw,2026-03,201,2.0860346000080146,0.22885572139303484
native,1,own_scale,R,boosting,raw,2025-12,313,1.7028892435977314,0.14376996805111822
native,1,own_scale,R,boosting,raw,2026-01,294,1.5515782019935478,0.19387755102040816
native,1,own_scale,R,boosting,raw,2026-02,280,1.9406115184989996,0.17857142857142858
native,1,own_scale,R,boosting,raw,2026-03,201,1.9345987818835602,0.1791044776119403
native,1,own_scale,R,linear,raw,2025-12,313,1.874867661541925,0.14376996805111822
native,1,own_scale,R,linear,raw,2026-01,294,1.3911502259434283,0.12585034013605442
native,1,own_scale,R,linear,raw,2026-02,280,1.885866495289259,0.12857142857142856
native,1,own_scale,R,linear,raw,2026-03,201,1.8249987014251203,0.12935323383084577
native,1,own_scale,R,ml_selected,raw,2025-12,313,1.6029588841689815,0.1501597444089457
native,1,own_scale,R,ml_selected,raw,2026-01,294,1.465530892605285,0.17346938775510204
native,1,own_scale,R,ml_selected,raw,2026-02,280,1.9406115184989996,0.17857142857142858
native,1,own_scale,R,ml_selected,raw,2026-03,201,1.9345987818835602,0.1791044776119403
native,1,own_scale,R,qrf,raw,2025-12,313,1.6029588841689815,0.1501597444089457
native,1,own_scale,R,qrf,raw,2026-01,294,1.465530892605285,0.17346938775510204
native,1,own_scale,R,qrf,raw,2026-02,280,2.0373636491317746,0.19642857142857142
native,1,own_scale,R,qrf,raw,2026-03,201,1.9607583176581125,0.17412935323383086
native,1,own_scale,R,threshold,raw,2025-12,313,1.676105875737672,0.16613418530351437
native,1,own_scale,R,threshold,raw,2026-01,294,1.528693285954425,0.20068027210884354
native,1,own_scale,R,threshold,raw,2026-02,280,2.096295446802099,0.21428571428571427
native,1,own_scale,R,threshold,raw,2026-03,201,1.9297116253528888,0.15920398009950248
native,1,original,B,boosting,calibrated,2025-12,313,1.6938592989479704,0.08945686900958466
native,1,original,B,boosting,calibrated,2026-01,294,1.4531614889909825,0.11224489795918367
native,1,original,B,boosting,calibrated,2026-02,280,1.8903929459798097,0.11785714285714285
native,1,original,B,boosting,calibrated,2026-03,201,1.8503423429849064,0.07960199004975124
native,1,original,B,linear,calibrated,2025-12,313,1.791256827087799,0.0926517571884984
native,1,original,B,linear,calibrated,2026-01,294,1.4205090202696018,0.09183673469387756
native,1,original,B,linear,calibrated,2026-02,280,1.9085752537634773,0.11428571428571428
native,1,original,B,linear,calibrated,2026-03,201,1.8143460355707448,0.09950248756218906
native,1,original,B,ml_selected,calibrated,2025-12,313,1.645163920787181,0.10223642172523961
native,1,original,B,ml_selected,calibrated,2026-01,294,1.4531614889909825,0.11224489795918367
native,1,original,B,ml_selected,calibrated,2026-02,280,1.8868712304769661,0.1
native,1,original,B,ml_selected,calibrated,2026-03,201,1.8503423429849064,0.07960199004975124
native,1,original,B,qrf,calibrated,2025-12,313,1.645163920787181,0.10223642172523961
native,1,original,B,qrf,calibrated,2026-01,294,1.4197632872947332,0.11564625850340136
native,1,original,B,qrf,calibrated,2026-02,280,1.8868712304769661,0.1
native,1,original,B,qrf,calibrated,2026-03,201,1.8385053909298337,0.0945273631840796
native,1,original,B,threshold,calibrated,2025-12,313,1.755139161637693,0.07987220447284345
native,1,original,B,threshold,calibrated,2026-01,294,1.4067966250638366,0.10204081632653061
native,1,original,B,threshold,calibrated,2026-02,280,1.9096934085729702,0.09642857142857143
native,1,original,B,threshold,calibrated,2026-03,201,1.8390438817073922,0.0845771144278607
native,1,original,F,boosting,calibrated,2025-12,313,1.658063369463303,0.08945686900958466
native,1,original,F,boosting,calibrated,2026-01,294,1.4443643626609888,0.11564625850340136
native,1,original,F,boosting,calibrated,2026-02,280,1.884489032141786,0.10714285714285714
native,1,original,F,boosting,calibrated,2026-03,201,1.8507123740997622,0.08955223880597014
native,1,original,F,linear,calibrated,2025-12,313,1.845427731612483,0.0926517571884984
native,1,original,F,linear,calibrated,2026-01,294,1.427623938779799,0.09523809523809523
native,1,original,F,linear,calibrated,2026-02,280,1.925656761409691,0.10714285714285714
native,1,original,F,linear,calibrated,2026-03,201,1.8526334827804438,0.09950248756218906
native,1,original,F,ml_selected,calibrated,2025-12,313,1.6335547648439805,0.10223642172523961
native,1,original,F,ml_selected,calibrated,2026-01,294,1.4443643626609888,0.11564625850340136
native,1,original,F,ml_selected,calibrated,2026-02,280,1.8826524883334546,0.1
native,1,original,F,ml_selected,calibrated,2026-03,201,1.8676932227433853,0.08955223880597014
native,1,original,F,qrf,calibrated,2025-12,313,1.6335547648439805,0.10223642172523961
native,1,original,F,qrf,calibrated,2026-01,294,1.3985425249450312,0.11564625850340136
native,1,original,F,qrf,calibrated,2026-02,280,1.8826524883334546,0.1
native,1,original,F,qrf,calibrated,2026-03,201,1.8676932227433853,0.08955223880597014
native,1,original,F,threshold,calibrated,2025-12,313,1.743723029055326,0.08306709265175719
native,1,original,F,threshold,calibrated,2026-01,294,1.3953120392777998,0.10204081632653061
native,1,original,F,threshold,calibrated,2026-02,280,1.953235261398126,0.1
native,1,original,F,threshold,calibrated,2026-03,201,1.9050764419959707,0.0945273631840796
native,1,original,R,boosting,calibrated,2025-12,313,1.6761464581290748,0.08945686900958466
native,1,original,R,boosting,calibrated,2026-01,294,1.4479450713009814,0.12585034013605442
native,1,original,R,boosting,calibrated,2026-02,280,1.8891475073963342,0.1
native,1,original,R,boosting,calibrated,2026-03,201,1.876577171850371,0.07960199004975124
native,1,original,R,linear,calibrated,2025-12,313,1.8273280729739987,0.09904153354632587
native,1,original,R,linear,calibrated,2026-01,294,1.4747795396805192,0.09183673469387756
native,1,original,R,linear,calibrated,2026-02,280,1.9137891901991326,0.11071428571428571
native,1,original,R,linear,calibrated,2026-03,201,1.8359574192651258,0.0845771144278607
native,1,original,R,ml_selected,calibrated,2025-12,313,1.611821855727437,0.0926517571884984
native,1,original,R,ml_selected,calibrated,2026-01,294,1.4479450713009814,0.12585034013605442
native,1,original,R,ml_selected,calibrated,2026-02,280,1.8675166099191844,0.10714285714285714
native,1,original,R,ml_selected,calibrated,2026-03,201,1.8764882393757378,0.08955223880597014
native,1,original,R,qrf,calibrated,2025-12,313,1.611821855727437,0.0926517571884984
native,1,original,R,qrf,calibrated,2026-01,294,1.4529580337673504,0.11224489795918367
native,1,original,R,qrf,calibrated,2026-02,280,1.8675166099191844,0.10714285714285714
native,1,original,R,qrf,calibrated,2026-03,201,1.8764882393757378,0.08955223880597014
native,1,original,R,threshold,calibrated,2025-12,313,1.638817491380748,0.07987220447284345
native,1,original,R,threshold,calibrated,2026-01,294,1.4614710704231297,0.10884353741496598
native,1,original,R,threshold,calibrated,2026-02,280,1.887649575236026,0.09285714285714286
native,1,original,R,threshold,calibrated,2026-03,201,1.835295392987378,0.0845771144278607
native,1,own_scale,B,boosting,calibrated,2025-12,313,1.7530210953224121,0.0926517571884984
native,1,own_scale,B,boosting,calibrated,2026-01,294,1.4563212523744755,0.11224489795918367
native,1,own_scale,B,boosting,calibrated,2026-02,280,1.8809863812289518,0.11071428571428571
native,1,own_scale,B,boosting,calibrated,2026-03,201,1.7809467406606627,0.0945273631840796
