scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs
clock_UTC_quote,sequential_ols,2026-01,346,26,6.884127092187908,8.468523330622547,-1.9677247486440599,-12.901420041748363,-2.3485592676436866,9.377881117734287,0.1982962137149592,315
clock_UTC_quote,joint_ols,2026-01,346,26,6.8865222532529256,8.469796640288756,-1.9909605516221995,-12.922069193372858,-2.374917503612288,9.328656888759246,0.19781259841552967,315
clock_UTC_quote,lightgbm,2026-01,346,26,8.033799585264779,9.777398085586096,-3.4161971268489837,-15.132094992213844,-4.182799231174421,9.37684517543024,0.38315987323000644,315
clock_UTC_quote,linear_plus_lightgbm,2026-01,346,26,6.908772150445251,8.463775035991487,-1.9951498249551893,-12.967010738312105,-2.2704121177081564,9.06821232864803,0.20460090048621418,315
clock_UTC_quote,sequential_ols,2026-02,324,24,8.057903973552618,9.953379547203127,-0.18462306227529812,-13.63680992051372,-0.5395077062483864,12.778178051100712,0.13786748757466577,300
clock_UTC_quote,joint_ols,2026-02,324,24,8.055673075469953,9.95101694658855,-0.17426483117597338,-13.629079625415654,-0.5200126609509539,12.796241150550161,0.13784774080499274,300
clock_UTC_quote,lightgbm,2026-02,324,24,9.666173490491623,11.926883377435669,5.331396176213803,-8.601237813353281,5.3362019885119665,18.294011692080254,0.3350206151524998,300
clock_UTC_quote,linear_plus_lightgbm,2026-02,324,24,8.017406301760685,9.934802309528987,1.0588246384790765,-11.498186470925907,1.1110619646469644,13.564680043436201,0.15706224568231608,300
clock_UTC_quote,sequential_ols,2026-03,237,17,8.58761908704373,10.70401349690479,-2.958697350190306,-15.9622308729562,-2.9706835800070905,10.412620723717533,0.31040182462215066,219
clock_UTC_quote,joint_ols,2026-03,237,17,8.596722301928997,10.71584677542341,-3.00630420267574,-16.00181442731945,-3.0352459152013864,10.347442392816511,0.31050443475808154,219
clock_UTC_quote,lightgbm,2026-03,237,17,16.82967351398824,20.660574859480526,-15.560536285012466,-31.328728771901844,-14.144579343936186,1.2202145474531592,0.4898974410311408,219
clock_UTC_quote,linear_plus_lightgbm,2026-03,237,17,8.861703819787492,11.043912104731671,-4.134245011034627,-17.029128026961853,-3.999742202167397,9.696948002326366,0.31084937552806485,219
clock_NY_quote,sequential_ols,2026-01,346,21,6.894897445666467,8.463702484417654,-2.8711904204448535,-12.674180467964957,-3.4875543574755135,7.997705645498442,0.19303060183081436,315
clock_NY_quote,joint_ols,2026-01,346,21,6.900913953197276,8.467988682151335,-2.906321844828654,-12.70401260461263,-3.546088892021462,7.982042302211532,0.19193354871499646,315
clock_NY_quote,lightgbm,2026-01,346,21,7.902374023327713,9.596244600037618,-4.114997622892889,-15.130328142526619,-4.825370442416439,7.525135615219085,0.3184969506538578,315
clock_NY_quote,linear_plus_lightgbm,2026-01,346,21,6.83258340249487,8.347467734920023,-2.9780717186181667,-12.466702915872872,-3.5563740992671953,7.933798117132857,0.17173454702210714,315
clock_NY_quote,sequential_ols,2026-02,324,20,8.4456942193254,10.465255235953366,-0.3112303418081967,-14.6777725494081,-0.6982681538775353,13.335955607414812,0.10374063968522135,300
clock_NY_quote,joint_ols,2026-02,324,20,8.443603751752265,10.462450034785409,-0.3004716201099512,-14.664613127309135,-0.6781179769316594,13.347431610361607,0.10363016222504666,300
clock_NY_quote,lightgbm,2026-02,324,20,10.001356712297616,12.36264602631406,5.220386337730585,-9.44170904340571,5.254044520203301,19.7076537433892,0.2618480712026558,300
clock_NY_quote,linear_plus_lightgbm,2026-02,324,20,8.557262916889883,10.590944142474019,0.8914652417883516,-13.210454021077803,0.5741077928010867,15.04751511809253,0.12188705795969997,300
clock_NY_quote,sequential_ols,2026-03,237,14,9.331654908100091,11.497640649039832,-3.5980062235926735,-17.368780759386762,-3.2912596623279597,9.948914421044497,0.2924954824528269,219
