split,state,n,future_label_disagreement_rate,future_all_three_lower_rate,mean_future_reference_range_bp
initial_training,all,3389,0.13189731484213632,0.03717910888167601,5.6723785090552115
initial_training,high_current_dispersion,878,0.1560364464692483,0.06150341685649203,6.714717141677478
initial_training,other_current_dispersion,2511,0.12345679012345678,0.02867383512544803,5.307912830264948
development,all,1455,0.21168384879725086,0.088659793814433,7.376589661392103
development,high_current_dispersion,822,0.21654501216545013,0.11192214111922141,8.245267000121707
development,other_current_dispersion,633,0.20537124802527645,0.05845181674565561,6.2485442073072175
evaluation,all,1814,0.2557883131201764,0.09095920617420065,7.060858729595998
evaluation,high_current_dispersion,1125,0.26222222222222225,0.09866666666666667,7.2358038949716645
evaluation,other_current_dispersion,689,0.24528301886792453,0.0783744557329463,6.775208060441243
