method,info,algorithm,q,period,n,days,pinball,below_rate
pca,without_positioning,quantile_lightgbm,0.1,all,577,55,2.0852612006813795,0.18197573656845753
pca,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.7654750487552762,0.19545454545454546
pca,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.2544497144330955,0.16176470588235295
pca,without_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.3194997406708735,0.1895424836601307
pca,without_positioning,quantile_lightgbm,0.5,all,577,55,4.114773042325813,0.5719237435008665
pca,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.444328346559875,0.6454545454545455
pca,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.652156418889146,0.5
pca,without_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.362299998205455,0.5620915032679739
pca,without_positioning,quantile_lightgbm,0.9,all,577,55,1.8331765489977039,0.8752166377816292
pca,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.484643880074477,0.9363636363636364
pca,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.1903396180604195,0.7843137254901961
pca,without_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.858117209614148,0.9084967320261438
pca,with_positioning,linear_qr,0.1,all,577,55,2.0505944827630955,0.17677642980935876
pca,with_positioning,linear_qr,0.1,2026-01,220,21,1.6285159048670612,0.1318181818181818
pca,with_positioning,linear_qr,0.1,2026-02,204,20,2.162789630954124,0.14215686274509803
pca,with_positioning,linear_qr,0.1,2026-03,153,14,2.5079113252870013,0.2875816993464052
pca,with_positioning,linear_qr,0.5,all,577,55,4.006032652919437,0.5563258232235702
pca,with_positioning,linear_qr,0.5,2026-01,220,21,3.31914035240262,0.6545454545454545
pca,with_positioning,linear_qr,0.5,2026-02,204,20,4.5478049023824925,0.5
pca,with_positioning,linear_qr,0.5,2026-03,153,14,4.271357928888302,0.49019607843137253
pca,with_positioning,linear_qr,0.9,all,577,55,1.830886312858639,0.8960138648180243
pca,with_positioning,linear_qr,0.9,2026-01,220,21,1.5787046087455234,0.9545454545454546
pca,with_positioning,linear_qr,0.9,2026-02,204,20,2.077287333473029,0.8186274509803921
pca,with_positioning,linear_qr,0.9,2026-03,153,14,1.86496583377073,0.9150326797385621
pca,with_positioning,quantile_lightgbm,0.1,all,577,55,2.066952847403493,0.1733102253032929
pca,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.782762652416171,0.19090909090909092
pca,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.253931517074873,0.1568627450980392
pca,with_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.2262874505685226,0.16993464052287582
pca,with_positioning,quantile_lightgbm,0.5,all,577,55,4.168176200759109,0.5632582322357019
pca,with_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.598447962666485,0.6227272727272727
pca,with_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.592786140815038,0.49019607843137253
pca,with_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.421246688399418,0.5751633986928104
pca,with_positioning,quantile_lightgbm,0.9,all,577,55,1.8289151488786703,0.8821490467937608
pca,with_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.5032364501880213,0.9545454545454546
pca,with_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.1801646266993835,0.7843137254901961
pca,with_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.8288786798362986,0.9084967320261438
ml,without_positioning,linear_qr,0.1,all,577,55,2.1149422003818,0.18197573656845753
ml,without_positioning,linear_qr,0.1,2026-01,220,21,1.5660275530370442,0.1318181818181818
ml,without_positioning,linear_qr,0.1,2026-02,204,20,2.1498918052741294,0.13725490196078433
ml,without_positioning,linear_qr,0.1,2026-03,153,14,2.857631762589716,0.3137254901960784
ml,without_positioning,linear_qr,0.5,all,577,55,3.957898606071002,0.5649913344887348
ml,without_positioning,linear_qr,0.5,2026-01,220,21,3.2114623339937416,0.6409090909090909
ml,without_positioning,linear_qr,0.5,2026-02,204,20,4.4718141458229015,0.5
ml,without_positioning,linear_qr,0.5,2026-03,153,14,4.345984944290677,0.5424836601307189
ml,without_positioning,linear_qr,0.9,all,577,55,1.839873255790747,0.8908145580589255
ml,without_positioning,linear_qr,0.9,2026-01,220,21,1.534584185107019,0.9636363636363636
ml,without_positioning,linear_qr,0.9,2026-02,204,20,2.1267031609946976,0.7990196078431373
ml,without_positioning,linear_qr,0.9,2026-03,153,14,1.8964111308810359,0.9084967320261438
ml,without_positioning,quantile_lightgbm,0.1,all,577,55,2.043559984292035,0.1923743500866551
ml,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.6347888147652159,0.19090909090909092
ml,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.2531714454215783,0.17647058823529413
ml,without_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.3518535740010127,0.21568627450980393
ml,without_positioning,quantile_lightgbm,0.5,all,577,55,4.068491473505195,0.5701906412478336
ml,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.2808971445802952,0.6545454545454545
ml,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.573445512625436,0.47549019607843135
ml,without_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.527707998883947,0.5751633986928104
ml,without_positioning,quantile_lightgbm,0.9,all,577,55,1.8254754738828922,0.8838821490467937
ml,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.4399219722169996,0.9318181818181818
ml,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.147942505704134,0.803921568627451
ml,without_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.9499100874447428,0.9215686274509803
ml,with_positioning,linear_qr,0.1,all,577,55,2.1184091045202904,0.18197573656845753
ml,with_positioning,linear_qr,0.1,2026-01,220,21,1.5751202970729932,0.1318181818181818
ml,with_positioning,linear_qr,0.1,2026-02,204,20,2.1498918052741294,0.13725490196078433
ml,with_positioning,linear_qr,0.1,2026-03,153,14,2.857631762589716,0.3137254901960784
ml,with_positioning,linear_qr,0.5,all,577,55,3.9562840917661557,0.5632582322357019
ml,with_positioning,linear_qr,0.5,2026-01,220,21,3.207227903294213,0.6363636363636364
ml,with_positioning,linear_qr,0.5,2026-02,204,20,4.4718141458229015,0.5
ml,with_positioning,linear_qr,0.5,2026-03,153,14,4.345984944290677,0.5424836601307189
ml,with_positioning,linear_qr,0.9,all,577,55,1.83915817885465,0.8908145580589255
ml,with_positioning,linear_qr,0.9,2026-01,220,21,1.534584185107019,0.9636363636363636
ml,with_positioning,linear_qr,0.9,2026-02,204,20,2.1267031609946976,0.7990196078431373
ml,with_positioning,linear_qr,0.9,2026-03,153,14,1.8937144028279116,0.9084967320261438
ml,with_positioning,quantile_lightgbm,0.1,all,577,55,2.0122976526849277,0.20103986135181975
ml,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.6479326687926057,0.20909090909090908
ml,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.2075505415331036,0.18137254901960784
ml,with_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.2758839738044245,0.21568627450980393
ml,with_positioning,quantile_lightgbm,0.5,all,577,55,4.1199043441451515,0.5667244367417678
ml,with_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.384359658290932,0.6272727272727273
ml,with_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.588722084066975,0.49019607843137253
ml,with_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.552459977765254,0.5816993464052288
ml,with_positioning,quantile_lightgbm,0.9,all,577,55,1.8291507193421,0.8804159445407279
ml,with_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.434381511143257,0.9409090909090909
ml,with_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.154487777219954,0.7843137254901961
ml,with_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.9630099742222515,0.9215686274509803
joint_linear,without_positioning,linear_qr,0.1,all,577,55,2.0750488966865666,0.17677642980935876
joint_linear,without_positioning,linear_qr,0.1,2026-01,220,21,1.6459430007026092,0.1318181818181818
joint_linear,without_positioning,linear_qr,0.1,2026-02,204,20,2.1895742001527854,0.14215686274509803
joint_linear,without_positioning,linear_qr,0.1,2026-03,153,14,2.539363505898083,0.2875816993464052
joint_linear,without_positioning,linear_qr,0.5,all,577,55,4.04385675863257,0.5563258232235702
joint_linear,without_positioning,linear_qr,0.5,2026-01,220,21,3.3466455370289094,0.65
joint_linear,without_positioning,linear_qr,0.5,2026-02,204,20,4.595849823343619,0.5
joint_linear,without_positioning,linear_qr,0.5,2026-03,153,14,4.310391945245322,0.49673202614379086
joint_linear,without_positioning,linear_qr,0.9,all,577,55,1.8580139929709893,0.8925476603119584
joint_linear,without_positioning,linear_qr,0.9,2026-01,220,21,1.5994831189727956,0.9545454545454546
joint_linear,without_positioning,linear_qr,0.9,2026-02,204,20,2.117664474161317,0.8088235294117647
joint_linear,without_positioning,linear_qr,0.9,2026-03,153,14,1.8835570917734448,0.9150326797385621
joint_linear,without_positioning,quantile_lightgbm,0.1,all,577,55,2.0725239906745325,0.18024263431542462
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.7896635754690906,0.2
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.23611292566386,0.16176470588235295
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.2611328051018167,0.17647058823529413
