method,q,contrast,conditioning,block_days,delta_pinball_bp,relative_change_pct,ci_low,ci_high,n,repetitions
linear,0.1,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,576,2000
linear,0.1,add_positioning,quantile_lightgbm,3,0.03482712222571083,1.7224790540654937,0.006687313450687455,0.06604006505530947,576,2000
linear,0.1,ML_minus_linear,without_positioning,3,0.06341199534984576,3.237773068511363,-0.04425163723423689,0.15962346997703314,576,2000
linear,0.1,ML_minus_linear,with_positioning,3,0.09823911757555659,5.016022085500139,-0.0038656537297415677,0.19346770304881877,576,2000
linear,0.1,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,576,2000
linear,0.1,add_positioning,quantile_lightgbm,7,0.03482712222571083,1.7224790540654937,0.006860590396611399,0.06435921674161571,576,2000
linear,0.1,ML_minus_linear,without_positioning,7,0.06341199534984576,3.237773068511363,-0.019440155620079846,0.145357381658734,576,2000
linear,0.1,ML_minus_linear,with_positioning,7,0.09823911757555659,5.016022085500139,0.019687208200026375,0.17606447421859475,576,2000
linear,0.5,add_positioning,linear_qr,3,0.00040421133267809495,0.010426022727439288,-0.002901211605714227,0.003550595425368149,576,2000
linear,0.5,add_positioning,quantile_lightgbm,3,-0.00032306441194540625,-0.008095004740375469,-0.0692970447149799,0.06681350918695149,576,2000
linear,0.5,ML_minus_linear,without_positioning,3,0.11396412900912356,2.9395331182072417,-0.009059246916301411,0.2412367827498841,576,2000
linear,0.5,ML_minus_linear,with_positioning,3,0.11323685326450006,2.9204696465650644,-0.023475763159624605,0.2426953063765223,576,2000
linear,0.5,add_positioning,linear_qr,7,0.00040421133267809495,0.010426022727439288,-0.001555364057554176,0.0026490268513580575,576,2000
linear,0.5,add_positioning,quantile_lightgbm,7,-0.00032306441194540625,-0.008095004740375469,-0.07101572479114586,0.06845064682564168,576,2000
linear,0.5,ML_minus_linear,without_positioning,7,0.11396412900912356,2.9395331182072417,0.01803163036917679,0.21135442507343927,576,2000
linear,0.5,ML_minus_linear,with_positioning,7,0.11323685326450006,2.9204696465650644,0.007558844842995572,0.2153203833337069,576,2000
linear,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,576,2000
linear,0.9,add_positioning,quantile_lightgbm,3,-0.00689576881713605,-0.39280623842657303,-0.03443251322358939,0.017192679327112374,576,2000
linear,0.9,ML_minus_linear,without_positioning,3,-0.004485287350405764,-0.2548459639940614,-0.05857276539984454,0.04513685471802817,576,2000
linear,0.9,ML_minus_linear,with_positioning,3,-0.011381056167541814,-0.6466511515756874,-0.06468355230672879,0.0367744888443241,576,2000
linear,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,576,2000
