method,info,algorithm,q,period,n,days,pinball,below_rate
pca,without_positioning,linear_qr,0.9,2026-03,152,14,1.7626705583645415,0.9078947368421053
pca,without_positioning,quantile_lightgbm,0.1,all,576,55,1.9918321042348768,0.1875
pca,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.7166654173631233,0.20454545454545456
pca,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.125531103973324,0.16176470588235295
pca,without_positioning,quantile_lightgbm,0.1,2026-03,152,14,2.210661546110815,0.19736842105263158
pca,without_positioning,quantile_lightgbm,0.5,all,576,55,3.9688606725604783,0.5798611111111112
pca,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.5343278969070506,0.6227272727272727
pca,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.2348011241112005,0.5490196078431373
pca,without_positioning,quantile_lightgbm,0.5,2026-03,152,14,4.240869610240786,0.5592105263157895
pca,without_positioning,quantile_lightgbm,0.9,all,576,55,1.7476195694597518,0.8940972222222222
pca,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.4755095394300508,0.9409090909090909
pca,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.019289725857846,0.8235294117647058
pca,without_positioning,quantile_lightgbm,0.9,2026-03,152,14,1.7768530872316148,0.9210526315789473
pca,with_positioning,linear_qr,0.1,all,576,55,1.9357150994737635,0.17881944444444445
pca,with_positioning,linear_qr,0.1,2026-01,220,21,1.5378189665450195,0.1318181818181818
pca,with_positioning,linear_qr,0.1,2026-02,204,20,2.0264139850115956,0.14215686274509803
pca,with_positioning,linear_qr,0.1,2026-03,152,14,2.3898899454909084,0.29605263157894735
pca,with_positioning,linear_qr,0.5,all,576,55,3.837586903524424,0.5833333333333334
pca,with_positioning,linear_qr,0.5,2026-01,220,21,3.2617928118292565,0.6863636363636364
pca,with_positioning,linear_qr,0.5,2026-02,204,20,4.206356216575818,0.5441176470588235
pca,with_positioning,linear_qr,0.5,2026-03,152,14,4.176045852935297,0.4868421052631579
pca,with_positioning,linear_qr,0.9,all,576,55,1.745580542170935,0.9079861111111112
pca,with_positioning,linear_qr,0.9,2026-01,220,21,1.5819114094115332,0.9590909090909091
pca,with_positioning,linear_qr,0.9,2026-02,204,20,1.909352732100543,0.8529411764705882
pca,with_positioning,linear_qr,0.9,2026-03,152,14,1.7626705583645415,0.9078947368421053
pca,with_positioning,quantile_lightgbm,0.1,all,576,55,2.028045094340877,0.2013888888888889
pca,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.7272979825338155,0.20909090909090908
pca,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.119734302860437,0.1715686274509804
pca,with_positioning,quantile_lightgbm,0.1,2026-03,152,14,2.3402803973643187,0.23026315789473684
pca,with_positioning,quantile_lightgbm,0.5,all,576,55,3.9603255055871522,0.5885416666666666
pca,with_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.509776250744639,0.6227272727272727
pca,with_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.197203768702832,0.5490196078431373
pca,with_positioning,quantile_lightgbm,0.5,2026-03,152,14,4.294520705519748,0.5921052631578947
pca,with_positioning,quantile_lightgbm,0.9,all,576,55,1.7845563858547644,0.8888888888888888
pca,with_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.4707313855134123,0.9545454545454546
pca,with_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.115579071563179,0.7941176470588235
pca,with_positioning,quantile_lightgbm,0.9,2026-03,152,14,1.7945094923717442,0.9210526315789473
ml,without_positioning,linear_qr,0.1,all,576,55,2.0306586018727035,0.1892361111111111
ml,without_positioning,linear_qr,0.1,2026-01,220,21,1.4485717419446693,0.12727272727272726
ml,without_positioning,linear_qr,0.1,2026-02,204,20,2.010092718151757,0.12745098039215685
ml,without_positioning,linear_qr,0.1,2026-03,152,14,2.900754322025604,0.3618421052631579
ml,without_positioning,linear_qr,0.5,all,576,55,3.755055524397825,0.5798611111111112
ml,without_positioning,linear_qr,0.5,2026-01,220,21,3.088355205967087,0.6545454545454545
ml,without_positioning,linear_qr,0.5,2026-02,204,20,4.152808531815356,0.5
ml,without_positioning,linear_qr,0.5,2026-03,152,14,4.186190106908259,0.5789473684210527
ml,without_positioning,linear_qr,0.9,all,576,55,1.767030872321336,0.8993055555555556
ml,without_positioning,linear_qr,0.9,2026-01,220,21,1.525671699981384,0.9681818181818181
ml,without_positioning,linear_qr,0.9,2026-02,204,20,2.008483681781871,0.8186274509803921
ml,without_positioning,linear_qr,0.9,2026-03,152,14,1.7923114301163385,0.9078947368421053
ml,without_positioning,quantile_lightgbm,0.1,all,576,55,2.002751629391961,0.1909722222222222
ml,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.5521997437663784,0.18636363636363637
