method,info,algorithm,q,period,n,days,pinball,below_rate
linear,without_positioning,linear_qr,0.1,all,577,67,1.8796944452588564,0.18890814558058924
linear,without_positioning,linear_qr,0.1,2026-01,220,26,1.6552642788757574,0.17727272727272728
linear,without_positioning,linear_qr,0.1,2026-02,204,24,1.8372776141723313,0.14215686274509803
linear,without_positioning,linear_qr,0.1,2026-03,153,17,2.2589602632061307,0.2679738562091503
linear,without_positioning,linear_qr,0.5,all,577,67,3.828072861070915,0.5563258232235702
linear,without_positioning,linear_qr,0.5,2026-01,220,26,3.4348036608922246,0.6045454545454545
linear,without_positioning,linear_qr,0.5,2026-02,204,24,4.0929137374515925,0.5
linear,without_positioning,linear_qr,0.5,2026-03,153,17,4.040436817003293,0.5620915032679739
linear,without_positioning,linear_qr,0.9,all,577,67,1.717311424792094,0.8821490467937608
linear,without_positioning,linear_qr,0.9,2026-01,220,26,1.509689879058865,0.9
linear,without_positioning,linear_qr,0.9,2026-02,204,24,1.808574275349975,0.8333333333333334
linear,without_positioning,linear_qr,0.9,2026-03,153,17,1.8941684087627002,0.9215686274509803
linear,without_positioning,quantile_lightgbm,0.1,all,577,67,1.9055442655792167,0.17850953206239167
linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.715745650865148,0.17727272727272728
linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.912299370184042,0.14705882352941177
linear,without_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.169450500204777,0.2222222222222222
linear,without_positioning,quantile_lightgbm,0.5,all,577,67,3.9347603465699392,0.5736568457538995
linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.590913966866087,0.6
linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.072433575748792,0.5049019607843137
linear,without_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.245615671944853,0.6274509803921569
linear,without_positioning,quantile_lightgbm,0.9,all,577,67,1.7427881964915448,0.8648180242634316
linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.502268289827756,0.9
linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8633636765875743,0.7990196078431373
linear,without_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.9278665071218948,0.9019607843137255
linear,with_positioning,linear_qr,0.1,all,577,67,1.8796944452588564,0.18890814558058924
linear,with_positioning,linear_qr,0.1,2026-01,220,26,1.6552642788757574,0.17727272727272728
linear,with_positioning,linear_qr,0.1,2026-02,204,24,1.8372776141723313,0.14215686274509803
linear,with_positioning,linear_qr,0.1,2026-03,153,17,2.2589602632061307,0.2679738562091503
linear,with_positioning,linear_qr,0.5,all,577,67,3.828072861070915,0.5563258232235702
linear,with_positioning,linear_qr,0.5,2026-01,220,26,3.4348036608922246,0.6045454545454545
linear,with_positioning,linear_qr,0.5,2026-02,204,24,4.0929137374515925,0.5
linear,with_positioning,linear_qr,0.5,2026-03,153,17,4.040436817003293,0.5620915032679739
linear,with_positioning,linear_qr,0.9,all,577,67,1.7173114247920942,0.8821490467937608
linear,with_positioning,linear_qr,0.9,2026-01,220,26,1.509689879058865,0.9
