month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp,scenario
2025-08,ae_relu_1,f05,0.0006252045269063,"[7.970308209325053, 7.97092340584352, 7.970964175530389]",clock_UTC_quote
2025-08,ae_relu_2,f07,0.0001384107382116,"[7.963786371466079, 7.963872745028292, 7.963792420553116]",clock_UTC_quote
2025-08,ae_tanh_1,f08,0.2700866413442622,"[9.204050455073794, 8.895702530680088, 8.950329846653762]",clock_UTC_quote
2025-08,ae_tanh_2,f10,0.1042636097726121,"[8.980757253152424, 8.9430116250522, 9.032420669384484]",clock_UTC_quote
2025-08,ae_selected,f05,0.0006252045269063,"[7.970308209325053, 7.97092340584352, 7.970964175530389]",clock_UTC_quote
2025-08,ae_reconstruction_selected,f05,0.0006252045269063,"[7.970308209325053, 7.97092340584352, 7.970964175530389]",clock_UTC_quote
2025-09,ae_relu_1,f05,0.0003702240633466,"[6.045896242049901, 6.0457646545278365, 6.045924295989791]",clock_UTC_quote
2025-09,ae_relu_2,f07,0.0003216756026574,"[6.0390575719606705, 6.038907123463841, 6.038955258310771]",clock_UTC_quote
2025-09,ae_tanh_1,f08,0.2529897261397836,"[9.793234465382316, 9.550315888178435, 9.792382896043724]",clock_UTC_quote
2025-09,ae_tanh_2,f10,0.1091026546498367,"[8.588653214686708, 8.684938422774284, 8.861909327211492]",clock_UTC_quote
2025-09,ae_selected,f05,0.0003702240633466,"[6.045896242049901, 6.0457646545278365, 6.045924295989791]",clock_UTC_quote
2025-09,ae_reconstruction_selected,f05,0.0003702240633466,"[6.045896242049901, 6.0457646545278365, 6.045924295989791]",clock_UTC_quote
2025-10,ae_relu_1,f05,62.72680551791837,"[18.862019988293365, 178.45577807655218, 179.45897359872492]",clock_UTC_quote
2025-10,ae_relu_2,f07,13.002322992726198,"[153.7670510409304, 171.11308426239663, 135.22692267525295]",clock_UTC_quote
2025-10,ae_tanh_1,f08,2.0467842592218264,"[151.1100017356706, 153.0874564853288, 153.82878363787015]",clock_UTC_quote
2025-10,ae_tanh_2,f10,1.388328550208234,"[149.44560656810987, 147.2342940369973, 148.6604057595684]",clock_UTC_quote
2025-10,ae_selected,f05,62.72680551791837,"[18.862019988293365, 178.45577807655218, 179.45897359872492]",clock_UTC_quote
2025-10,ae_reconstruction_selected,f05,62.72680551791837,"[18.862019988293365, 178.45577807655218, 179.45897359872492]",clock_UTC_quote
2025-11,ae_relu_1,f05,0.0112107678682482,"[8.809809292482205, 8.81041059284766, 8.809498602477777]",clock_UTC_quote
2025-11,ae_relu_2,f06,0.6121123146315232,"[8.478336386659837, 8.809938520380536, 8.844993480979115]",clock_UTC_quote
2025-11,ae_tanh_1,f08,1.1917587747168237,"[11.830036758711872, 11.220787423904659, 11.27387649947554]",clock_UTC_quote
2025-11,ae_tanh_2,f10,0.3421414612578554,"[13.491439047085075, 13.072657313722651, 13.39236408053155]",clock_UTC_quote
2025-11,ae_selected,f05,0.0112107678682482,"[8.809809292482205, 8.81041059284766, 8.809498602477777]",clock_UTC_quote
2025-11,ae_reconstruction_selected,f05,0.0112107678682482,"[8.809809292482205, 8.81041059284766, 8.809498602477777]",clock_UTC_quote
2025-12,ae_relu_1,f05,0.0028973578932637,"[13.816511908664223, 13.821658628029477, 13.819291876572908]",clock_UTC_quote
2025-12,ae_relu_2,f06,3.2686890682701857,"[9.650313722232806, 15.173910266136945, 13.928402707107017]",clock_UTC_quote
