scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd,scenario
core,all,1,sequential_ols,M0,0.1,e_origin,2523,estimated,0.4625128380178477,4.457818058737106,clock_UTC_quote
core,all,1,sequential_ols,M0,0.1,downside,2523,estimated,-140185.4657836403,-2.3647591437686097,clock_UTC_quote
core,all,1,sequential_ols,M0,0.5,e_origin,2523,estimated,0.3755078904068939,3.619241926836052,clock_UTC_quote
core,all,1,sequential_ols,M0,0.5,downside,2523,estimated,-74025.40743568237,-1.2487190317924908,clock_UTC_quote
core,all,1,sequential_ols,M0,0.9,e_origin,2523,estimated,0.3352210952447185,3.2309474012781294,clock_UTC_quote
core,all,1,sequential_ols,M0,0.9,downside,2523,estimated,21417.87331745773,0.3612936011904776,clock_UTC_quote
core,all,1,sequential_ols,M1,0.1,e_origin,2523,estimated,0.4663788776059285,4.495079945705256,clock_UTC_quote
core,all,1,sequential_ols,M1,0.1,downside,2523,estimated,-109978.83688141184,-1.855209872739216,clock_UTC_quote
core,all,1,sequential_ols,M1,0.1,btc_vol,2523,estimated,-259.9370752371486,-0.5078021426268461,clock_UTC_quote
core,all,1,sequential_ols,M1,0.1,btc_ret,2523,estimated,266.9986720492132,1.2191306650428302,clock_UTC_quote
core,all,1,sequential_ols,M1,0.5,e_origin,2523,estimated,0.3851086633442269,3.7117766533558494,clock_UTC_quote
core,all,1,sequential_ols,M1,0.5,downside,2523,estimated,-101629.20006802396,-1.71436160511581,clock_UTC_quote
core,all,1,sequential_ols,M1,0.5,btc_vol,2523,estimated,252.8030669044019,0.4938654438562629,clock_UTC_quote
core,all,1,sequential_ols,M1,0.5,btc_ret,2523,estimated,118.91476437097522,0.5429713738212044,clock_UTC_quote
core,all,1,sequential_ols,M1,0.9,e_origin,2523,estimated,0.3300653842525706,3.181255328589027,clock_UTC_quote
core,all,1,sequential_ols,M1,0.9,downside,2523,estimated,-36503.12447435521,-0.6157635307934247,clock_UTC_quote
core,all,1,sequential_ols,M1,0.9,btc_vol,2523,estimated,494.3225247984101,0.96568770350414,clock_UTC_quote
core,all,1,sequential_ols,M1,0.9,btc_ret,2523,estimated,121.85321665885752,0.5563885090617208,clock_UTC_quote
core,all,1,sequential_ols,M2,0.1,e_origin,2523,estimated,0.4519237792606504,4.355757978512823,clock_UTC_quote
