scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs,reference_reconstruction_mse
clock_UTC_quote,sequential_ols,2025-08,357,26,6.481208687700816,7.962126706726117,1.2538276136052526,-9.427002927163088,1.5497504845614145,11.105290918536015,0.40295058897358155,335,
clock_UTC_quote,pca_1,2025-08,357,26,6.483435357990155,7.970814195334067,1.2829900180190328,-9.388928140038182,1.663244859555448,11.068762705034416,0.4047614324076162,335,0.004214475400745947
clock_UTC_quote,pca_2,2025-08,357,26,5.661821973648705,7.105257453772433,0.4710896698690876,-8.993574933555754,0.2610132923225308,9.772694197648386,0.2588826570253608,335,0.0030988371495909873
clock_UTC_quote,conditional_linear,2025-08,357,26,6.5416203345958674,8.258086334829503,1.8037754826199224,-8.512690613993176,2.290379421928577,11.748368806893675,0.36827123173124837,335,0.004214475400745947
clock_UTC_quote,ae_relu_1,2025-08,357,26,6.48337489771808,7.970731914140791,1.2829301901510288,-9.388758297542465,1.6634196077792467,11.068628971355382,0.4047555650568861,335,0.004487167558589599
clock_UTC_quote,ae_relu_2,2025-08,357,26,6.479750008178206,7.96381717811975,1.2678077128967478,-9.402461821387389,1.6151918623421295,11.056690385289265,0.4037534346324349,335,0.004487833073626914
clock_UTC_quote,ae_tanh_1,2025-08,357,26,7.299647478246833,9.014572952396232,3.213303295663271,-7.410015925896524,3.471233131360094,13.37990346184345,0.4767167648370918,335,0.004220421406512822
clock_UTC_quote,ae_tanh_2,2025-08,357,26,7.243854491259595,8.984994027684234,2.8384401829451664,-7.99307258824453,3.024316479308901,13.178039043713124,0.4867194007205945,335,0.00422021079234939
clock_UTC_quote,conditional_neural,2025-08,357,26,6.37009630089459,7.796448733129334,1.065926994465558,-9.388647136106808,1.4262626137908754,10.34321324104835,0.36446846827155066,335,0.004214475400745947
clock_UTC_quote,pca_selected,2025-08,357,26,6.483435357990155,7.970814195334067,1.2829900180190328,-9.388928140038182,1.663244859555448,11.068762705034416,0.4047614324076162,335,0.004214475400745947
clock_UTC_quote,ae_selected,2025-08,357,26,6.48337489771808,7.970731914140791,1.2829301901510288,-9.388758297542465,1.6634196077792467,11.068628971355382,0.4047555650568861,335,0.004487167558589599
clock_UTC_quote,ae_reconstruction_selected,2025-08,357,26,6.48337489771808,7.970731914140791,1.2829301901510288,-9.388758297542465,1.6634196077792467,11.068628971355382,0.4047555650568861,335,0.004487167558589599
clock_UTC_quote,sequential_ols,2025-09,374,26,4.59184582864995,6.049245782052415,0.5688215404687968,-6.9217682063523185,0.5229430417710184,8.43696798095316,0.1327375582553512,351,
clock_UTC_quote,pca_1,2025-09,374,26,4.58891050498662,6.046239004428026,0.621427828333509,-6.9353069858481895,0.5544012158038818,8.560030038661044,0.13640277297685735,351,0.004871937117828567
clock_UTC_quote,pca_2,2025-09,374,26,4.200511782372862,5.5152278065139795,0.6550890951615082,-5.928007137509492,0.8097303999981631,7.717150810778132,0.17614111179826336,351,0.0015605063761250561
clock_UTC_quote,conditional_linear,2025-09,374,26,5.549365446818347,7.159909335635589,2.3873673659024623,-6.047805291623185,1.8618751817692674,10.834422690693053,0.24091303236118947,351,0.004871937117828567
clock_UTC_quote,ae_relu_1,2025-09,374,26,4.588601834064489,6.045861720970092,0.621306099302159,-6.935172958745524,0.5539297055134362,8.559542043461338,0.13639789468257074,351,0.005163368172449954
clock_UTC_quote,ae_relu_2,2025-09,374,26,4.583075773577695,6.03897331003672,0.5954388009985593,-6.925807213489907,0.538186778614623,8.491843261438866,0.13460326288784955,351,0.005165957818936504
clock_UTC_quote,ae_tanh_1,2025-09,374,26,6.997594387561496,9.709472069190483,0.6726634993396648,-9.598791050466918,2.532906778408318,10.870388430463393,0.6147684166399632,351,0.004981012807294779
clock_UTC_quote,ae_tanh_2,2025-09,374,26,6.176427154915212,8.710980571275732,0.10971113420733747,-8.618694765503024,1.1125414606590063,9.479897914566497,0.5477250064574956,351,0.004934745906989921
clock_UTC_quote,conditional_neural,2025-09,374,26,4.548925745422398,5.814178590840929,0.5167428946283398,-6.497081691940762,0.5317714293609122,8.450339731161929,0.0854845430178763,351,0.004871937117828567
clock_UTC_quote,pca_selected,2025-09,374,26,4.200511782372862,5.5152278065139795,0.6550890951615082,-5.928007137509492,0.8097303999981631,7.717150810778132,0.17614111179826336,351,0.0015605063761250561
clock_UTC_quote,ae_selected,2025-09,374,26,4.588601834064489,6.045861720970092,0.621306099302159,-6.935172958745524,0.5539297055134362,8.559542043461338,0.13639789468257074,351,0.005163368172449954
clock_UTC_quote,ae_reconstruction_selected,2025-09,374,26,4.588601834064489,6.045861720970092,0.621306099302159,-6.935172958745524,0.5539297055134362,8.559542043461338,0.13639789468257074,351,0.005163368172449954
clock_UTC_quote,sequential_ols,2025-10,387,27,7.387938786149182,9.265531157944885,6.287257645921572,-1.9009573402889486,5.758998725480865,14.830295177105008,0.3753106456133028,364,
clock_UTC_quote,pca_1,2025-10,387,27,7.562467868184959,9.445462660566006,6.511575594605983,-1.5999824109597285,6.00479699157205,15.162208489994281,0.38694234222322277,364,0.006487756889003041
clock_UTC_quote,pca_2,2025-10,387,27,7.291320955134107,8.785869864730337,6.481557062310916,-1.4812682037557747,6.4560624114343526,14.237811855871273,0.39334841989082825,364,0.0016391037751902272
clock_UTC_quote,conditional_linear,2025-10,387,27,14.346835145272669,18.768866641196166,13.11125452935093,-1.4456951621642162,11.159407609087594,31.089623564977252,0.34472500186984883,364,0.006487756889003041
clock_UTC_quote,ae_relu_1,2025-10,387,27,87.04685158999781,125.29254745507065,86.2529556447151,-0.6827680041257504,62.57028883573497,229.54493914170203,0.9881913322392802,364,1.4222283251678602
clock_UTC_quote,ae_relu_2,2025-10,387,27,103.81952376035035,153.34579877137605,103.01670379408984,-0.775840368934848,66.35633812181209,284.71546630029053,0.9879827378319436,364,2.0693701901518056
clock_UTC_quote,ae_tanh_1,2025-10,387,27,103.53184574948502,152.6669849815144,95.06222948861762,-23.95415300917732,46.10836958742448,288.35378753530284,0.9867796992167414,364,2.8660100937439643
clock_UTC_quote,ae_tanh_2,2025-10,387,27,98.7546096679363,148.44404216538865,92.59232324506422,-17.242531690925446,42.93441955400408,281.5204543942351,0.9863992803989681,364,2.7554926493725147
clock_UTC_quote,conditional_neural,2025-10,387,27,8.146083571300862,12.669400948623062,6.589838525606963,-3.3419624914828656,4.734104164071937,15.476248737009481,0.08166349787428151,364,0.006487756889003041
clock_UTC_quote,pca_selected,2025-10,387,27,7.291320955134107,8.785869864730337,6.481557062310916,-1.4812682037557747,6.4560624114343526,14.237811855871273,0.39334841989082825,364,0.0016391037751902272
clock_UTC_quote,ae_selected,2025-10,387,27,87.04685158999781,125.29254745507065,86.2529556447151,-0.6827680041257504,62.57028883573497,229.54493914170203,0.9881913322392802,364,1.4222283251678602
clock_UTC_quote,ae_reconstruction_selected,2025-10,387,27,87.04685158999781,125.29254745507065,86.2529556447151,-0.6827680041257504,62.57028883573497,229.54493914170203,0.9881913322392802,364,1.4222283251678602
clock_UTC_quote,sequential_ols,2025-11,324,25,6.532414705425576,8.839293374185337,-0.8845861886757177,-11.355088942501368,0.2904516265300998,8.96189729302372,0.38318567663457126,303,
clock_UTC_quote,pca_1,2025-11,324,25,6.509897461083488,8.8071505519451,-0.8063270255052333,-11.241489893552878,0.43613124090688865,9.014891060332179,0.3859557086181284,303,0.0029522613661559826
clock_UTC_quote,pca_2,2025-11,324,25,5.150045272439101,7.89680543249937,-1.3400700322366292,-8.527282414478236,-0.35625268028606166,6.176426948681739,0.591372705910364,303,0.0007777045736802432
