method,sample,h,q,term,n,effect,coefficient,ci_low,ci_high,successful,scenario,block_days,refit_first_stage
pca_1,matched,6,0.1,downside,229,-1.0932456475026704,-51220.062844882006,-8.677471817622557,3.3980428440448063,199,clock_UTC_quote,3,False
pca_1,matched,6,0.1,btc_vol,229,-0.2896781728539507,-133.8405716009267,-2.5963231172634123,5.263114679222763,199,clock_UTC_quote,3,False
pca_1,matched,6,0.1,btc_ret,229,-0.2131070317116975,-40.01062062405421,-2.070906239333538,2.523504381572161,199,clock_UTC_quote,3,False
pca_1,matched,6,0.1,account_ls,229,1.2021275211892584,1.9788309493918288,-0.9275087749393729,5.088598568779802,199,clock_UTC_quote,3,False
pca_1,matched,12,0.1,e_origin,229,2.007861652214356,0.209428783029088,-0.9778453229231164,3.415423904536713,199,clock_UTC_quote,3,False
pca_1,matched,12,0.1,downside,229,-0.4040876005611034,-18932.06009359094,-1.6690769213668968,5.579814440189927,199,clock_UTC_quote,3,False
pca_1,matched,12,0.1,btc_vol,229,-0.2837460891485995,-131.0997593882335,-4.903474219651607,1.488508491331278,199,clock_UTC_quote,3,False
pca_1,matched,12,0.1,btc_ret,229,-2.1238662465983067,-398.7536495925695,-4.319905020058223,0.4346390825491872,199,clock_UTC_quote,3,False
pca_1,matched,12,0.1,account_ls,229,0.662219640925998,1.090084618862329,-1.73463977113036,2.6669266893145833,199,clock_UTC_quote,3,False
pca_2,all,6,0.1,e_origin,577,0.7511125517195006,0.1085672963827826,0.0037684906732723213,1.6285088470717897,199,clock_UTC_quote,3,False
pca_2,all,6,0.1,downside,577,-0.9868191145428712,-44684.7297801074,-2.780267191525169,0.3100481459879644,199,clock_UTC_quote,3,False
pca_2,all,6,0.1,btc_vol,577,0.8755400573786397,403.220408659728,-0.9077194223296144,2.550023034081723,199,clock_UTC_quote,3,False
pca_2,all,6,0.1,btc_ret,577,0.2683765553423559,46.94680617902618,-0.5729297148549531,0.7865578063604127,199,clock_UTC_quote,3,False
pca_2,all,6,0.1,account_ls,577,1.041869508699376,1.7306240795098071,0.3258289719674655,2.128046741735281,199,clock_UTC_quote,3,False
pca_2,all,6,0.5,e_origin,577,1.2785969771223695,0.1848109403199183,0.2976048718360667,1.9661695263272214,199,clock_UTC_quote,3,False
pca_2,all,6,0.5,downside,577,-1.9860699957304475,-89932.38960992845,-3.513641946503685,-0.3493568400889325,199,clock_UTC_quote,3,False
pca_2,all,6,0.5,btc_vol,577,1.6979420496485136,781.9686619360757,0.4096915210616023,2.9991927849239035,199,clock_UTC_quote,3,False
pca_2,all,6,0.5,btc_ret,577,0.0736308933226543,12.880168586997488,-0.5374181024448076,0.7445807055965193,199,clock_UTC_quote,3,False
pca_2,all,6,0.5,account_ls,577,1.611239931393807,2.676391428921681,0.36506423270646954,2.2178855811831095,199,clock_UTC_quote,3,False
pca_2,matched,1,0.1,e_origin,229,1.3071123930389144,0.1883699702179261,-1.6697548015925445,3.067079730311297,199,clock_UTC_quote,3,False
