method,term,contrast,effect,ci_low,ci_high,successful,scenario,block_days,refit_first_stage
ae_selected,account_ls,q10_minus_q50_h6,-1.2626107776853326,-2.2473572839057123,1.0258330237330322,199,clock_UTC_quote,7,True
ae_selected,account_ls,h6_minus_h1_q10,-0.29897568988288004,-4.347837975373331,1.9015384627991319,199,clock_UTC_quote,7,True
ae_selected,account_ls,h12_minus_h1_q10,-0.4612406675269147,-4.744655716757765,1.067487619859257,199,clock_UTC_quote,7,True
ae_selected,btc_ret,q10_minus_q50_h6,-0.1559881964564508,-1.4802428285002873,1.258068326910054,199,clock_UTC_quote,7,True
ae_selected,btc_ret,h6_minus_h1_q10,-1.782090135282461,-3.623906141463555,0.5330503839713838,199,clock_UTC_quote,7,True
ae_selected,btc_ret,h12_minus_h1_q10,-3.217974985597535,-5.141429200533252,-0.2629903850511561,199,clock_UTC_quote,7,True
ae_selected,btc_vol,q10_minus_q50_h6,1.1729619953346289,-1.5702448426346431,2.3683225161451813,199,clock_UTC_quote,7,True
ae_selected,btc_vol,h6_minus_h1_q10,2.052841296623837,-3.484703890223556,4.408275700629334,199,clock_UTC_quote,7,True
ae_selected,btc_vol,h12_minus_h1_q10,2.45505120251552,-5.96356367031845,4.067947326414291,199,clock_UTC_quote,7,True
ae_selected,downside,q10_minus_q50_h6,0.06462006669426001,-1.7722977612551922,2.7056805413607363,199,clock_UTC_quote,7,True
ae_selected,downside,h6_minus_h1_q10,-1.720255195853726,-4.821005432603994,7.061698723013514,199,clock_UTC_quote,7,True
ae_selected,downside,h12_minus_h1_q10,-1.5536223872092747,-3.3076574073950407,9.36291400591387,199,clock_UTC_quote,7,True
ae_selected,e_origin,q10_minus_q50_h6,-0.34011041927287866,-2.0126362807187483,1.4681909579028904,199,clock_UTC_quote,7,True
ae_selected,e_origin,h6_minus_h1_q10,-1.5722956377955417,-3.800701895421224,0.8811533494305358,199,clock_UTC_quote,7,True
ae_selected,e_origin,h12_minus_h1_q10,-2.449751849334016,-3.6540173790018597,1.4555079052915607,199,clock_UTC_quote,7,True
joint_ols,account_ls,q10_minus_q50_h6,-0.7047901587266219,-2.5277698471008834,0.7443633095101463,199,clock_UTC_quote,7,True
joint_ols,account_ls,h6_minus_h1_q10,-1.6797141606744757,-4.136252626912274,2.137614422862262,199,clock_UTC_quote,7,True
joint_ols,account_ls,h12_minus_h1_q10,-2.1601724749697917,-4.501860163964844,1.5432938176064488,199,clock_UTC_quote,7,True
joint_ols,btc_ret,q10_minus_q50_h6,-0.2334144949595454,-1.5133914332171179,1.3308818974620735,199,clock_UTC_quote,7,True
joint_ols,btc_ret,h6_minus_h1_q10,-1.406082029635359,-3.7525293091762104,1.7869350020635761,199,clock_UTC_quote,7,True
joint_ols,btc_ret,h12_minus_h1_q10,-3.2670074608195323,-6.284128797731162,-0.06794451990981151,199,clock_UTC_quote,7,True
joint_ols,btc_vol,q10_minus_q50_h6,-1.8980186173744742,-4.098508174693225,0.7177181231623735,199,clock_UTC_quote,7,True
joint_ols,btc_vol,h6_minus_h1_q10,0.5205481236881279,-7.139910845757577,4.286634232025568,199,clock_UTC_quote,7,True
joint_ols,btc_vol,h12_minus_h1_q10,0.4828860972383955,-6.6936527602869855,3.3782050791679845,199,clock_UTC_quote,7,True
joint_ols,downside,q10_minus_q50_h6,1.4994027596776665,-1.2537342332943398,5.592833002402956,199,clock_UTC_quote,7,True
joint_ols,downside,h6_minus_h1_q10,-0.1067219616191517,-6.3161162976617575,7.929245915489526,199,clock_UTC_quote,7,True
joint_ols,downside,h12_minus_h1_q10,0.6224682449070682,-2.2711030536409766,10.20773515344188,199,clock_UTC_quote,7,True
joint_ols,e_origin,q10_minus_q50_h6,0.008773264199729014,-2.235992224674324,1.4333004548360946,199,clock_UTC_quote,7,True
joint_ols,e_origin,h6_minus_h1_q10,-1.9466775774560559,-3.817827046737767,1.9922351634362134,199,clock_UTC_quote,7,True
joint_ols,e_origin,h12_minus_h1_q10,-1.6373899892925983,-4.853059171520979,3.774737037921415,199,clock_UTC_quote,7,True
pca_1,account_ls,q10_minus_q50_h6,-0.7931777343516602,-2.4174942955583343,0.6931897333716011,199,clock_UTC_quote,7,True
pca_1,account_ls,h6_minus_h1_q10,-1.5923930190864457,-4.065710925881131,2.0913887303273926,199,clock_UTC_quote,7,True
pca_1,account_ls,h12_minus_h1_q10,-2.132300899349706,-4.589757671047425,1.5057167036467294,199,clock_UTC_quote,7,True
pca_1,btc_ret,q10_minus_q50_h6,-0.18698036619545,-1.4392995196693956,1.364998167261618,199,clock_UTC_quote,7,True
pca_1,btc_ret,h6_minus_h1_q10,-1.3190203804655598,-3.7180423952596517,1.7206331581572307,199,clock_UTC_quote,7,True
pca_1,btc_ret,h12_minus_h1_q10,-3.229779595352169,-6.314584203823869,-0.05475739601988531,199,clock_UTC_quote,7,True
pca_1,btc_vol,q10_minus_q50_h6,-1.75998242629867,-3.9765419610909953,0.7305072947722988,199,clock_UTC_quote,7,True
pca_1,btc_vol,h6_minus_h1_q10,0.532614196447043,-7.119946007349866,4.268398274279145,199,clock_UTC_quote,7,True
pca_1,btc_vol,h12_minus_h1_q10,0.5385462801523941,-6.7488430970453495,3.321020664274288,199,clock_UTC_quote,7,True
pca_1,downside,q10_minus_q50_h6,1.4605909980180412,-1.4093455194700102,5.421205925411687,199,clock_UTC_quote,7,True
pca_1,downside,h6_minus_h1_q10,-0.24188630428240565,-6.327877192289513,7.630576589715216,199,clock_UTC_quote,7,True
