file,column,matches,mismatches,max_abs_error
DXY_clean.csv,datetime,True,0,
DXY_clean.csv,price,True,0,0.0
DXY_clean_1.csv,datetime,True,0,
DXY_clean_1.csv,price,True,0,0.0
SPY US_clean.csv,datetime,True,0,
SPY US_clean.csv,open,True,0,0.0
SPY US_clean.csv,high,True,0,0.0
SPY US_clean.csv,low,True,0,0.0
SPY US_clean.csv,close,True,0,0.0
SPY_clean_1.csv,datetime,True,0,
SPY_clean_1.csv,open,True,0,0.0
SPY_clean_1.csv,high,True,0,0.0
SPY_clean_1.csv,low,True,0,0.0
SPY_clean_1.csv,close,True,0,0.0
USDKRW_clean.csv,datetime,True,0,
USDKRW_clean.csv,price,True,0,0.0
VIXY_clean.csv,datetime,True,0,
VIXY_clean.csv,price,True,0,0.0
VIXY_clean_1.csv,datetime,True,0,
VIXY_clean_1.csv,price,True,0,0.0
XAUUSD_clean.csv,datetime,True,0,
XAUUSD_clean.csv,open,True,0,0.0
XAUUSD_clean.csv,high,True,0,0.0
XAUUSD_clean.csv,low,True,0,0.0
XAUUSD_clean.csv,close,True,0,0.0
XAUUSD_clean_1.csv,datetime,True,0,
XAUUSD_clean_1.csv,open,True,0,0.0
XAUUSD_clean_1.csv,high,True,0,0.0
XAUUSD_clean_1.csv,low,True,0,0.0
XAUUSD_clean_1.csv,close,True,0,0.0
baseline_dataset_clean.csv,datetime_utc,True,0,
baseline_dataset_clean.csv,BTC_BINANCE_CLOSE,True,0,0.0
baseline_dataset_clean.csv,ETH_BINANCE_CLOSE,True,0,0.0
baseline_dataset_clean.csv,XRP_BINANCE_CLOSE,True,0,0.0
baseline_dataset_clean.csv,SOL_BINANCE_CLOSE,True,0,0.0
baseline_dataset_clean.csv,DOGE_BINANCE_CLOSE,True,0,0.0
baseline_dataset_clean.csv,USDT_BINANCE_CLOSE,True,0,0.0
baseline_dataset_clean.csv,BTC_UPBIT_CLOSE,True,0,0.0
baseline_dataset_clean.csv,ETH_UPBIT_CLOSE,True,0,0.0
baseline_dataset_clean.csv,XRP_UPBIT_CLOSE,True,0,0.0
baseline_dataset_clean.csv,SOL_UPBIT_CLOSE,True,0,0.0
baseline_dataset_clean.csv,DOGE_UPBIT_CLOSE,True,0,0.0
baseline_dataset_clean.csv,USDT_UPBIT_CLOSE,True,0,0.0
baseline_dataset_clean.csv,USDKRW,True,0,0.0
baseline_dataset_clean.csv,BTC_KP,True,0,0.0
baseline_dataset_clean.csv,ETH_KP,True,0,0.0
baseline_dataset_clean.csv,XRP_KP,True,0,0.0
baseline_dataset_clean.csv,SOL_KP,True,0,0.0
baseline_dataset_clean.csv,DOGE_KP,True,0,0.0
baseline_dataset_clean.csv,USDT_KP,True,0,0.0
baseline_dataset_clean.csv,MKT_KP_EQ,True,0,0.0
baseline_dataset_clean.csv,RESIDUAL_RAW,True,0,0.0
baseline_dataset_clean.csv,BTC_KP_pct,True,0,0.0
baseline_dataset_clean.csv,ETH_KP_pct,True,0,0.0
baseline_dataset_clean.csv,XRP_KP_pct,True,0,0.0
baseline_dataset_clean.csv,SOL_KP_pct,True,0,0.0
baseline_dataset_clean.csv,DOGE_KP_pct,True,0,0.0
baseline_dataset_clean.csv,USDT_KP_pct,True,0,0.0
baseline_dataset_clean.csv,MKT_KP_EQ_pct,True,0,0.0
baseline_dataset_clean.csv,RESIDUAL_RAW_pct,True,0,0.0
baseline_dataset_clean.csv,VIX,True,0,0.0
baseline_dataset_clean.csv,SPY,True,0,0.0
baseline_dataset_clean.csv,DXY,True,0,0.0
baseline_dataset_clean.csv,XAUUSD,True,0,0.0
baseline_dataset_clean.csv,VIX_ret,True,0,0.0
baseline_dataset_clean.csv,SPY_ret,True,0,0.0
baseline_dataset_clean.csv,DXY_ret,True,0,0.0
baseline_dataset_clean.csv,XAUUSD_ret,True,0,0.0
baseline_dataset_with_micro.csv,datetime_utc,True,0,
baseline_dataset_with_micro.csv,BTC_BINANCE_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,ETH_BINANCE_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,XRP_BINANCE_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,SOL_BINANCE_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,DOGE_BINANCE_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,USDT_BINANCE_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,BTC_UPBIT_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,ETH_UPBIT_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,XRP_UPBIT_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,SOL_UPBIT_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,DOGE_UPBIT_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,USDT_UPBIT_CLOSE,True,0,0.0
baseline_dataset_with_micro.csv,USDKRW,True,0,0.0
