column,matches,mismatches,max_abs_error
BTC_BINANCE_CLOSE,True,0,0.0
ETH_BINANCE_CLOSE,True,0,0.0
XRP_BINANCE_CLOSE,True,0,0.0
SOL_BINANCE_CLOSE,True,0,0.0
DOGE_BINANCE_CLOSE,True,0,0.0
USDT_BINANCE_CLOSE,True,0,0.0
BTC_UPBIT_CLOSE,True,0,0.0
ETH_UPBIT_CLOSE,True,0,0.0
XRP_UPBIT_CLOSE,True,0,0.0
SOL_UPBIT_CLOSE,True,0,0.0
DOGE_UPBIT_CLOSE,True,0,0.0
USDT_UPBIT_CLOSE,True,0,0.0
USDKRW,True,0,0.0
BTC_KP,True,0,0.0
ETH_KP,True,0,0.0
XRP_KP,True,0,0.0
SOL_KP,True,0,0.0
DOGE_KP,True,0,0.0
USDT_KP,True,0,0.0
MKT_KP_EQ,True,0,0.0
RESIDUAL_RAW,True,0,0.0
BTC_KP_pct,True,0,0.0
ETH_KP_pct,True,0,0.0
XRP_KP_pct,True,0,0.0
SOL_KP_pct,True,0,0.0
DOGE_KP_pct,True,0,0.0
USDT_KP_pct,True,0,0.0
MKT_KP_EQ_pct,True,0,0.0
RESIDUAL_RAW_pct,True,0,0.0
VIX,True,0,0.0
SPY,True,0,0.0
DXY,True,0,0.0
XAUUSD,True,0,0.0
VIX_ret,True,0,0.0
SPY_ret,True,0,0.0
DXY_ret,True,0,0.0
XAUUSD_ret,True,0,0.0
USDKRW_ret,True,0,0.0
BTC_RET,True,0,0.0
BTC_VOL_24,True,0,0.0
BTC_RET_POS,True,0,0.0
BTC_RET_NEG,True,0,0.0
BTC_RET_ABS,True,0,0.0
BTC_DOWNSIDE_24,True,0,0.0
BTC_BIG_UP,True,0,0.0
BTC_BIG_DOWN,True,0,0.0
BTC_VOL_RATIO,True,0,0.0
BTC_VOL_RATIO_LOG,True,0,0.0
ETH_VOL_RATIO,True,0,0.0
ETH_VOL_RATIO_LOG,True,0,0.0
XRP_VOL_RATIO,True,0,0.0
XRP_VOL_RATIO_LOG,True,0,1.1102230246251565e-16
SOL_VOL_RATIO,True,0,0.0
SOL_VOL_RATIO_LOG,True,0,0.0
DOGE_VOL_RATIO,True,0,0.0
DOGE_VOL_RATIO_LOG,True,0,2.220446049250313e-16
USDT_VOL_RATIO,True,0,0.0
USDT_VOL_RATIO_LOG,True,0,0.0
RESIDUAL_OLS,True,0,1.0018028073766061e-16
DEPEG_GLOBAL,True,0,0.0
RESIDUAL_FINAL,True,0,1.0018028073766061e-16
RESIDUAL_FINAL_lag1,True,0,1.0018028073766061e-16
BTC_DOWNSIDE_24_lag1,True,0,0.0
DXY_ret_lag1,True,0,0.0
USDKRW_ret_lag1,True,0,0.0
HIGH_STRESS,True,0,0.0
HIGH_STRESS_lag1,True,0,0.0
FUNDING,True,0,0.0
FUNDING_lag1,True,0,0.0
OI,True,0,0.0
OI_VALUE,True,0,0.0
TOPTRADER_ACCOUNT_LS,True,0,0.0
TOPTRADER_POSITION_LS,True,0,0.0
ACCOUNT_LS,True,0,0.0
TAKER_LONG_SHORT_VOL_RATIO,True,0,0.0
OI_RET,True,0,9.977370492297855e-17
OI_VALUE_RET,True,0,9.93129189996722e-17
OI_lag1,True,0,0.0
OI_VALUE_lag1,True,0,0.0
OI_RET_lag1,True,0,9.977370492297855e-17
OI_VALUE_RET_lag1,True,0,9.93129189996722e-17
TOPTRADER_ACCOUNT_LS_lag1,True,0,0.0
TOPTRADER_POSITION_LS_lag1,True,0,0.0
ACCOUNT_LS_lag1,True,0,0.0
TAKER_LONG_SHORT_VOL_RATIO_lag1,True,0,0.0
COIN_VOL_RATIO_LOG_MEAN,True,0,4.440892098500626e-16
VOL_RATIO_DISPERSION,True,0,4.440892098500626e-16
USDT_RELATIVE_VOLUME_PRESSURE,True,0,8.881784197001252e-16
