file,extension,sha256,bytes,rows,column_count,missing_cells,duplicate_rows,infinite_cells,time_column,start,end,timezone_explicit,invalid_timestamps,duplicate_timestamps,rows_in_paper_period,cells,status,rows_including_header
22binance_BTCUSDT_candles_1h.csv,.csv,1afb4b59cf3f5672c0c73df29c9183b84f023f8e09b577e9a14b3240cf452266,1267182,17951.0,4.0,0.0,0.0,0.0,,,,,,,,,,
22binance_DOGEUSDT_candles_1h.csv,.csv,21c0ab8bab0540f090fd81fc54d32abddcb92694ad293ec07855b9ad206a93dc,1207255,17951.0,4.0,0.0,0.0,0.0,,,,,,,,,,
22binance_ETHUSDT_candles_1h.csv,.csv,703ef28bf6324a2b0ddfbb4acfd860116c0d3e13d41326026f8027f586b92c14,1228382,17951.0,4.0,0.0,0.0,0.0,,,,,,,,,,
22binance_SOLUSDT_candles_1h.csv,.csv,821186f11f4a5a2d2c629e4d4ef6a8d42e1001a6924d670547f0e93772dbb709,1180956,17951.0,4.0,0.0,0.0,0.0,,,,,,,,,,
22binance_XRPUSDT_candles_1h.csv,.csv,9883af7dc1709b10dc3e8ee19f8fbb6724b6327a165e55aa07650cc3171bab89,1167457,17951.0,4.0,0.0,0.0,0.0,,,,,,,,,,
22bithumb_KRW-USDT_candles_unit60.csv,.csv,e253661426afdcbeb02bbeb1db3a61c73a0e304f9f7fc50f6dc664fcb9228afb,3763663,17899.0,14.0,0.0,0.0,0.0,candle_date_time_utc,2023-12-07 03:00:00+00:00,2025-12-24 00:00:00+00:00,True,0.0,0.0,4911.0,,,
22bithumb_KRW_BTC_candles_unit60_aligned_to_USDT.csv,.csv,96bbb9c3484ed7b249328ff78dbb334128476e836e78c7acfc1df634f1353553,3066653,17900.0,12.0,0.0,0.0,0.0,candle_date_time_utc,2023-12-07 03:00:00+00:00,2025-12-23 23:00:00+00:00,True,0.0,0.0,4910.0,,,
22bithumb_KRW_DOGE_candles_unit60_aligned_to_USDT.csv,.csv,248ecd4667074308e2f4a7a65678b1ac72e17b19949c26b8753aed5e3e6c15f8,2831066,17894.0,12.0,0.0,0.0,0.0,candle_date_time_utc,2023-12-07 03:00:00+00:00,2025-12-23 23:00:00+00:00,True,0.0,0.0,4909.0,,,
22bithumb_KRW_ETH_candles_unit60_aligned_to_USDT.csv,.csv,c1e606f0e12e2755ca40bd91a54b9f89eccfdd69307bec068b0e24d1974cf22f,3078544,17898.0,12.0,0.0,0.0,0.0,candle_date_time_utc,2023-12-07 03:00:00+00:00,2025-12-23 23:00:00+00:00,True,0.0,0.0,4910.0,,,
22bithumb_KRW_SOL_candles_unit60_aligned_to_USDT.csv,.csv,4cbbdad0e23ce5ca2debd6c9bd2418f7e0b21847a02117757409c4673cae6820,2960509,17897.0,12.0,0.0,0.0,0.0,candle_date_time_utc,2023-12-07 03:00:00+00:00,2025-12-23 23:00:00+00:00,True,0.0,0.0,4910.0,,,
