scope,method,variant,n,status,term,coef_raw,effect_bp_per_sd
core,seq_xgb,exclude_top1_downside_days,1716,estimated,account_ls,0.9580334338390654,0.5553429570888669
core,seq_xgb,exclude_top5_downside_days,1680,estimated,e_origin,0.22325541772901478,2.2115154337463183
core,seq_xgb,exclude_top5_downside_days,1680,estimated,downside,42137.24812785099,0.5683694814803598
core,seq_xgb,exclude_top5_downside_days,1680,estimated,btc_vol,-740.0590665806266,-1.4211911805160864
core,seq_xgb,exclude_top5_downside_days,1680,estimated,account_ls,-0.2281907423967483,-0.13227526011811583
core,seq_mlp,Aug_Nov,925,estimated,e_origin,0.32106737806752794,3.1787336240880855
core,seq_mlp,Aug_Nov,925,estimated,downside,179098.7540002271,2.4157786867340723
core,seq_mlp,Aug_Nov,925,estimated,btc_vol,-1240.241571979225,-2.3817293286471086
core,seq_mlp,Aug_Nov,925,estimated,account_ls,0.018588103791997955,0.010774960624450387
core,seq_mlp,Dec_Mar,794,estimated,e_origin,0.24274036931137472,2.403255598553334
core,seq_mlp,Dec_Mar,794,estimated,downside,-310563.8862351663,-4.189049898333008
core,seq_mlp,Dec_Mar,794,estimated,btc_vol,933.4112166691057,1.7924998811975228
core,seq_mlp,Dec_Mar,794,estimated,account_ls,3.3512380105304134,1.942611145854023
core,seq_mlp,exclude_top1_downside_days,1716,estimated,e_origin,0.32945995454700544,3.26182448560325
core,seq_mlp,exclude_top1_downside_days,1716,estimated,downside,-125432.52286112843,-1.6919001868143317
core,seq_mlp,exclude_top1_downside_days,1716,estimated,btc_vol,-320.47121831622104,-0.6154250243627534
core,seq_mlp,exclude_top1_downside_days,1716,estimated,account_ls,1.0481059338151273,0.6075552564954196
core,seq_mlp,exclude_top5_downside_days,1680,estimated,e_origin,0.2370880471083985,2.3472946761172926
core,seq_mlp,exclude_top5_downside_days,1680,estimated,downside,34358.51625805521,0.46344583326308697
core,seq_mlp,exclude_top5_downside_days,1680,estimated,btc_vol,-761.5436424765523,-1.4624496302253727
core,seq_mlp,exclude_top5_downside_days,1680,estimated,account_ls,0.1873746949821802,0.10861543399174148
core,seq_spline,Aug_Nov,925,estimated,e_origin,0.3389253106327023,3.3678267504934287
core,seq_spline,Aug_Nov,925,estimated,downside,154763.64690054645,2.087533895758446
core,seq_spline,Aug_Nov,925,estimated,btc_vol,-974.546180716228,-1.871494451704886
core,seq_spline,Aug_Nov,925,estimated,account_ls,-0.08543716728316506,-0.04952533747616518
core,seq_spline,Dec_Mar,794,estimated,e_origin,0.23499460926750318,2.3350900817511424
core,seq_spline,Dec_Mar,794,estimated,downside,-290934.3431064893,-3.924276242115807
core,seq_spline,Dec_Mar,794,estimated,btc_vol,892.714486452421,1.7143468841306415
core,seq_spline,Dec_Mar,794,estimated,account_ls,3.1611148305044874,1.8324024983503147
core,seq_spline,exclude_top1_downside_days,1716,estimated,e_origin,0.32627528490934166,3.2421262091380694
core,seq_spline,exclude_top1_downside_days,1716,estimated,downside,-154612.8915131765,-2.0855004273864766
core,seq_spline,exclude_top1_downside_days,1716,estimated,btc_vol,-217.66427830495027,-0.4179971121354981
core,seq_spline,exclude_top1_downside_days,1716,estimated,account_ls,0.9631379569764457,0.5583018945053637
core,seq_spline,exclude_top5_downside_days,1680,estimated,e_origin,0.25995755979613483,2.5831414663014054
core,seq_spline,exclude_top5_downside_days,1680,estimated,downside,51292.27222885126,0.6918572869829328
core,seq_spline,exclude_top5_downside_days,1680,estimated,btc_vol,-775.0637241789667,-1.488413261701584
core,seq_spline,exclude_top5_downside_days,1680,estimated,account_ls,0.32940329878452507,0.19094511272824263
core,joint_xgb,Aug_Nov,925,estimated,e_origin,0.3335219228018182,3.3106031379373158
core,joint_xgb,Aug_Nov,925,estimated,downside,147498.6975306845,1.989540417546463
core,joint_xgb,Aug_Nov,925,estimated,btc_vol,-997.8693101381805,-1.916283614264119
core,joint_xgb,Aug_Nov,925,estimated,account_ls,0.11393648610995581,0.06604552918687229
core,joint_xgb,Dec_Mar,794,estimated,e_origin,0.2234364590608954,2.2178735247222265
core,joint_xgb,Dec_Mar,794,estimated,downside,-311468.7935718041,-4.201255766930599
core,joint_xgb,Dec_Mar,794,estimated,btc_vol,885.596298474332,1.700677291482507
core,joint_xgb,Dec_Mar,794,estimated,account_ls,3.7959183850029072,2.200378886933113
core,joint_xgb,exclude_top1_downside_days,1716,estimated,e_origin,0.3177812947070487,3.154358617859357
core,joint_xgb,exclude_top1_downside_days,1716,estimated,downside,-134165.3606023859,-1.8096933194790623
core,joint_xgb,exclude_top1_downside_days,1716,estimated,btc_vol,-288.8413143113458,-0.5546837367517573
core,joint_xgb,exclude_top1_downside_days,1716,estimated,account_ls,1.0741467588260853,0.6226503338234292
core,joint_xgb,exclude_top5_downside_days,1680,estimated,e_origin,0.23466353991696542,2.329315701595461
core,joint_xgb,exclude_top5_downside_days,1680,estimated,downside,43084.20790698443,0.5811425756562248
core,joint_xgb,exclude_top5_downside_days,1680,estimated,btc_vol,-834.8315650306617,-1.603189949310294
core,joint_xgb,exclude_top5_downside_days,1680,estimated,account_ls,0.11546286638771565,0.06693032559078951
core,joint_mlp,Aug_Nov,925,estimated,e_origin,0.3187305002178671,3.167605707913851
core,joint_mlp,Aug_Nov,925,estimated,downside,181029.97357231102,2.441827997393364
core,joint_mlp,Aug_Nov,925,estimated,btc_vol,-1235.5736687874892,-2.372765202475059
core,joint_mlp,Aug_Nov,925,estimated,account_ls,-0.039478427250229764,-0.02288444824154561
core,joint_mlp,Dec_Mar,794,estimated,e_origin,0.23466840459430005,2.3321802505622666
core,joint_mlp,Dec_Mar,794,estimated,downside,-291415.69219472405,-3.930768933115963
core,joint_mlp,Dec_Mar,794,estimated,btc_vol,819.8544177533967,1.57442820503752
core,joint_mlp,Dec_Mar,794,estimated,account_ls,2.9310918169664344,1.699065126161931
core,joint_mlp,exclude_top1_downside_days,1716,estimated,e_origin,0.33198947898744485,3.2993760179498053
core,joint_mlp,exclude_top1_downside_days,1716,estimated,downside,-123407.48930613493,-1.664585463552391
core,joint_mlp,exclude_top1_downside_days,1716,estimated,btc_vol,-299.28390297778907,-0.5747374264971954
core,joint_mlp,exclude_top1_downside_days,1716,estimated,account_ls,1.1385034749808465,0.6599559724321937
core,joint_mlp,exclude_top5_downside_days,1680,estimated,e_origin,0.24848306444822008,2.4694730273007774
core,joint_mlp,exclude_top5_downside_days,1680,estimated,downside,40312.83737778645,0.5437608646842382
core,joint_mlp,exclude_top5_downside_days,1680,estimated,btc_vol,-862.0693691033172,-1.655496756527101
core,joint_mlp,exclude_top5_downside_days,1680,estimated,account_ls,0.297245028809998,0.1723039378884969
core,joint_tensor,Aug_Nov,925,estimated,e_origin,0.43615637363960236,4.517938635618624
core,joint_tensor,Aug_Nov,925,estimated,downside,136711.43994770732,1.8440361838473625
core,joint_tensor,Aug_Nov,925,estimated,btc_vol,-936.6271358346543,-1.7986756530537444
core,joint_tensor,Aug_Nov,925,estimated,account_ls,0.5430012478358968,0.31476137264619475
