comparison,estimate,low95,high95,p_centered,n_boot,p_holm_2
DOGE_ETH_minus_ETH_XRP,10.638606253212467,3.6095045926905223,18.815057250505674,0.0085,1999,0.0085
DOGE_ETH_minus_SOL_ETH,10.941089610313021,5.616909465204501,15.096693809301357,0.001,1999,0.002
