comparison,estimate,low95,high95,p_centered,n_boot,p_holm_2
DOGE_ETH_minus_ETH_XRP,10.752121650816743,6.480186079354869,16.577027709159815,0.001,1999,0.001
DOGE_ETH_minus_SOL_ETH,10.870863874963076,7.517562074086158,14.689146995645205,0.0005,1999,0.001
