spec,coin,reference,risk_count,within1,within2,within5,within10,over100_or_no_effect,median_capped_steps
minus10,BTC,mean5,383,0,0,2,6,292,101.0
minus10,BTC,median5,238,1,4,9,15,161,101.0
minus10,BTC,BTC,247,2,8,22,51,15,29.0
minus10,BTC,ETH,304,0,0,0,0,304,101.0
minus10,BTC,without_DOGE,183,2,3,5,9,98,101.0
minus10,ETH,mean5,383,24,56,138,235,0,8.0
minus10,ETH,median5,238,47,76,90,93,145,101.0
minus10,ETH,BTC,247,0,0,0,0,247,101.0
minus10,ETH,ETH,304,152,238,300,304,0,1.5
minus10,ETH,without_DOGE,183,33,59,131,176,0,4.0
minus10,XRP,mean5,383,39,87,191,312,0,6.0
minus10,XRP,median5,238,44,65,72,72,166,101.0
minus10,XRP,BTC,247,0,0,0,0,247,101.0
minus10,XRP,ETH,304,0,0,0,0,304,101.0
minus10,XRP,without_DOGE,183,45,85,159,182,0,3.0
minus10,SOL,mean5,383,66,135,269,375,0,4.0
minus10,SOL,median5,238,59,73,74,74,164,101.0
minus10,SOL,BTC,247,0,0,0,0,247,101.0
minus10,SOL,ETH,304,0,0,0,0,304,101.0
minus10,SOL,without_DOGE,183,65,125,181,183,0,2.0
minus10,DOGE,mean5,383,369,383,383,383,0,1.0
minus10,DOGE,median5,238,89,91,91,91,147,101.0
minus10,DOGE,BTC,247,0,0,0,0,247,101.0
minus10,DOGE,ETH,304,0,0,0,0,304,101.0
minus10,DOGE,without_DOGE,183,0,0,0,0,183,101.0
minus5,BTC,mean5,693,1,2,6,13,571,101.0
minus5,BTC,median5,591,3,8,14,22,447,101.0
minus5,BTC,BTC,623,9,19,42,77,86,42.0
minus5,BTC,ETH,648,0,0,0,0,648,101.0
minus5,BTC,without_DOGE,553,2,4,10,21,359,101.0
minus5,ETH,mean5,693,41,83,191,342,0,11.0
minus5,ETH,median5,591,44,107,154,155,436,101.0
minus5,ETH,BTC,623,0,0,0,0,623,101.0
minus5,ETH,ETH,648,185,401,629,648,0,2.0
minus5,ETH,without_DOGE,553,71,135,286,456,0,5.0
minus5,XRP,mean5,693,61,113,266,478,0,7.0
minus5,XRP,median5,591,73,115,136,137,454,101.0
minus5,XRP,BTC,623,0,0,0,0,623,101.0
minus5,XRP,ETH,648,0,0,0,0,648,101.0
minus5,XRP,without_DOGE,553,105,181,387,531,0,4.0
minus5,SOL,mean5,693,93,182,402,627,0,5.0
minus5,SOL,median5,591,92,125,129,129,462,101.0
minus5,SOL,BTC,623,0,0,0,0,623,101.0
minus5,SOL,ETH,648,0,0,0,0,648,101.0
minus5,SOL,without_DOGE,553,154,275,494,552,0,3.0
minus5,DOGE,mean5,693,606,693,693,693,0,1.0
minus5,DOGE,median5,591,145,151,151,151,440,101.0
minus5,DOGE,BTC,623,0,0,0,0,623,101.0
minus5,DOGE,ETH,648,0,0,0,0,648,101.0
minus5,DOGE,without_DOGE,553,0,0,0,0,553,101.0
minus20,BTC,mean5,55,0,1,2,3,29,101.0
minus20,BTC,median5,5,0,0,1,1,3,101.0
minus20,BTC,BTC,10,0,0,2,3,0,15.5
minus20,BTC,ETH,15,0,0,0,0,15,101.0
minus20,BTC,without_DOGE,3,0,0,0,1,0,39.0
minus20,ETH,mean5,55,11,19,41,52,0,4.0
minus20,ETH,median5,5,2,3,3,3,2,2.0
minus20,ETH,BTC,10,0,0,0,0,10,101.0
minus20,ETH,ETH,15,11,12,15,15,0,1.0
minus20,ETH,without_DOGE,3,1,2,3,3,0,2.0
minus20,XRP,mean5,55,15,26,49,54,0,3.0
minus20,XRP,median5,5,2,2,2,2,3,101.0
minus20,XRP,BTC,10,0,0,0,0,10,101.0
minus20,XRP,ETH,15,0,0,0,0,15,101.0
minus20,XRP,without_DOGE,3,2,3,3,3,0,1.0
minus20,SOL,mean5,55,21,40,52,55,0,2.0
minus20,SOL,median5,5,1,2,2,2,3,101.0
minus20,SOL,BTC,10,0,0,0,0,10,101.0
minus20,SOL,ETH,15,0,0,0,0,15,101.0
minus20,SOL,without_DOGE,3,2,3,3,3,0,1.0
minus20,DOGE,mean5,55,55,55,55,55,0,1.0
minus20,DOGE,median5,5,3,3,3,3,2,1.0
minus20,DOGE,BTC,10,0,0,0,0,10,101.0
minus20,DOGE,ETH,15,0,0,0,0,15,101.0
minus20,DOGE,without_DOGE,3,0,0,0,0,3,101.0
plus10,BTC,mean5,223,0,2,3,6,164,101.0
plus10,BTC,median5,119,1,1,1,3,91,101.0
plus10,BTC,BTC,118,2,4,8,24,6,32.5
plus10,BTC,ETH,161,0,0,0,0,161,101.0
plus10,BTC,without_DOGE,89,1,2,5,5,45,101.0
plus10,ETH,mean5,223,22,39,89,154,0,7.0
plus10,ETH,median5,119,16,30,41,41,78,101.0
plus10,ETH,BTC,118,0,0,0,0,118,101.0
plus10,ETH,ETH,161,78,123,160,161,0,2.0
plus10,ETH,without_DOGE,89,18,31,56,83,0,4.0
plus10,XRP,mean5,223,32,54,122,192,0,5.0
plus10,XRP,median5,119,27,38,41,41,78,101.0
plus10,XRP,BTC,118,0,0,0,0,118,101.0
plus10,XRP,ETH,161,0,0,0,0,161,101.0
plus10,XRP,without_DOGE,89,22,40,75,88,0,3.0
plus10,SOL,mean5,223,46,86,171,218,0,3.0
plus10,SOL,median5,119,30,40,40,40,79,101.0
plus10,SOL,BTC,118,0,0,0,0,118,101.0
plus10,SOL,ETH,161,0,0,0,0,161,101.0
plus10,SOL,without_DOGE,89,33,54,84,89,0,2.0
plus10,DOGE,mean5,223,219,223,223,223,0,1.0
plus10,DOGE,median5,119,54,54,54,54,65,101.0
plus10,DOGE,BTC,118,0,0,0,0,118,101.0
plus10,DOGE,ETH,161,0,0,0,0,161,101.0
plus10,DOGE,without_DOGE,89,0,0,0,0,89,101.0
q05,BTC,mean5,248,0,2,5,8,181,101.0
q05,BTC,median5,179,2,4,11,15,122,101.0
q05,BTC,BTC,162,3,4,18,34,7,28.5
q05,BTC,ETH,186,0,0,0,0,186,101.0
q05,BTC,without_DOGE,176,0,2,3,10,89,101.0
q05,ETH,mean5,248,20,43,104,174,0,7.0
q05,ETH,median5,179,35,60,72,73,106,101.0
q05,ETH,BTC,162,0,0,0,0,162,101.0
q05,ETH,ETH,186,92,157,184,186,0,2.0
q05,ETH,without_DOGE,176,34,56,126,169,0,4.0
q05,XRP,mean5,248,34,66,145,223,0,5.0
q05,XRP,median5,179,29,46,50,50,129,101.0
q05,XRP,BTC,162,0,0,0,0,162,101.0
q05,XRP,ETH,186,0,0,0,0,186,101.0
q05,XRP,without_DOGE,176,43,82,155,175,0,3.0
q05,SOL,mean5,248,51,98,198,247,0,3.0
q05,SOL,median5,179,50,60,60,60,119,101.0
q05,SOL,BTC,162,0,0,0,0,162,101.0
q05,SOL,ETH,186,0,0,0,0,186,101.0
q05,SOL,without_DOGE,176,65,121,174,176,0,2.0
q05,DOGE,mean5,248,245,248,248,248,0,1.0
q05,DOGE,median5,179,74,75,75,75,104,101.0
q05,DOGE,BTC,162,0,0,0,0,162,101.0
q05,DOGE,ETH,186,0,0,0,0,186,101.0
q05,DOGE,without_DOGE,176,0,0,0,0,176,101.0
q10,BTC,mean5,384,1,1,3,6,294,101.0
q10,BTC,median5,306,3,4,6,11,222,101.0
q10,BTC,BTC,279,6,8,19,34,22,33.0
q10,BTC,ETH,342,0,0,0,0,342,101.0
q10,BTC,without_DOGE,322,0,1,9,14,183,101.0
q10,ETH,mean5,384,25,56,138,236,0,8.0
q10,ETH,median5,306,47,82,109,111,195,101.0
q10,ETH,BTC,279,0,0,0,0,279,101.0
q10,ETH,ETH,342,170,255,337,342,0,2.0
q10,ETH,without_DOGE,322,42,95,194,290,0,4.0
q10,XRP,mean5,384,37,86,191,313,0,6.0
q10,XRP,median5,306,40,74,82,82,224,101.0
q10,XRP,BTC,279,0,0,0,0,279,101.0
q10,XRP,ETH,342,0,0,0,0,342,101.0
q10,XRP,without_DOGE,322,68,134,252,320,0,3.0
q10,SOL,mean5,384,63,135,270,375,0,4.0
q10,SOL,median5,306,68,91,92,92,214,101.0
q10,SOL,BTC,279,0,0,0,0,279,101.0
q10,SOL,ETH,342,0,0,0,0,342,101.0
q10,SOL,without_DOGE,322,110,187,308,322,0,2.0
q10,DOGE,mean5,384,370,384,384,384,0,1.0
q10,DOGE,median5,306,106,108,108,108,198,101.0
q10,DOGE,BTC,279,0,0,0,0,279,101.0
q10,DOGE,ETH,342,0,0,0,0,342,101.0
q10,DOGE,without_DOGE,322,0,0,0,0,322,101.0
q90,BTC,mean5,288,3,4,6,8,208,101.0
q90,BTC,median5,187,1,2,3,7,143,101.0
q90,BTC,BTC,177,3,6,17,37,9,31.0
q90,BTC,ETH,131,0,0,0,0,131,101.0
q90,BTC,without_DOGE,183,0,2,6,12,92,101.0
q90,ETH,mean5,288,30,57,111,183,0,7.0
q90,ETH,median5,187,28,48,67,67,120,101.0
q90,ETH,BTC,177,0,0,0,0,177,101.0
q90,ETH,ETH,131,68,103,131,131,0,1.0
q90,ETH,without_DOGE,183,30,68,121,166,0,4.0
q90,XRP,mean5,288,44,76,151,240,0,5.0
q90,XRP,median5,187,38,55,59,59,128,101.0
q90,XRP,BTC,177,0,0,0,0,177,101.0
q90,XRP,ETH,131,0,0,0,0,131,101.0
q90,XRP,without_DOGE,183,42,90,143,178,0,3.0
q90,SOL,mean5,288,63,107,210,283,0,3.0
q90,SOL,median5,187,48,63,64,64,123,101.0
q90,SOL,BTC,177,0,0,0,0,177,101.0
q90,SOL,ETH,131,0,0,0,0,131,101.0
q90,SOL,without_DOGE,183,78,115,171,183,0,2.0
q90,DOGE,mean5,288,278,288,288,288,0,1.0
q90,DOGE,median5,187,77,78,78,78,109,101.0
q90,DOGE,BTC,177,0,0,0,0,177,101.0
q90,DOGE,ETH,131,0,0,0,0,131,101.0
q90,DOGE,without_DOGE,183,0,0,0,0,183,101.0
q95,BTC,mean5,185,2,2,3,4,140,101.0
q95,BTC,median5,107,1,1,4,5,79,101.0
q95,BTC,BTC,91,2,5,9,20,2,25.0
q95,BTC,ETH,66,0,0,0,0,66,101.0
q95,BTC,without_DOGE,92,1,1,1,5,51,101.0
q95,ETH,mean5,185,12,34,72,134,0,7.0
q95,ETH,median5,107,15,32,40,40,67,101.0
q95,ETH,BTC,91,0,0,0,0,91,101.0
q95,ETH,ETH,66,39,59,66,66,0,1.0
q95,ETH,without_DOGE,92,15,29,57,85,0,4.0
q95,XRP,mean5,185,21,45,100,166,0,5.0
q95,XRP,median5,107,28,36,40,40,67,101.0
q95,XRP,BTC,91,0,0,0,0,91,101.0
q95,XRP,ETH,66,0,0,0,0,66,101.0
q95,XRP,without_DOGE,92,21,38,76,90,0,3.0
q95,SOL,mean5,185,41,71,143,181,0,3.0
q95,SOL,median5,107,31,39,39,39,68,101.0
q95,SOL,BTC,91,0,0,0,0,91,101.0
q95,SOL,ETH,66,0,0,0,0,66,101.0
q95,SOL,without_DOGE,92,34,56,87,92,0,2.0
q95,DOGE,mean5,185,181,185,185,185,0,1.0
q95,DOGE,median5,107,51,51,51,51,56,101.0
q95,DOGE,BTC,91,0,0,0,0,91,101.0
q95,DOGE,ETH,66,0,0,0,0,66,101.0
q95,DOGE,without_DOGE,92,0,0,0,0,92,101.0
