contrast,estimate,low95,high95,p_centered,n_boot,p_holm_4
mean5_minus_BTC,0.6514745308310992,0.6060214938949604,0.6900804289544236,0.0005,1999,0.002
mean5_minus_ETH,0.46487935656836465,0.43592355812194955,0.49277610217456064,0.0005,1999,0.002
mean5_minus_median5,0.5099195710455764,0.4800401417294582,0.538751345532831,0.0005,1999,0.002
mean5_minus_without_DOGE,0.56514745308311,0.5299145299145299,0.5956241980018789,0.0005,1999,0.002
