mode,definition,information,fold,candidate,kind,n,loss_sum,mean_loss,first_origin,last_label,validation_months
available_macro,EQ,R,2025-12,0,linear,955,1259.0473109929324,1.3183741476365785,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,1,linear,955,1274.1017905236195,1.3341380005482926,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,2,linear,955,1294.272115277149,1.355258759452512,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,3,linear,955,1259.0473109929326,1.3183741476365787,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,4,linear,955,1253.5606077584016,1.312628908647541,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,5,linear,955,1283.7260708062186,1.34421578094892,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,6,linear,955,1251.4434073869024,1.3104119449077511,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,7,linear,955,1261.023659152882,1.3204436221496145,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,8,linear,955,1295.5402121944453,1.3565866096276915,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,9,linear,955,1251.443407386902,1.3104119449077507,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,10,linear,955,1242.5736417393005,1.3011242321877492,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,11,linear,955,1282.3206562364308,1.3427441426559483,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,12,qrf,955,1263.7278325764046,1.3232752173574918,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,13,qrf,955,1266.298963982425,1.3259675015522774,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,14,qrf,955,1271.9448358844788,1.3318794093031192,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,15,qrf,955,1236.6782407223973,1.2949510374056517,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,16,qrf,955,1218.9204251597769,1.276356466135892,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,17,qrf,955,1243.9096567796523,1.3025232008163898,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,18,qrf,955,1273.1244200286662,1.3331145759462473,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,19,qrf,955,1277.831935494267,1.3380439115123215,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,20,qrf,955,1278.7573980749285,1.339012982277412,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,21,qrf,955,1253.6441638287406,1.3127164019149116,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,22,qrf,955,1234.0193022308035,1.2921668086186424,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,23,qrf,955,1251.4301694566923,1.310398083200725,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,24,boosting,955,1267.1548371690687,1.3268637038419568,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
available_macro,EQ,R,2025-12,25,boosting,955,1268.0267466105345,1.327776698021502,2025-09-01T02:00:00+00:00,2025-11-28T17:00:00+00:00,"2025-09,2025-10,2025-11"
