mode,definition,information,strategy,calibration,fold,n,loss_bp,below_rate
available_macro,CAP,B,boosting,raw,2025-12,313,1.1615163248745464,0.14057507987220447
available_macro,CAP,B,boosting,raw,2026-01,294,1.2967238321144476,0.17346938775510204
available_macro,CAP,B,boosting,raw,2026-02,280,1.280941381281481,0.14285714285714285
available_macro,CAP,B,boosting,raw,2026-03,201,1.399919183228611,0.21890547263681592
available_macro,CAP,B,linear,raw,2025-12,313,1.1876331359081813,0.12460063897763578
available_macro,CAP,B,linear,raw,2026-01,294,1.270449842189984,0.14285714285714285
available_macro,CAP,B,linear,raw,2026-02,280,1.3215568810531988,0.14642857142857144
available_macro,CAP,B,linear,raw,2026-03,201,1.340123538296613,0.19402985074626866
available_macro,CAP,B,matched_full_spec,raw,2025-12,313,1.1047417321894208,0.14057507987220447
available_macro,CAP,B,matched_full_spec,raw,2026-01,294,1.2744694944215376,0.17346938775510204
available_macro,CAP,B,matched_full_spec,raw,2026-02,280,1.2817187293537857,0.14285714285714285
available_macro,CAP,B,matched_full_spec,raw,2026-03,201,1.399919183228611,0.21890547263681592
available_macro,CAP,B,ml_selected,raw,2025-12,313,1.1615163248745464,0.14057507987220447
available_macro,CAP,B,ml_selected,raw,2026-01,294,1.2744694944215376,0.17346938775510204
available_macro,CAP,B,ml_selected,raw,2026-02,280,1.2546160278269163,0.12857142857142856
available_macro,CAP,B,ml_selected,raw,2026-03,201,1.3022432306910434,0.1890547263681592
available_macro,CAP,B,qrf,raw,2025-12,313,1.1047417321894208,0.14057507987220447
available_macro,CAP,B,qrf,raw,2026-01,294,1.2744694944215376,0.17346938775510204
available_macro,CAP,B,qrf,raw,2026-02,280,1.2546160278269163,0.12857142857142856
available_macro,CAP,B,qrf,raw,2026-03,201,1.3022432306910434,0.1890547263681592
available_macro,CAP,B,threshold,raw,2025-12,313,1.940862414854079,0.14057507987220447
available_macro,CAP,B,threshold,raw,2026-01,294,1.3387084594369967,0.17006802721088435
available_macro,CAP,B,threshold,raw,2026-02,280,1.3902613853710326,0.1392857142857143
available_macro,CAP,B,threshold,raw,2026-03,201,1.4008978310236995,0.21393034825870647
available_macro,CAP,F,boosting,raw,2025-12,313,1.1585813659191755,0.14057507987220447
