mode,definition,comparison,primary_comparison,calibration,n,reference_information,reference_strategy,candidate_information,candidate_strategy,seed,difference_bp,improvement_pct
available_macro,CAP,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,20260925,0.0026847863286103557,0.2128676330291901
available_macro,CAP,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,20260925,0.12909591762758188,9.622876759698617
available_macro,CAP,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,20260925,0.09363591184377285,7.07221729474491
available_macro,CAP,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,20260925,-0.01697476525157371,-1.4000310854589415
available_macro,CAP,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,20260925,-0.0009295456865963114,-0.07560779164883513
available_macro,CAP,total_F_vs_R,True,calibrated,1088,R,ml_selected,F,ml_selected,20260925,-0.01790431093817002,-1.4766974096938723
available_macro,CAP,ml_vs_threshold_F,True,calibrated,1088,F,threshold,F,ml_selected,20260925,0.09644214229520776,7.268762539179163
available_macro,CAP,qrf_vs_linear_R,False,calibrated,1088,R,linear,R,qrf,20260925,0.12909591762758188,9.622876759698617
available_macro,CAP,boosting_vs_linear_R,False,calibrated,1088,R,linear,R,boosting,20260925,0.10929497053461046,8.146903877654
available_macro,CAP,qrf_vs_linear_B,False,calibrated,1088,B,linear,B,qrf,20260925,0.12983855722505555,9.637250806624165
available_macro,CAP,boosting_vs_linear_B,False,calibrated,1088,B,linear,B,boosting,20260925,0.0953274215718356,7.075666043054962
available_macro,CAP,qrf_vs_linear_F,False,calibrated,1088,F,linear,F,qrf,20260925,0.10439823599199416,7.885083784470481
available_macro,CAP,boosting_vs_linear_F,False,calibrated,1088,F,linear,F,boosting,20260925,0.07696844753655752,5.813342072493621
available_macro,CAP,nonlinear_B,False,calibrated,1088,B,linear,B,ml_selected,20260925,0.11782614295508997,8.745630847292162
available_macro,CAP,matched_market,False,calibrated,1088,R,matched_full_spec,B,matched_full_spec,20260925,-0.010925216406334481,-0.8980625939756237
available_macro,CAP,matched_position,False,calibrated,1088,B,matched_full_spec,F,matched_full_spec,20260925,-0.0029036760460232625,-0.2365603173086317
available_macro,CAP,matched_total,False,calibrated,1088,R,matched_full_spec,F,matched_full_spec,20260925,-0.013828892452357744,-1.136747371006197
available_macro,EQ,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,20260925,0.02840023410171133,1.5257135947588485
available_macro,EQ,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,20260926,0.02849618451257019,1.5308682299546628
available_macro,EQ,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,20260927,0.024441566215865684,1.3130465657146706
available_macro,EQ,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,20260928,0.021987110789968733,1.1811886381493886
available_macro,EQ,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,20260925,0.022217641872253946,1.2018989087112186
available_macro,EQ,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,20260926,0.03082859517189651,1.66772221405167
available_macro,EQ,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,20260927,0.024505956521473804,1.3256889533747818
available_macro,EQ,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,20260928,0.023926631933240072,1.2943494622446594
available_macro,EQ,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,20260925,0.011324550044368609,0.6178018564678922
available_macro,EQ,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,20260926,0.016644110607656692,0.9080538009559214
available_macro,EQ,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,20260927,0.021641354697706783,1.178082750496967
available_macro,EQ,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,20260928,0.017793696699284434,0.9673366756521307
available_macro,EQ,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,20260925,-0.0046127087841318914,-0.25320699106505806
available_macro,EQ,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,20260926,-0.0014172664586362682,-0.07803045483028015
available_macro,EQ,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,20260927,-0.008682530902404562,-0.47828241811067596
available_macro,EQ,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,20260928,-0.0029597420663189933,-0.16247512382132623
available_macro,EQ,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,20260925,0.006711841260236717,0.36615918289433225
available_macro,EQ,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,20260926,0.015226844149020424,0.830731904636639
available_macro,EQ,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,20260927,0.012958823795302221,0.7054348950527034
available_macro,EQ,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,20260928,0.01483395463296544,0.8064332332923474
available_macro,EQ,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,20260925,0.04788510810320634,2.5549455904550933
available_macro,EQ,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,20260926,0.05649606140284891,3.0143894140989502
available_macro,EQ,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,20260927,0.0501734227524262,2.6770403220780725
available_macro,EQ,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,20260928,0.04959409816419247,2.6461300274002397
available_macro,EQ,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,20260925,0.04562487890006839,2.4510536690564133
available_macro,EQ,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,20260926,0.04412648622641502,2.370557217361946
available_macro,EQ,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,20260927,0.038890439873966676,2.0892670324251683
available_macro,EQ,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,20260928,0.03613464775473174,1.9412207351450883
available_macro,EQ,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,20260925,0.02303666901541135,1.2375728653819529
available_macro,EQ,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,20260926,0.025878929126914363,1.3902643846289586
available_macro,EQ,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,20260927,0.02303666901541135,1.2375728653819529
available_macro,EQ,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,20260928,0.02363912906576915,1.2699381439862822
available_macro,EQ,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,20260925,0.012980657475848645,0.7183669155294115
available_macro,EQ,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,20260926,0.015839035561946435,0.8765533751095456
available_macro,EQ,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,20260927,0.011420492962580298,0.6320253283486177
available_macro,EQ,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,20260928,0.01009870801556012,0.5588759846308022
available_macro,EQ,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,20260925,-0.0292236730815707,-1.6172770856258456
available_macro,EQ,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,20260926,-0.029307867801173337,-1.6219365338192349
available_macro,EQ,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,20260927,-0.030745065395856086,-1.7014729675491447
available_macro,EQ,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,20260928,-0.030063959150869568,-1.6637796385887915
available_macro,EQ,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,20260925,0.05207976131959491,2.8173380710637796
available_macro,EQ,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,20260926,0.063788386698866,3.450734907090236
available_macro,EQ,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,20260927,0.05431040478238236,2.9380083005626334
available_macro,EQ,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,20260928,0.05647389810876602,3.055045935921752
available_macro,EQ,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,20260925,0.0279057935805882,1.5096085824083394
available_macro,EQ,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,20260926,0.032606804105455245,1.763917273320037
available_macro,EQ,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,20260927,0.029380098819649092,1.5893634847568006
available_macro,EQ,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,20260928,0.03103084741332096,1.678663372868161
available_macro,EQ,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,20260925,-0.01474701478365481,-0.8161194872533306
available_macro,EQ,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,20260926,-0.009331503809507868,-0.5164178795534324
available_macro,EQ,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,20260927,-0.008388878016162282,-0.46425170962529627
available_macro,EQ,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,20260928,-0.014690991440481582,-0.8130190806438842
available_macro,EQ,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,20260925,0.006675845682891257,0.36419547268761177
available_macro,EQ,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,20260926,0.008249881613369148,0.4500893158574715
available_macro,EQ,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,20260927,0.0116261357511942,0.6328878286380735
available_macro,EQ,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,20260928,0.011429578031390886,0.621357675352352
available_macro,EQ,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,20260925,3.5995577345460106e-05,0.001970888091928913
available_macro,EQ,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,20260926,0.0069769625356512766,0.3823635663389946
available_macro,EQ,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,20260927,0.0013326880441080213,0.07300913232692885
available_macro,EQ,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,20260928,0.0034043766015745547,0.18623272929749746
available_macro,EQ,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,20260925,0.006711841260236717,0.36615918289433225
available_macro,EQ,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,20260926,0.015226844149020424,0.830731904636639
available_macro,EQ,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,20260927,0.012958823795302221,0.7054348950527034
available_macro,EQ,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,20260928,0.01483395463296544,0.8064332332923474
