mode,definition,comparison,primary_comparison,calibration,n,reference_information,reference_strategy,candidate_information,candidate_strategy,fold,difference_bp,improvement_pct
available_macro,CAP,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,2025-12,0.0640549313751273,5.3306816238640415
available_macro,CAP,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,2026-01,-0.01812948968425454,-1.427013415421663
available_macro,CAP,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,2026-02,0.09358391665096444,7.081338532805626
available_macro,CAP,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,2026-03,0.03488226049080834,2.5367825964523028
available_macro,CAP,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,2025-12,0.16110428927401887,12.685849412500861
available_macro,CAP,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,2026-01,-0.021239570496480065,-1.671814958067741
available_macro,CAP,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,2026-02,0.03309119282573114,2.5039552440118573
available_macro,CAP,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,2026-03,0.16062180274665905,10.28171459420576
available_macro,CAP,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,2025-12,-0.023943849195939837,-2.104819667129898
available_macro,CAP,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,2026-01,0.01410983745270089,1.09499175593466
available_macro,CAP,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,2026-02,-0.026643063424681923,-2.169678339592074
available_macro,CAP,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,2026-03,0.03793363054151855,2.830494365246017
available_macro,CAP,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,2025-12,0.0526678972633734,4.534408697963155
available_macro,CAP,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,2026-01,-0.017219918264926415,-1.3511440124930107
available_macro,CAP,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,2026-02,-0.033849660400551373,-2.698009562270731
available_macro,CAP,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,2026-03,-0.09934330521018309,-7.628629035565493
available_macro,CAP,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,2025-12,0.02872404806743356,2.5250301568960243
available_macro,CAP,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,2026-01,-0.003110080812225524,-0.24135734101073947
available_macro,CAP,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,2026-02,-0.0604927238252333,-4.92622603093551
available_macro,CAP,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,2026-03,-0.06140967466866454,-4.582206755322282
available_macro,CAP,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,2025-12,0.14591359374723445,11.628786276880465
available_macro,CAP,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,2026-01,0.04942547059929003,3.6854016919264043
available_macro,CAP,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,2026-02,0.12261990158312752,8.68975648738546
available_macro,CAP,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,2026-03,0.02197723666698015,1.5438182040367399
available_macro,CAP,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,2025-12,0.0640549313751273,5.3306816238640415
available_macro,CAP,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,2026-01,-0.01812948968425454,-1.427013415421663
available_macro,CAP,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,2026-02,0.09358391665096444,7.081338532805626
available_macro,CAP,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,2026-03,0.03488226049080834,2.5367825964523028
available_macro,CAP,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,2025-12,-0.010871230476234839,-0.9047089316055024
available_macro,CAP,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,2026-01,-0.026427908847315384,-2.080200883945116
available_macro,CAP,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,2026-02,0.05505127728199333,4.165638125096882
available_macro,CAP,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,2026-03,-0.03147073699859759,-2.288682464733238
available_macro,CAP,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,2025-12,0.08289140371876069,6.979546226232037
available_macro,CAP,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,2026-01,-0.00401965223155365,-0.31639598023205373
available_macro,CAP,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,2026-02,0.06694085322628252,5.065302461513033
available_macro,CAP,qrf_vs_linear_B,False,raw,1088,B,linear,B,qrf,2026-03,0.037880307605569596,2.826628032645262
available_macro,CAP,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,2025-12,0.026116811033635168,2.1990638559999165
available_macro,CAP,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,2026-01,-0.026273989924463725,-2.068085575041123
available_macro,CAP,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,2026-02,0.040615499771717856,3.0733069725572326
available_macro,CAP,boosting_vs_linear_B,False,raw,1088,B,linear,B,boosting,2026-03,-0.05979564493199829,-4.461950202591214
available_macro,CAP,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,2025-12,0.16110428927401887,12.685849412500861
available_macro,CAP,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,2026-01,-0.021239570496480065,-1.671814958067741
available_macro,CAP,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,2026-02,0.06842154134475598,5.177343656235833
available_macro,CAP,qrf_vs_linear_F,False,raw,1088,F,linear,F,qrf,2026-03,0.232749951754601,14.898777966839527
available_macro,CAP,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,2025-12,0.11137135096601636,8.769724217699725
available_macro,CAP,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,2026-01,-0.02184258553615459,-1.7192796449565284
available_macro,CAP,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,2026-02,0.03309119282573114,2.5039552440118573
available_macro,CAP,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,2026-03,0.16062180274665905,10.28171459420576
available_macro,CAP,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,2025-12,0.026116811033635168,2.1990638559999165
available_macro,CAP,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,2026-01,-0.00401965223155365,-0.31639598023205373
available_macro,CAP,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,2026-02,0.06694085322628252,5.065302461513033
available_macro,CAP,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,2026-03,0.037880307605569596,2.826628032645262
available_macro,CAP,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,2025-12,0.03283074348918569,2.8860353244395176
available_macro,CAP,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,2026-01,0.01410983745270089,1.09499175593466
available_macro,CAP,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,2026-02,-0.015213125582580256,-1.201188967287714
available_macro,CAP,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,2026-03,0.006610675493356588,0.46999894473362946
available_macro,CAP,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,2025-12,-0.004106695421752127,-0.3717335284884493
available_macro,CAP,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,2026-01,-0.017219918264926415,-1.3511440124930107
available_macro,CAP,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,2026-02,-0.00674695887368193,-0.5263993354519769
available_macro,CAP,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,2026-03,-0.0016673526726151966,-0.11910349487245231
available_macro,CAP,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,2025-12,0.02872404806743356,2.5250301568960243
available_macro,CAP,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,2026-01,-0.003110080812225524,-0.24135734101073947
available_macro,CAP,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,2026-02,-0.021960084456262186,-1.7339113534810213
available_macro,CAP,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,2026-03,0.0049433228207413915,0.3514552350302069
available_macro,CAP,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,2025-12,0.35318384938746705,23.118653559523793
available_macro,CAP,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,2026-01,0.07886296852395547,6.22994716186348
available_macro,CAP,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,2026-02,0.045207475872617975,3.507765847898503
available_macro,CAP,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,2026-03,-0.029522350596238756,-2.388752429176133
available_macro,CAP,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,2025-12,0.30295700612047227,20.761580826215077
available_macro,CAP,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,2026-01,0.07799821100006255,6.161633810457734
available_macro,CAP,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,2026-02,0.0001022776986485674,0.007935993138219466
available_macro,CAP,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,2026-03,-0.07915314735981727,-6.3449299670382375
available_macro,CAP,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,2025-12,-0.008446944959612956,-0.7191846096019194
available_macro,CAP,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,2026-01,-0.004841883832747085,-0.40790727177606456
available_macro,CAP,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,2026-02,-0.03607984515803864,-2.901300008157892
available_macro,CAP,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,2026-03,-0.021386966817288133,-1.690118488354253
available_macro,CAP,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,2025-12,0.026701519333408363,2.2571711628935343
available_macro,CAP,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,2026-01,0.003977126308854162,0.33369411719194053
available_macro,CAP,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,2026-02,-0.00902535301593077,-0.7052958209324389
