mode,definition,comparison,primary_comparison,calibration,n,reference_information,reference_strategy,candidate_information,candidate_strategy,block_days,difference_bp,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months
available_macro,CAP,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,1,0.044056943542432336,3.433555059289972,-0.1606995533840329,7.146848846600175,0.0705,3
available_macro,CAP,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,5,0.044056943542432336,3.433555059289972,-0.352819729720863,6.970310312119185,0.069,3
available_macro,CAP,nonlinear_R,True,raw,1088,R,linear,R,ml_selected,10,0.044056943542432336,3.433555059289972,0.17159732374463882,6.7355990813291235,0.043,3
available_macro,CAP,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,1,0.07879754150743201,5.89202342138746,1.1684609335406742,10.646833555896302,0.0225,3
available_macro,CAP,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,5,0.07879754150743201,5.89202342138746,1.3277998715935322,9.92014821749663,0.0135,3
available_macro,CAP,nonlinear_F,True,raw,1088,F,linear,F,ml_selected,10,0.07879754150743201,5.89202342138746,1.8215174575421267,9.591794843923486,0.002,3
available_macro,CAP,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,1,-0.002924200925827899,-0.2359992475815087,-2.0646414990717767,1.4220691382761401,0.7935,2
available_macro,CAP,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,5,-0.002924200925827899,-0.2359992475815087,-2.1308665938646874,1.6624058377411335,0.7965,2
available_macro,CAP,market_B_vs_R,True,raw,1088,R,ml_selected,B,ml_selected,10,-0.002924200925827899,-0.2359992475815087,-1.7394423997691666,1.4003330246221077,0.7695,2
available_macro,CAP,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,1,-0.016565729214939,-1.333798553016008,-3.9818580291761836,1.183059635444651,0.2935,1
available_macro,CAP,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,5,-0.016565729214939,-1.333798553016008,-4.092205953008547,1.19185119412499,0.317,1
available_macro,CAP,position_F_vs_B,True,raw,1088,B,ml_selected,F,ml_selected,10,-0.016565729214939,-1.333798553016008,-3.601399761701018,0.6798702949661478,0.238,1
available_macro,CAP,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,1,-0.019489930140766894,-1.5729455551468652,-3.9016339071417625,0.7486677238401389,0.1835,1
available_macro,CAP,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,5,-0.019489930140766894,-1.5729455551468652,-3.820773559961867,0.6732333183027812,0.155,1
available_macro,CAP,total_F_vs_R,True,raw,1088,R,ml_selected,F,ml_selected,10,-0.019489930140766894,-1.5729455551468652,-3.3580441283866715,0.1480807809026861,0.0725,1
available_macro,CAP,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,1,0.0909494854893515,6.739437328608766,3.207331343558505,10.395086646277123,0.0005,4
available_macro,CAP,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,5,0.0909494854893515,6.739437328608766,3.7513915286585227,9.5167236398213,0.0005,4
available_macro,CAP,ml_vs_threshold_F,True,raw,1088,F,threshold,F,ml_selected,10,0.0909494854893515,6.739437328608766,4.362145151745999,9.004943836189348,0.0005,4
available_macro,CAP,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,1,0.044056943542432336,3.433555059289972,-0.1606995533840329,7.146848846600175,0.0705,3
available_macro,CAP,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,5,0.044056943542432336,3.433555059289972,-0.352819729720863,6.970310312119185,0.069,3
available_macro,CAP,qrf_vs_linear_R,False,raw,1088,R,linear,R,qrf,10,0.044056943542432336,3.433555059289972,0.17159732374463882,6.7355990813291235,0.043,3
available_macro,CAP,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,1,-0.0019152213583935956,-0.14926178386474032,-3.3443040490467912,2.891519872263876,0.9275,1
available_macro,CAP,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,5,-0.0019152213583935956,-0.14926178386474032,-3.150169750691445,2.7875226570642857,0.929,1
available_macro,CAP,boosting_vs_linear_R,False,raw,1088,R,linear,R,boosting,10,-0.0019152213583935956,-0.14926178386474032,-2.8146887141260124,2.576920012088262,0.916,1
