mode,definition,information,strategy,calibration,n,days,seeds,loss_bp,below_rate,below_lo,below_hi,mean_absolute_correction_bp
available_macro,CAP,B,boosting,raw,1088,78,1,1.2728297416499506,0.1645220588235294,0.14804333915782739,0.1804071741266863,2.6660513366090455
available_macro,CAP,B,linear,raw,1088,78,1,1.2726490652901017,0.1479779411764706,0.1296078673541853,0.16577261954897152,3.244049378513399
available_macro,CAP,B,matched_full_spec,raw,1088,78,1,1.2506830823375292,0.1645220588235294,0.14493836878359986,0.1844554304640054,2.5625259251100236
available_macro,CAP,B,ml_selected,raw,1088,78,1,1.2419963402629608,0.15533088235294118,0.13545361781076068,0.17479071768397608,2.6396703785814184
available_macro,CAP,B,qrf,raw,1088,78,1,1.225663208359979,0.15533088235294118,0.13457063827169874,0.17547238609268268,2.5547843299024406
available_macro,CAP,B,threshold,raw,1088,78,1,1.5366947379259712,0.16176470588235295,0.14036460964361955,0.1833162188430538,3.2251550933841178
available_macro,CAP,F,boosting,raw,1088,78,1,1.273032378404434,0.1636029411764706,0.14620622427481633,0.18028320017571314,2.645227481530743
available_macro,CAP,F,linear,raw,1088,78,1,1.3373596109853318,0.15900735294117646,0.1410250502185986,0.1763578279010167,3.115514681804633
available_macro,CAP,F,matched_full_spec,raw,1088,78,1,1.2585620694778998,0.16727941176470587,0.14690188010054753,0.18723265174217052,2.7172644068594045
available_macro,CAP,F,ml_selected,raw,1088,78,1,1.2585620694778998,0.16727941176470587,0.14690188010054753,0.18723265174217052,2.7172644068594045
available_macro,CAP,F,qrf,raw,1088,78,1,1.2361445551985586,0.16084558823529413,0.13938770586318402,0.182408730706101,2.7082717649139076
available_macro,CAP,F,threshold,raw,1088,78,1,1.3495115549672514,0.17647058823529413,0.15458577951728636,0.19698460183239358,3.4141753251021023
available_macro,CAP,R,boosting,raw,1088,78,1,1.2850443042379587,0.17647058823529413,0.1573983116829898,0.19568752821339838,2.8707902195803534
available_macro,CAP,R,linear,raw,1088,78,1,1.2831290828795654,0.15625,0.13887875101378752,0.1745339472903095,3.3406908226064473
available_macro,CAP,R,matched_full_spec,raw,1088,78,1,1.2612468558065102,0.17279411764705882,0.15362494472263044,0.19254923568305302,2.726184372270578
available_macro,CAP,R,ml_selected,raw,1088,78,1,1.2390721393371331,0.16268382352941177,0.14351404920037203,0.18183561405037915,2.607668449537801
available_macro,CAP,R,qrf,raw,1088,78,1,1.2390721393371331,0.16268382352941177,0.14351404920037203,0.18183561405037915,2.607668449537801
available_macro,CAP,R,threshold,raw,1088,78,1,1.3155237142481988,0.16544117647058823,0.1468208530231431,0.18595113817601855,3.2051107785754387
available_macro,CAP,B,boosting,calibrated,1088,78,1,1.2519297976323283,0.09834558823529412,0.08295676960588926,0.1166510296553128,2.6660513366090455
available_macro,CAP,B,linear,calibrated,1088,78,1,1.3472572192041639,0.09834558823529412,0.08046881537607169,0.11743656870225659,3.244049378513399
available_macro,CAP,B,matched_full_spec,calibrated,1088,78,1,1.227456945889647,0.10018382352941177,0.08394767341175217,0.11833147606177224,2.5625259251100236
available_macro,CAP,B,ml_selected,calibrated,1088,78,1,1.2294310762490739,0.10202205882352941,0.08727032438926713,0.11770339582596392,2.6396703785814184
available_macro,CAP,B,qrf,calibrated,1088,78,1,1.2174186619791083,0.10110294117647059,0.08514562367857209,0.11879663891458526,2.5547843299024406
available_macro,CAP,B,threshold,calibrated,1088,78,1,1.546711895654434,0.10110294117647059,0.0842301149543791,0.11937523731635365,3.2251550933841178
available_macro,CAP,F,boosting,calibrated,1088,78,1,1.2470280862428855,0.0974264705882353,0.08370044052863436,0.1132114334570468,2.645227481530743
available_macro,CAP,F,linear,calibrated,1088,78,1,1.323996533779443,0.09558823529411764,0.07822095471736686,0.11346543060623727,3.115514681804633
available_macro,CAP,F,matched_full_spec,calibrated,1088,78,1,1.2303606219356702,0.09558823529411764,0.08043669254486574,0.11221910518148479,2.7172644068594045
available_macro,CAP,F,ml_selected,calibrated,1088,78,1,1.2303606219356702,0.09558823529411764,0.08043669254486574,0.11221910518148479,2.7172644068594045
available_macro,CAP,F,qrf,calibrated,1088,78,1,1.2195982977874489,0.09926470588235294,0.08381767095242387,0.11591429666567293,2.7082717649139076
available_macro,CAP,F,threshold,calibrated,1088,78,1,1.326802764230878,0.10202205882352941,0.08604725382635785,0.11830423568856677,3.4141753251021023
available_macro,CAP,R,boosting,calibrated,1088,78,1,1.2322572580904716,0.09466911764705882,0.07949761212749791,0.11156700470843896,2.8707902195803534
available_macro,CAP,R,linear,calibrated,1088,78,1,1.341552228625082,0.10018382352941177,0.08222435960054403,0.11926891435947291,3.3406908226064473
available_macro,CAP,R,matched_full_spec,calibrated,1088,78,1,1.2165317294833125,0.09650735294117647,0.0796761236244365,0.11453424428508813,2.726184372270578
available_macro,CAP,R,ml_selected,calibrated,1088,78,1,1.2124563109975002,0.0974264705882353,0.08057209290758978,0.11634233251721166,2.607668449537801
available_macro,CAP,R,qrf,calibrated,1088,78,1,1.2124563109975002,0.0974264705882353,0.08057209290758978,0.11634233251721166,2.607668449537801
available_macro,CAP,R,threshold,calibrated,1088,78,1,1.3287383591425461,0.09375,0.07795349967751562,0.11100483008452648,3.2051107785754387
available_macro,EQ,B,boosting,raw,1088,78,4,1.8368027501429578,0.19738051470588236,0.17833424853292404,0.21624368688825985,4.850043061413086
available_macro,EQ,B,linear,raw,1088,78,4,1.8069676087855906,0.16544117647058823,0.14335980411620675,0.18966335425902234,3.9285050703238453
available_macro,EQ,B,matched_full_spec,raw,1088,78,4,1.8261127735405849,0.19600183823529413,0.17563470695869754,0.21724660749363123,4.888414050810264
available_macro,EQ,B,ml_selected,raw,1088,78,4,1.8187572057980421,0.19669117647058823,0.17648242771684947,0.21770789988136674,4.801849068834895
available_macro,EQ,B,qrf,raw,1088,78,4,1.7943828852816064,0.1879595588235294,0.16570491840441598,0.20892818407321143,4.72453318880208
available_macro,EQ,B,threshold,raw,1088,78,4,1.8351964894681685,0.18841911764705882,0.16694940476190476,0.2092608696484058,4.737090808997592
available_macro,EQ,F,boosting,raw,1088,78,4,1.8183140882458781,0.19898897058823528,0.1799763603925067,0.21730824280681152,4.78947110425774
available_macro,EQ,F,linear,raw,1088,78,4,1.8485449742256312,0.16636029411764705,0.14193330427201395,0.19429228426790093,4.149860761487529
