mode,definition,information,fold,strategy,candidate,kind,window,form,params,inner_score,inner_months,choice_source_information
available_macro,CAP,B,2026-02,boosting,27,boosting,all,change,"{'max_depth': 1, 'n_estimators': 150, 'min_samples_leaf': 20}",1.239914795582984,"['2025-11', '2025-12', '2026-01']",B
available_macro,CAP,B,2026-02,threshold,56,threshold,90,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.369183472730987,"['2025-11', '2025-12', '2026-01']",B
available_macro,CAP,B,2026-02,ml_selected,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.2374285499362165,"['2025-11', '2025-12', '2026-01']",B
available_macro,CAP,B,2026-03,linear,4,linear,all,change,{'alpha': 0.01},1.3157945216192246,"['2025-12', '2026-01', '2026-02']",B
available_macro,CAP,B,2026-03,qrf,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.2016965688670502,"['2025-12', '2026-01', '2026-02']",B
available_macro,CAP,B,2026-03,boosting,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2187874943723283,"['2025-12', '2026-01', '2026-02']",B
available_macro,CAP,B,2026-03,threshold,56,threshold,90,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.3323067700519755,"['2025-12', '2026-01', '2026-02']",B
available_macro,CAP,B,2026-03,ml_selected,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.2016965688670502,"['2025-12', '2026-01', '2026-02']",B
available_macro,CAP,F,2025-12,linear,5,linear,all,change,{'alpha': 0.05},1.2084774290518858,"['2025-09', '2025-10', '2025-11']",F
available_macro,CAP,F,2025-12,qrf,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.1054182097301704,"['2025-09', '2025-10', '2025-11']",F
