definition,fold,candidate,kind,rule,rule_rank,score,n
EQ,2025-12,19,qrf,global60,0,1.4905698665574123,479
EQ,2025-12,19,qrf,global180,1,1.619422543969332,479
EQ,2025-12,19,qrf,scaled180,2,1.6251978644195464,479
EQ,2025-12,19,qrf,local180,3,1.5681244334101923,479
EQ,2025-12,19,qrf,local_scaled180,4,1.5629436127994598,479
EQ,2025-12,19,qrf,local_shrink180,5,1.586403240919626,479
EQ,2025-12,19,qrf,local_scaled_shrink180,6,1.587894887088503,479
EQ,2025-12,20,qrf,global60,0,1.497939572809485,479
EQ,2025-12,20,qrf,global180,1,1.620538516785465,479
EQ,2025-12,20,qrf,scaled180,2,1.6212483044619528,479
EQ,2025-12,20,qrf,local180,3,1.567712002224619,479
EQ,2025-12,20,qrf,local_scaled180,4,1.5581554209570014,479
EQ,2025-12,20,qrf,local_shrink180,5,1.5878654588626335,479
EQ,2025-12,20,qrf,local_scaled_shrink180,6,1.585267539932394,479
EQ,2025-12,21,qrf,global60,0,1.3435221346787007,479
EQ,2025-12,21,qrf,global180,1,1.4039198654598317,479
EQ,2025-12,21,qrf,scaled180,2,1.400890607664465,479
EQ,2025-12,21,qrf,local180,3,1.4229999258489223,479
EQ,2025-12,21,qrf,local_scaled180,4,1.4223397804467488,479
EQ,2025-12,21,qrf,local_shrink180,5,1.403717551132343,479
EQ,2025-12,21,qrf,local_scaled_shrink180,6,1.4005083319127642,479
EQ,2025-12,22,qrf,global60,0,1.3526159451729025,479
EQ,2025-12,22,qrf,global180,1,1.3900793216491893,479
EQ,2025-12,22,qrf,scaled180,2,1.3945994210733639,479
EQ,2025-12,22,qrf,local180,3,1.4224413428306768,479
EQ,2025-12,22,qrf,local_scaled180,4,1.417422851660264,479
EQ,2025-12,22,qrf,local_shrink180,5,1.3934776807673186,479
EQ,2025-12,22,qrf,local_scaled_shrink180,6,1.3932342954667492,479
EQ,2025-12,23,qrf,global60,0,1.3961948759735059,479
EQ,2025-12,23,qrf,global180,1,1.4167194640922047,479
EQ,2025-12,23,qrf,scaled180,2,1.424612129713106,479
EQ,2025-12,23,qrf,local180,3,1.4421535955126454,479
EQ,2025-12,23,qrf,local_scaled180,4,1.434658207983389,479
EQ,2025-12,23,qrf,local_shrink180,5,1.413493359398052,479
EQ,2025-12,23,qrf,local_scaled_shrink180,6,1.414621827454173,479
EQ,2025-12,24,boosting,global60,0,1.4446472683641531,479
EQ,2025-12,24,boosting,global180,1,1.514449663474917,479
EQ,2025-12,24,boosting,scaled180,2,1.5127964012428843,479
EQ,2025-12,24,boosting,local180,3,1.4727964349285945,479
EQ,2025-12,24,boosting,local_scaled180,4,1.4684787673535564,479
EQ,2025-12,24,boosting,local_shrink180,5,1.4861804305259332,479
EQ,2025-12,24,boosting,local_scaled_shrink180,6,1.481498584500108,479
EQ,2025-12,25,boosting,global60,0,1.4371246263271809,479
EQ,2025-12,25,boosting,global180,1,1.5120909346248608,479
EQ,2025-12,25,boosting,scaled180,2,1.5113552073322056,479
EQ,2025-12,25,boosting,local180,3,1.487154011635761,479
EQ,2025-12,25,boosting,local_scaled180,4,1.4854013133831416,479
EQ,2025-12,25,boosting,local_shrink180,5,1.4897505893288476,479
EQ,2025-12,25,boosting,local_scaled_shrink180,6,1.487887066485584,479
EQ,2025-12,26,boosting,global60,0,1.4256298138476324,479
EQ,2025-12,26,boosting,global180,1,1.5061671788163549,479
EQ,2025-12,26,boosting,scaled180,2,1.5023123997294465,479
EQ,2025-12,26,boosting,local180,3,1.4717081713769282,479
EQ,2025-12,26,boosting,local_scaled180,4,1.4663676032664037,479
EQ,2025-12,26,boosting,local_shrink180,5,1.4792543560174813,479
EQ,2025-12,26,boosting,local_scaled_shrink180,6,1.4725921492159848,479
EQ,2025-12,27,boosting,global60,0,1.4175912322405837,479
EQ,2025-12,27,boosting,global180,1,1.3960856308823006,479
EQ,2025-12,27,boosting,scaled180,2,1.396593265614707,479
EQ,2025-12,27,boosting,local180,3,1.3928639005212617,479
EQ,2025-12,27,boosting,local_scaled180,4,1.391118909068076,479
EQ,2025-12,27,boosting,local_shrink180,5,1.3783615768735167,479
EQ,2025-12,27,boosting,local_scaled_shrink180,6,1.3785414242348175,479
EQ,2025-12,28,boosting,global60,0,1.396784449480721,479
EQ,2025-12,28,boosting,global180,1,1.3709521387061387,479
EQ,2025-12,28,boosting,scaled180,2,1.3709958941160119,479
EQ,2025-12,28,boosting,local180,3,1.36086686819519,479
EQ,2025-12,28,boosting,local_scaled180,4,1.3574042446802008,479
EQ,2025-12,28,boosting,local_shrink180,5,1.3536709349912135,479
EQ,2025-12,28,boosting,local_scaled_shrink180,6,1.351629672184933,479
EQ,2025-12,29,boosting,global60,0,1.3506839651425577,479
EQ,2025-12,29,boosting,global180,1,1.338703152385152,479
EQ,2025-12,29,boosting,scaled180,2,1.3362429159345222,479
EQ,2025-12,29,boosting,local180,3,1.3494274681887006,479
EQ,2025-12,29,boosting,local_scaled180,4,1.350281245845628,479
EQ,2025-12,29,boosting,local_shrink180,5,1.3340536780129728,479
EQ,2025-12,29,boosting,local_scaled_shrink180,6,1.330793561734661,479
EQ,2025-12,30,boosting,global60,0,1.444077789559322,479
EQ,2025-12,30,boosting,global180,1,1.5684582046961464,479
EQ,2025-12,30,boosting,scaled180,2,1.5641417792872239,479
EQ,2025-12,30,boosting,local180,3,1.5404536460427616,479
EQ,2025-12,30,boosting,local_scaled180,4,1.542074137395566,479
EQ,2025-12,30,boosting,local_shrink180,5,1.5442949586518036,479
EQ,2025-12,30,boosting,local_scaled_shrink180,6,1.5465573813484992,479
