definition,fold,family,policy,candidate,kind,rule,rule_rank,score,n
EQ,2025-12,linear,legacy,7,linear,global60,0,1.4132539726073425,479
EQ,2025-12,linear,fixed_model_selected_cal,7,linear,global60,0,1.4132539726073425,479
EQ,2025-12,linear,joint_selected,5,linear,local_shrink180,5,1.3773725787856015,479
EQ,2025-12,linear,global_window_selected,7,linear,global60,0,1.4132539726073425,479
EQ,2025-12,threshold,legacy,59,threshold,global60,0,1.4186989064746969,479
EQ,2025-12,threshold,fixed_model_selected_cal,59,threshold,global60,0,1.4186989064746969,479
EQ,2025-12,threshold,joint_selected,59,threshold,global60,0,1.4186989064746969,479
EQ,2025-12,threshold,global_window_selected,59,threshold,global60,0,1.4186989064746969,479
EQ,2025-12,ml_selected,legacy,16,qrf,global60,0,1.3417465711878014,479
EQ,2025-12,ml_selected,fixed_model_selected_cal,16,qrf,global60,0,1.3417465711878014,479
EQ,2025-12,ml_selected,joint_selected,29,boosting,local_scaled_shrink180,6,1.330793561734661,479
EQ,2025-12,ml_selected,global_window_selected,29,boosting,global180,1,1.338703152385152,479
EQ,2025-12,historical,legacy,60,historical,global60,0,1.7490137419587244,479
EQ,2025-12,historical,fixed_model_selected_cal,60,historical,local_scaled180,4,1.3799919053718315,479
EQ,2025-12,historical,joint_selected,60,historical,local_scaled180,4,1.3799919053718315,479
EQ,2025-12,historical,global_window_selected,60,historical,global180,1,1.683805834959554,479
EQ,2025-12,state_hist,legacy,61,state_hist,global60,0,1.4669635000853538,479
EQ,2025-12,state_hist,fixed_model_selected_cal,61,state_hist,local_shrink180,5,1.4193778692433594,479
EQ,2025-12,state_hist,joint_selected,61,state_hist,local_shrink180,5,1.4193778692433594,479
EQ,2025-12,state_hist,global_window_selected,61,state_hist,global180,1,1.4285671869126808,479
EQ,2026-01,linear,legacy,11,linear,global60,0,1.755328415339325,445
EQ,2026-01,linear,fixed_model_selected_cal,11,linear,global60,0,1.755328415339325,445
EQ,2026-01,linear,joint_selected,5,linear,global180,1,1.7323428852981542,445
EQ,2026-01,linear,global_window_selected,5,linear,global180,1,1.7323428852981542,445
EQ,2026-01,threshold,legacy,59,threshold,global60,0,1.7972624955319785,445
EQ,2026-01,threshold,fixed_model_selected_cal,59,threshold,local_scaled180,4,1.7704051585152172,445
EQ,2026-01,threshold,joint_selected,59,threshold,local_scaled180,4,1.7704051585152172,445
EQ,2026-01,threshold,global_window_selected,59,threshold,global60,0,1.7972624955319785,445
EQ,2026-01,ml_selected,legacy,16,qrf,global60,0,1.6581180306762928,445
EQ,2026-01,ml_selected,fixed_model_selected_cal,16,qrf,global180,1,1.6571852546996775,445
EQ,2026-01,ml_selected,joint_selected,29,boosting,scaled180,2,1.607439821396024,445
EQ,2026-01,ml_selected,global_window_selected,29,boosting,global180,1,1.6152718985220111,445
EQ,2026-01,historical,legacy,60,historical,global60,0,2.038948388836138,445
EQ,2026-01,historical,fixed_model_selected_cal,60,historical,local180,3,1.6802960490910357,445
EQ,2026-01,historical,joint_selected,60,historical,local180,3,1.6802960490910357,445
EQ,2026-01,historical,global_window_selected,60,historical,global180,1,2.0101395263695947,445
EQ,2026-01,state_hist,legacy,61,state_hist,global60,0,1.7294552551158717,445
EQ,2026-01,state_hist,fixed_model_selected_cal,61,state_hist,scaled180,2,1.6784133532561654,445
EQ,2026-01,state_hist,joint_selected,61,state_hist,scaled180,2,1.6784133532561654,445
EQ,2026-01,state_hist,global_window_selected,61,state_hist,global180,1,1.685134684216771,445
EQ,2026-02,linear,legacy,5,linear,global60,0,1.949094882857172,400
EQ,2026-02,linear,fixed_model_selected_cal,5,linear,scaled180,2,1.8618176732006209,400
EQ,2026-02,linear,joint_selected,5,linear,scaled180,2,1.8618176732006209,400
EQ,2026-02,linear,global_window_selected,5,linear,global180,1,1.8648178483102569,400
EQ,2026-02,threshold,legacy,59,threshold,global60,0,1.8934576260569036,400
EQ,2026-02,threshold,fixed_model_selected_cal,59,threshold,local_scaled180,4,1.8687161416621547,400
EQ,2026-02,threshold,joint_selected,59,threshold,local_scaled180,4,1.8687161416621547,400
EQ,2026-02,threshold,global_window_selected,59,threshold,global60,0,1.8934576260569036,400
EQ,2026-02,ml_selected,legacy,16,qrf,global60,0,1.7190209683887923,400
EQ,2026-02,ml_selected,fixed_model_selected_cal,16,qrf,global60,0,1.7190209683887923,400
EQ,2026-02,ml_selected,joint_selected,29,boosting,scaled180,2,1.7148963686805023,400
EQ,2026-02,ml_selected,global_window_selected,16,qrf,global60,0,1.7190209683887923,400
EQ,2026-02,historical,legacy,60,historical,global60,0,2.164809333242518,400
EQ,2026-02,historical,fixed_model_selected_cal,60,historical,local180,3,1.7256026273290614,400
EQ,2026-02,historical,joint_selected,60,historical,local180,3,1.7256026273290614,400
EQ,2026-02,historical,global_window_selected,60,historical,global180,1,2.1530782936093398,400
