definition,policy,family,state,n,below,below_lo,below_hi,q_change,pinball,cost_10,sparse,bootstrap_valid_fraction
EQ,fixed_model_selected_cal,historical,0,11,0.0,0.0,0.0,-6.538371833529351,1.2270410048189104,0.0,True,0.992496248124062
EQ,fixed_model_selected_cal,historical,1,248,0.10080645161290322,0.05454095409540954,0.14568919755817036,-5.870614401999173,2.149428852965628,0.04435483870967742,False,1.0
EQ,fixed_model_selected_cal,historical,2,10,0.1,0.0,0.25,-11.291238244304184,1.644847051634064,0.06999999999999999,True,0.9979989994997499
EQ,fixed_model_selected_cal,historical,3,98,0.12244897959183673,0.05747126436781609,0.18694509345794388,-11.936351767027805,1.5674674002459543,0.08163265306122451,False,1.0
EQ,fixed_model_selected_cal,historical,4,9,0.0,0.0,0.0,-20.049927480570858,1.308125232761518,0.06666666666666667,True,0.9979989994997499
EQ,fixed_model_selected_cal,historical,5,133,0.17293233082706766,0.1125749441592539,0.24771048144840466,-22.98934983709173,1.9722810589219015,0.0443609022556391,False,1.0
EQ,fixed_model_selected_cal,linear,0,11,0.0,0.0,0.0,-12.594571218722338,1.8326609433382095,0.1,True,0.992496248124062
EQ,fixed_model_selected_cal,linear,1,248,0.06854838709677419,0.034934497816593885,0.1045567616463138,-8.696180002735824,2.305783364243326,0.0774193548387097,False,1.0
EQ,fixed_model_selected_cal,linear,2,10,0.1,0.0,0.25,-14.1697099589355,1.7931094704460577,0.09,True,0.9979989994997499
EQ,fixed_model_selected_cal,linear,3,98,0.05102040816326531,0.01098901098901099,0.09600769230769231,-15.973267973485097,1.780833376678562,0.08265306122448977,False,1.0
EQ,fixed_model_selected_cal,linear,4,9,0.0,0.0,0.0,-17.40658399258352,1.0437908839627843,0.06666666666666667,True,0.9979989994997499
EQ,fixed_model_selected_cal,linear,5,133,0.24060150375939848,0.17837665691168877,0.32234007939090253,-21.281164535557895,2.3484884274651816,0.05789473684210526,False,1.0
EQ,fixed_model_selected_cal,ml_selected,0,11,0.06818181818181818,0.0,0.25,-4.415598798836419,1.0547944004971221,0.0,True,0.992496248124062
EQ,fixed_model_selected_cal,ml_selected,1,248,0.08971774193548387,0.04247013185692431,0.1388032106782107,-6.602122907656122,2.077195527401845,0.05866935483870968,False,1.0
EQ,fixed_model_selected_cal,ml_selected,2,10,0.1,0.0,0.25,-11.016352936468005,1.7082848886116957,0.16,True,0.9979989994997499
EQ,fixed_model_selected_cal,ml_selected,3,98,0.058673469387755105,0.02183938370620515,0.10194670101050128,-12.726557282328098,1.530136414981365,0.06683673469387753,False,1.0
EQ,fixed_model_selected_cal,ml_selected,4,9,0.0,0.0,0.0,-19.778302252690352,1.280962709973468,0.06666666666666667,True,0.9979989994997499
EQ,fixed_model_selected_cal,ml_selected,5,133,0.17481203007518797,0.11676147704590818,0.24319957712814855,-21.960727803927902,1.8638552093588272,0.0443609022556391,False,1.0
EQ,fixed_model_selected_cal,state_hist,0,11,0.09090909090909091,0.0,0.3333333333333333,-4.239850088756634,1.354793286402311,0.0,True,0.992496248124062
