definition,policy,family,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
EQ,fixed_model_selected_cal,historical,509,1.9463705113170817,0.11984282907662082,-11.883187019911047,1.2973896061000512,0.6489809052170306,0.07269155206286837,0.21822714048534367,0.05147347740667977,0.223666070517431,0.03614931237721021,0.15069811195152222,164.0,444.0,155.0,289.0,9.0,104.0,216.0,89.0,127.0,15.0,39.0,113.0,28.0,85.0,11.0,0.019842829076620813,0.027701375245579557
EQ,fixed_model_selected_cal,linear,509,2.1732600965354796,0.10805500982318271,-13.731482169425888,1.4864251280782266,0.6868349684572531,0.06267190569744598,0.15821571065689802,0.07387033398821219,0.22651003601541506,0.0412573673870334,0.21102893836879633,164.0,463.0,162.0,301.0,2.0,104.0,370.0,93.0,277.0,11.0,39.0,89.0,23.0,66.0,16.0,0.008055009823182704,0.06542239685658152
EQ,fixed_model_selected_cal,ml_selected,509,1.872701088388805,0.10412573673870335,-12.066887483527264,1.306555705532683,0.5661453828561221,0.06110019646365423,0.04977504894835953,0.05736738703339882,0.2204204124597296,0.028732809430255402,0.14120177695007372,164.0,415.0,158.0,257.0,6.0,104.0,263.5,90.75,172.75,13.25,39.0,95.25,30.0,65.25,9.0,0.0041257367387033395,0.034970530451866405
EQ,fixed_model_selected_cal,state_hist,509,1.8714798254310292,0.1100196463654224,-11.771066084588984,1.2798096533324603,0.5916701720985688,0.06836935166994107,0.010909162836426175,0.05402750491159136,0.22503838985940633,0.025736738703339885,0.11326268231949241,164.0,492.0,162.0,330.0,2.0,104.0,219.0,88.0,131.0,16.0,39.0,120.0,34.0,86.0,5.0,0.010019646365422394,0.024557956777996066
EQ,fixed_model_selected_cal,threshold,509,2.0212407161938986,0.11591355599214145,-12.950009456694424,1.4008906458982369,0.6203500702956616,0.06227897838899804,0.15921871509312113,0.06326129666011789,0.2166989673132736,0.03595284872298625,0.1656397160997939,164.0,401.0,156.0,245.0,8.0,104.0,306.0,92.0,214.0,12.0,39.0,112.0,28.0,84.0,11.0,0.015913555992141448,0.02730844793713163
EQ,global_window_selected,historical,509,2.510699869564535,0.10412573673870335,-16.873621571285476,1.8029616515484952,0.7077382180160395,0.06777996070726916,0.0,0.07956777996070727,0.0,0.05972495088408645,0.3392952894947159,164.0,509.0,164.0,345.0,0.0,104.0,509.0,104.0,405.0,0.0,39.0,103.0,15.0,88.0,24.0,0.0041257367387033395,0.12868369351669942
EQ,global_window_selected,linear,509,2.1160660187907196,0.11787819253438114,-13.058118796205104,1.42010301671388,0.6959630020768395,0.06110019646365422,0.15821571065689802,0.06719056974459724,0.20324655657614057,0.044007858546168954,0.22308648625839334,164.0,455.0,162.0,293.0,2.0,104.0,336.0,93.0,243.0,11.0,39.0,83.0,21.0,62.0,18.0,0.017878192534381138,0.06345776031434185
EQ,global_window_selected,ml_selected,509,1.8620503841146445,0.11787819253438114,-11.55446778742888,1.2593728624564124,0.6026775216582322,0.06154223968565816,0.19472314434095625,0.054764243614931235,0.21505658755239923,0.02912573673870334,0.16653262836115687,164.0,404.75,156.75,248.0,7.25,104.0,257.75,91.5,166.25,12.5,39.0,77.25,28.0,49.25,11.0,0.017878192534381138,0.03300589390962672
EQ,global_window_selected,state_hist,509,1.8681766119738972,0.10805500982318271,-11.823228678284252,1.284173965419321,0.584002646554576,0.06758349705304519,0.0059259635331503436,0.05520628683693517,0.22473010958288228,0.026915520628683697,0.1322871922933996,164.0,498.0,163.0,335.0,1.0,104.0,235.0,89.0,146.0,15.0,39.0,116.0,33.0,83.0,6.0,0.008055009823182704,0.030451866404715124
EQ,global_window_selected,threshold,509,2.0898191657215595,0.11394891944990176,-13.160776779211263,1.4267175498775186,0.6631016158440411,0.06286836935166994,0.14268299809348264,0.06935166994106091,0.24754875536086768,0.04223968565815324,0.22446158995814852,164.0,434.0,159.0,275.0,5.0,104.0,317.0,90.0,227.0,14.0,39.0,104.0,24.0,80.0,15.0,0.013948919449901759,0.05952848722986248
EQ,joint_selected,historical,509,1.9463705113170817,0.11984282907662082,-11.883187019911047,1.2973896061000512,0.6489809052170306,0.07269155206286837,0.21822714048534367,0.05147347740667977,0.223666070517431,0.03614931237721021,0.15069811195152222,164.0,444.0,155.0,289.0,9.0,104.0,216.0,89.0,127.0,15.0,39.0,113.0,28.0,85.0,11.0,0.019842829076620813,0.027701375245579557
EQ,joint_selected,linear,509,1.99370673637002,0.11984282907662082,-11.969273787252378,1.3098710376660647,0.6838356987039551,0.06326129666011789,0.17520883145867805,0.06699410609037329,0.22088048590299453,0.03536345776031434,0.19697551377085235,164.0,456.0,161.0,295.0,3.0,104.0,315.0,91.0,224.0,13.0,39.0,59.0,23.0,36.0,16.0,0.019842829076620813,0.05363457760314341
EQ,joint_selected,ml_selected,509,1.8779250111881571,0.12180746561886051,-11.771328933193246,1.2804778282825566,0.5974471829056007,0.06424361493123773,0.062297745789605695,0.0587917485265226,0.2284758168630933,0.027652259332023574,0.15530587173000462,164.0,431.0,158.0,273.0,6.0,104.0,248.25,88.5,159.75,15.5,39.0,79.75,29.0,50.75,10.0,0.021807465618860503,0.026915520628683694
