definition,policy,family,seed,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
EQ,global_window_selected,ml_selected,20260928,509,1.8604776159424001,0.11984282907662082,-11.502145600113295,1.2545065887807854,0.6059710271616147,0.06070726915520629,0.18945443521104374,0.05304518664047151,0.21490244741413722,0.02907662082514735,0.16653262836115687,164.0,403.0,157.0,246.0,7.0,104.0,254.0,92.0,162.0,12.0,39.0,77.0,28.0,49.0,11.0,0.019842829076620813,0.03398821218074655
EQ,global_window_selected,state_hist,20260925,509,1.8681766119738972,0.10805500982318271,-11.823228678284252,1.284173965419321,0.584002646554576,0.06758349705304519,0.0059259635331503436,0.05520628683693517,0.22473010958288228,0.026915520628683697,0.1322871922933996,164.0,498.0,163.0,335.0,1.0,104.0,235.0,89.0,146.0,15.0,39.0,116.0,33.0,83.0,6.0,0.008055009823182704,0.030451866404715124
EQ,global_window_selected,threshold,20260925,509,2.0898191657215595,0.11394891944990176,-13.160776779211263,1.4267175498775186,0.6631016158440411,0.06286836935166994,0.14268299809348264,0.06935166994106091,0.24754875536086768,0.04223968565815324,0.22446158995814852,164.0,434.0,159.0,275.0,5.0,104.0,317.0,90.0,227.0,14.0,39.0,104.0,24.0,80.0,15.0,0.013948919449901759,0.05952848722986248
EQ,joint_selected,historical,20260925,509,1.9463705113170817,0.11984282907662082,-11.883187019911047,1.2973896061000512,0.6489809052170306,0.07269155206286837,0.21822714048534367,0.05147347740667977,0.223666070517431,0.03614931237721021,0.15069811195152222,164.0,444.0,155.0,289.0,9.0,104.0,216.0,89.0,127.0,15.0,39.0,113.0,28.0,85.0,11.0,0.019842829076620813,0.027701375245579557
EQ,joint_selected,linear,20260925,509,1.99370673637002,0.11984282907662082,-11.969273787252378,1.3098710376660647,0.6838356987039551,0.06326129666011789,0.17520883145867805,0.06699410609037329,0.22088048590299453,0.03536345776031434,0.19697551377085235,164.0,456.0,161.0,295.0,3.0,104.0,315.0,91.0,224.0,13.0,39.0,59.0,23.0,36.0,16.0,0.019842829076620813,0.05363457760314341
EQ,joint_selected,ml_selected,20260925,509,1.8775638930836915,0.11984282907662082,-11.802975171332493,1.2832898779046422,0.5942740151790498,0.0650294695481336,0.05341205843536636,0.059921414538310416,0.2322370850159126,0.027897838899803535,0.15530587173000462,164.0,435.0,158.0,277.0,6.0,104.0,249.0,88.0,161.0,16.0,39.0,81.0,29.0,52.0,10.0,0.019842829076620813,0.026915520628683694
EQ,joint_selected,ml_selected,20260926,509,1.8721896146754395,0.11984282907662082,-11.767220549735512,1.279534534120089,0.5926550805553508,0.0630648330058939,0.03878685153260776,0.05776031434184675,0.22471454871027394,0.02770137524557957,0.15530587173000462,164.0,435.0,159.0,276.0,5.0,104.0,248.0,89.0,159.0,15.0,39.0,80.0,29.0,51.0,10.0,0.019842829076620813,0.026915520628683694
EQ,joint_selected,ml_selected,20260927,509,1.8834828646021935,0.1237721021611002,-11.789473297932389,1.2826666064504832,0.6008162581517102,0.06385068762278978,0.05341205843536636,0.059921414538310416,0.2322370850159126,0.0275049115913556,0.15530587173000462,164.0,429.0,158.0,271.0,6.0,104.0,249.0,88.0,161.0,16.0,39.0,79.0,29.0,50.0,10.0,0.023772102161100192,0.027701375245579557
EQ,joint_selected,ml_selected,20260928,509,1.878463672391304,0.1237721021611002,-11.72564671377259,1.2764202946550125,0.6020433777362916,0.06502946954813361,0.1035800147550823,0.05756385068762279,0.22471454871027394,0.0275049115913556,0.15530587173000462,164.0,425.0,157.0,268.0,7.0,104.0,247.0,89.0,158.0,15.0,39.0,79.0,29.0,50.0,10.0,0.023772102161100192,0.027701375245579557
EQ,joint_selected,state_hist,20260925,509,1.8714798254310292,0.1100196463654224,-11.771066084588984,1.2798096533324603,0.5916701720985688,0.06836935166994107,0.010909162836426175,0.05402750491159136,0.22503838985940633,0.025736738703339885,0.11326268231949241,164.0,492.0,162.0,330.0,2.0,104.0,219.0,88.0,131.0,16.0,39.0,120.0,34.0,86.0,5.0,0.010019646365422394,0.024557956777996066
EQ,joint_selected,threshold,20260925,509,2.0212407161938986,0.11591355599214145,-12.950009456694424,1.4008906458982369,0.6203500702956616,0.06227897838899804,0.15921871509312113,0.06326129666011789,0.2166989673132736,0.03595284872298625,0.1656397160997939,164.0,401.0,156.0,245.0,8.0,104.0,306.0,92.0,214.0,12.0,39.0,112.0,28.0,84.0,11.0,0.015913555992141448,0.02730844793713163
EQ,legacy,historical,20260925,509,2.489842047601487,0.0962671905697446,-18.392948989989343,1.9376153370355385,0.5522267105659489,0.06777996070726916,0.0,0.07956777996070727,0.0,0.06129666011787818,0.25207331247043646,164.0,509.0,164.0,345.0,0.0,104.0,509.0,104.0,405.0,0.0,39.0,181.0,22.0,159.0,17.0,0.0037328094302554043,0.10510805500982318
EQ,legacy,linear,20260925,509,2.187985099820513,0.10609037328094302,-14.488430510865932,1.556022979136334,0.631962120684179,0.06247544204322201,0.15821571065689802,0.07308447937131632,0.20203457507321687,0.043222003929273084,0.21478647559301736,164.0,462.0,162.0,300.0,2.0,104.0,386.0,95.0,291.0,9.0,39.0,109.0,24.0,85.0,15.0,0.006090373280943015,0.06738703339882121
EQ,legacy,ml_selected,20260925,509,1.864736537101706,0.10412573673870335,-12.246235167843043,1.3219005419923933,0.5428359951093126,0.06031434184675835,0.035149842045600926,0.055992141453831044,0.20603560889590097,0.027111984282907665,0.14145350897612083,164.0,421.0,159.0,262.0,5.0,104.0,269.0,92.0,177.0,12.0,39.0,97.0,31.0,66.0,8.0,0.0041257367387033395,0.03359528487229862
EQ,legacy,ml_selected,20260926,509,1.8640657340007005,0.10019646365422397,-12.2412036818847,1.3213806279460418,0.5426851060546587,0.060510805500982326,0.035149842045600926,0.056581532416502954,0.20603560889590097,0.026522593320235755,0.13445788805233297,164.0,422.0,159.0,263.0,5.0,104.0,272.0,92.0,180.0,12.0,39.0,94.0,31.0,63.0,8.0,0.00019646365422396062,0.03791748526522593
EQ,legacy,ml_selected,20260927,509,1.855987204136116,0.10412573673870335,-12.235215826247263,1.3200338679522141,0.535953336183902,0.061296660117878196,0.035149842045600926,0.055795677799607084,0.20603560889590097,0.026915520628683694,0.13445788805233297,164.0,426.0,159.0,267.0,5.0,104.0,268.0,92.0,176.0,12.0,39.0,96.0,31.0,65.0,8.0,0.0041257367387033395,0.033595284872298625
EQ,legacy,ml_selected,20260928,509,1.8638839781411758,0.10019646365422397,-12.176668320047527,1.3155542697947438,0.5483297083464318,0.060707269155206287,0.035149842045600926,0.056777996070726915,0.20603560889590097,0.026915520628683697,0.13445788805233297,164.0,423.0,159.0,264.0,5.0,104.0,273.0,92.0,181.0,12.0,39.0,96.0,31.0,65.0,8.0,0.00019646365422396062,0.04145383104125737
EQ,legacy,state_hist,20260925,509,1.8893238127781402,0.09037328094302555,-12.99923982912862,1.3921296890757386,0.49719412370240174,0.06719056974459725,0.016063343137953063,0.058742632612966604,0.19393345427855258,0.026326129666011788,0.10559478214312608,164.0,486.0,162.0,324.0,2.0,104.0,293.0,93.0,200.0,11.0,39.0,123.0,34.0,89.0,5.0,0.009626719056974459,0.03634577603143418
EQ,legacy,threshold,20260925,509,2.075867714914205,0.11198428290766209,-13.525139865739508,1.4581150825843248,0.6177526323298795,0.06385068762278978,0.14268299809348264,0.06601178781925346,0.21590335632808788,0.039096267190569745,0.22141851524812345,164.0,439.0,159.0,280.0,5.0,104.0,330.0,93.0,237.0,11.0,39.0,108.0,26.0,82.0,13.0,0.011984282907662083,0.05363457760314342
CAP,fixed_model_selected_cal,historical,20260925,509,1.4657394275809548,0.1100196463654224,-10.00495068732317,1.0611679273817098,0.4045715001992449,0.0705304518664047,0.04248255996301964,0.05265225933202358,0.06529905752636059,0.020235756385068762,0.11215869719282015,143.0,462.0,139.0,323.0,4.0,71.0,229.0,60.0,169.0,11.0,12.0,5.0,1.0,4.0,11.0,0.010019646365422394,0.0555992141453831
CAP,fixed_model_selected_cal,linear,20260925,509,1.4878757959724904,0.09823182711198428,-11.05344461850821,1.1577460180275174,0.3301297779449731,0.05992141453831041,0.03287640940536842,0.055402750491159135,0.0515280506373756,0.02337917485265226,0.0540179586679137,143.0,418.0,140.0,278.0,3.0,71.0,243.0,60.0,183.0,11.0,12.0,61.0,5.0,56.0,7.0,0.0017681728880157288,0.04774066797642436
CAP,fixed_model_selected_cal,ml_selected,20260925,509,1.3249993686857553,0.09233791748526522,-9.583248682496436,1.0091407410577837,0.31585862762797184,0.058546168958742636,0.044291683812117066,0.05225933202357564,0.06278557820734189,0.013359528487229863,0.024811962040261627,143.0,371.0,136.0,235.0,7.0,71.0,217.0,59.0,158.0,12.0,12.0,30.0,7.0,23.0,5.0,0.007662082514734783,0.0343811394891945
CAP,fixed_model_selected_cal,ml_selected,20260926,509,1.3290011988736243,0.0962671905697446,-9.546461081225594,1.006230039962195,0.3227711589114298,0.0581532416502947,0.044291683812117066,0.05206286836935167,0.06278557820734189,0.013359528487229863,0.024811962040261627,143.0,369.0,136.0,233.0,7.0,71.0,216.0,59.0,157.0,12.0,12.0,30.0,7.0,23.0,5.0,0.0037328094302554043,0.0343811394891945
CAP,fixed_model_selected_cal,ml_selected,20260927,509,1.3295942743248201,0.09430255402750491,-9.559689709059775,1.0074799240123908,0.32211435031242924,0.05795677799607073,0.044291683812117066,0.05225933202357564,0.06278557820734189,0.013359528487229863,0.024811962040261627,143.0,368.0,136.0,232.0,7.0,71.0,217.0,59.0,158.0,12.0,12.0,30.0,7.0,23.0,5.0,0.005697445972495094,0.036345776031434185
CAP,fixed_model_selected_cal,ml_selected,20260928,509,1.3335647559679153,0.09823182711198428,-9.541227669049416,1.006215388575768,0.32734936739214743,0.05834970530451866,0.044291683812117066,0.05225933202357564,0.06278557820734189,0.013359528487229863,0.024811962040261627,143.0,370.0,136.0,234.0,7.0,71.0,217.0,59.0,158.0,12.0,12.0,30.0,7.0,23.0,5.0,0.0017681728880157288,0.03241650294695481
CAP,fixed_model_selected_cal,state_hist,20260925,509,1.4371794758185772,0.10609037328094302,-9.906441883338061,1.0494461398468122,0.38773333597176507,0.07229862475442043,0.0895226838815362,0.043811394891945,0.039215325303670785,0.021021611001964636,0.09280608193540475,143.0,371.0,129.0,242.0,14.0,71.0,224.0,64.0,160.0,7.0,12.0,19.0,2.0,17.0,10.0,0.006090373280943015,0.03752455795677798
CAP,fixed_model_selected_cal,threshold,20260925,509,1.494873546023182,0.0962671905697446,-10.911820243765622,1.145699599305753,0.34917394671742874,0.06522593320235757,0.06994555944749348,0.05029469548133596,0.05462752643121934,0.02239685658153242,0.05098514715851721,143.0,385.0,134.0,251.0,9.0,71.0,207.0,59.0,148.0,12.0,12.0,66.0,6.0,60.0,6.0,0.0037328094302554043,0.022200392927308448
CAP,global_window_selected,historical,20260925,509,1.8040044655442096,0.0962671905697446,-13.313751560465832,1.392786509760875,0.4112179557833348,0.0719056974459725,0.0,0.08860510805500983,0.034611222899846895,0.024754420432220044,0.11729322720000396,143.0,509.0,143.0,366.0,0.0,71.0,462.0,65.0,397.0,6.0,12.0,18.0,0.0,18.0,12.0,0.0037328094302554043,0.10903732809430255
CAP,global_window_selected,linear,20260925,509,1.4833319579887496,0.09823182711198428,-11.040837602014665,1.1561570027447237,0.3271749552440258,0.0587426326129666,0.025957045285716955,0.05245579567779961,0.049765759143720424,0.020432220039292733,0.024811962040261627,143.0,412.0,140.0,272.0,3.0,71.0,248.0,62.0,186.0,9.0,12.0,66.0,7.0,59.0,5.0,0.0017681728880157288,0.04420432220039293
CAP,global_window_selected,ml_selected,20260925,509,1.367845767565038,0.10609037328094302,-9.467185077116879,1.002979656461552,0.36486611110348577,0.0662082514734774,0.08109309378649969,0.05225933202357564,0.059089415747780094,0.016110019646365423,0.06434842935257687,143.0,370.0,132.0,238.0,11.0,71.0,217.0,59.0,158.0,12.0,12.0,24.0,5.0,19.0,7.0,0.006090373280943015,0.021807465618860506
CAP,global_window_selected,ml_selected,20260926,509,1.373090972213535,0.10609037328094302,-9.389597353220692,0.9965212817757446,0.3765696904377902,0.06581532416502947,0.08128919354071006,0.05225933202357564,0.059089415747780094,0.016306483300589394,0.06434842935257687,143.0,368.0,132.0,236.0,11.0,71.0,217.0,59.0,158.0,12.0,12.0,25.0,5.0,20.0,7.0,0.006090373280943015,0.021807465618860506
CAP,global_window_selected,ml_selected,20260927,509,1.3692344774244198,0.10609037328094302,-9.47214075351453,1.0035645383232787,0.36566993910114115,0.06483300589390963,0.06692360247632904,0.05225933202357564,0.059089415747780094,0.016306483300589394,0.06434842935257687,143.0,373.0,133.0,240.0,10.0,71.0,217.0,59.0,158.0,12.0,12.0,25.0,5.0,20.0,7.0,0.006090373280943015,0.021807465618860506
CAP,global_window_selected,ml_selected,20260928,509,1.3720728565014946,0.10609037328094302,-9.42441347187456,0.9995529208833889,0.3725199356181056,0.06424361493123773,0.06692360247632904,0.05225933202357564,0.059089415747780094,0.016306483300589394,0.06434842935257687,143.0,370.0,133.0,237.0,10.0,71.0,217.0,59.0,158.0,12.0,12.0,25.0,5.0,20.0,7.0,0.006090373280943015,0.021807465618860506
CAP,global_window_selected,state_hist,20260925,509,1.4427501952964767,0.10412573673870335,-9.846763529219173,1.0446321599239023,0.3981180353725743,0.07387033398821219,0.09789886679966153,0.044990176817288806,0.046450156303550656,0.021807465618860513,0.11004258938554999,143.0,369.0,128.0,241.0,15.0,71.0,200.0,61.0,139.0,10.0,12.0,13.0,1.0,12.0,11.0,0.0041257367387033395,0.0355599214145383
CAP,global_window_selected,threshold,20260925,509,1.4814846369768493,0.10216110019646366,-10.591825593886592,1.1155611899120073,0.36592344706484203,0.0636542239685658,0.08169085627969715,0.04793713163064833,0.053948164765620144,0.024361493123772105,0.056119677165701015,143.0,367.0,133.0,234.0,10.0,71.0,205.0,60.0,145.0,11.0,12.0,66.0,5.0,61.0,7.0,0.00216110019646365,0.025736738703339878
CAP,joint_selected,historical,20260925,509,1.4657394275809548,0.1100196463654224,-10.00495068732317,1.0611679273817098,0.4045715001992449,0.0705304518664047,0.04248255996301964,0.05265225933202358,0.06529905752636059,0.020235756385068762,0.11215869719282015,143.0,462.0,139.0,323.0,4.0,71.0,229.0,60.0,169.0,11.0,12.0,5.0,1.0,4.0,11.0,0.010019646365422394,0.0555992141453831
CAP,joint_selected,linear,20260925,509,1.4796310743752616,0.10019646365422397,-11.03412001760345,1.1551823317863659,0.3244487425888957,0.059332023575638514,0.025957045285716955,0.05166994106090373,0.049765759143720424,0.020432220039292733,0.024811962040261627,143.0,415.0,140.0,275.0,3.0,71.0,244.0,62.0,182.0,9.0,12.0,66.0,7.0,59.0,5.0,0.00019646365422396062,0.04223968565815324
CAP,joint_selected,ml_selected,20260925,509,1.362327886944004,0.10609037328094302,-9.510594258283248,1.0063346947044218,0.35599319223958215,0.06444007858546169,0.06692360247632904,0.05245579567779961,0.059089415747780094,0.014341846758349704,0.05098514715851721,143.0,371.0,133.0,238.0,10.0,71.0,218.0,59.0,159.0,12.0,12.0,25.0,6.0,19.0,6.0,0.006090373280943015,0.021807465618860506
CAP,joint_selected,ml_selected,20260926,509,1.36933081502896,0.10412573673870335,-9.437343326734732,1.0004424036735509,0.36888841135540906,0.06404715127701377,0.06711970223053938,0.05245579567779961,0.059089415747780094,0.016306483300589394,0.06434842935257687,143.0,369.0,133.0,236.0,10.0,71.0,218.0,59.0,159.0,12.0,12.0,25.0,5.0,20.0,7.0,0.0041257367387033395,0.019842829076620824
CAP,joint_selected,ml_selected,20260927,509,1.363972626722974,0.10609037328094302,-9.514045454203483,1.00680977631514,0.35716285040783374,0.06483300589390963,0.06692360247632904,0.05225933202357564,0.059089415747780094,0.014538310412573675,0.05098514715851721,143.0,373.0,133.0,240.0,10.0,71.0,217.0,59.0,158.0,12.0,12.0,26.0,6.0,20.0,6.0,0.006090373280943015,0.021807465618860506
CAP,joint_selected,ml_selected,20260928,509,1.366106201759021,0.10609037328094302,-9.471852877265352,1.003225801894313,0.362880399864708,0.06424361493123773,0.06692360247632904,0.05245579567779961,0.059089415747780094,0.016306483300589394,0.06434842935257687,143.0,370.0,133.0,237.0,10.0,71.0,218.0,59.0,159.0,12.0,12.0,25.0,5.0,20.0,7.0,0.006090373280943015,0.021807465618860506
CAP,joint_selected,state_hist,20260925,509,1.4371794758185772,0.10609037328094302,-9.906441883338061,1.0494461398468122,0.38773333597176507,0.07229862475442043,0.0895226838815362,0.043811394891945,0.039215325303670785,0.021021611001964636,0.09280608193540475,143.0,371.0,129.0,242.0,14.0,71.0,224.0,64.0,160.0,7.0,12.0,19.0,2.0,17.0,10.0,0.006090373280943015,0.03752455795677798
CAP,joint_selected,threshold,20260925,509,1.4814846369768493,0.10216110019646366,-10.591825593886592,1.1155611899120073,0.36592344706484203,0.0636542239685658,0.08169085627969715,0.04793713163064833,0.053948164765620144,0.024361493123772105,0.056119677165701015,143.0,367.0,133.0,234.0,10.0,71.0,205.0,60.0,145.0,11.0,12.0,66.0,5.0,61.0,7.0,0.00216110019646365,0.025736738703339878
CAP,legacy,historical,20260925,509,1.7918838755002187,0.09233791748526522,-13.265945193117146,1.387271877695094,0.40461199780512447,0.0719056974459725,0.0,0.08860510805500983,0.06648255069582652,0.024754420432220044,0.11729322720000396,143.0,509.0,143.0,366.0,0.0,71.0,402.0,59.0,343.0,12.0,12.0,18.0,0.0,18.0,12.0,0.007662082514734783,0.10510805500982318
CAP,legacy,linear,20260925,509,1.487908213828764,0.09823182711198428,-11.244566997994676,1.1749502739669264,0.31295793986183773,0.05913555992141453,0.00480493372153377,0.055992141453831044,0.06503332781941275,0.02337917485265226,0.0540179586679137,143.0,434.0,142.0,292.0,1.0,71.0,246.0,60.0,186.0,11.0,12.0,61.0,5.0,56.0,7.0,0.0017681728880157288,0.0481335952848723
CAP,legacy,ml_selected,20260925,509,1.3359247586722083,0.09430255402750491,-9.758613598797917,1.0260161225235624,0.309908636148646,0.06286836935166994,0.0445332767811314,0.05009823182711198,0.05127198469526488,0.017288801571709235,0.06233878055665446,143.0,383.0,135.0,248.0,8.0,71.0,226.0,61.0,165.0,10.0,12.0,30.0,5.0,25.0,7.0,0.005697445972495094,0.036345776031434185
CAP,legacy,ml_selected,20260926,509,1.3337419344685364,0.09233791748526522,-9.798436484784007,1.0293818998419433,0.3043600346265932,0.06306483300589391,0.0445332767811314,0.05009823182711198,0.05127198469526488,0.017092337917485267,0.06233878055665446,143.0,384.0,135.0,249.0,8.0,71.0,226.0,61.0,165.0,10.0,12.0,29.0,5.0,24.0,7.0,0.007662082514734783,0.0343811394891945
CAP,legacy,ml_selected,20260927,509,1.3368596732123152,0.09430255402750491,-9.744484847749867,1.0248380263832486,0.31202164682906697,0.06267190569744598,0.0445332767811314,0.049901768172888016,0.05127198469526488,0.017288801571709235,0.06233878055665446,143.0,382.0,135.0,247.0,8.0,71.0,225.0,61.0,164.0,10.0,12.0,30.0,5.0,25.0,7.0,0.005697445972495094,0.036345776031434185
CAP,legacy,ml_selected,20260928,509,1.3361821733888148,0.09430255402750491,-9.74328305022789,1.0246621146239205,0.3115200587648946,0.06306483300589391,0.0445332767811314,0.049901768172888016,0.05127198469526488,0.017092337917485267,0.06233878055665446,143.0,384.0,135.0,249.0,8.0,71.0,225.0,61.0,164.0,10.0,12.0,29.0,5.0,24.0,7.0,0.005697445972495094,0.036345776031434185
CAP,legacy,state_hist,20260925,509,1.4408472916027224,0.09430255402750491,-10.467859107350893,1.1003404715863816,0.34050682001634075,0.07367387033398821,0.05330547523713087,0.051669941060903744,0.05706166480133109,0.01944990176817289,0.08767155192822096,143.0,408.0,132.0,276.0,11.0,71.0,234.0,61.0,173.0,10.0,12.0,21.0,3.0,18.0,9.0,0.005697445972495094,0.037917485265225925
CAP,legacy,threshold,20260925,509,1.4885182562372539,0.0962671905697446,-11.226154966839834,1.1733541954038393,0.3151640608334144,0.06345776031434185,0.03562568199298354,0.05265225933202358,0.06213955913515604,0.01944990176817289,0.021779150530865137,143.0,396.0,136.0,260.0,7.0,71.0,229.0,60.0,169.0,11.0,12.0,71.0,8.0,63.0,4.0,0.0037328094302554043,0.030058939096267192
PCA,fixed_model_selected_cal,historical,20260925,509,1.9378534391683708,0.12180746561886051,-11.82780471890248,1.2915731819824467,0.646280257185924,0.07249508840864441,0.21665671898454125,0.05147347740667977,0.22006570785256283,0.036345776031434185,0.14685745871498898,161.0,440.0,152.0,288.0,9.0,104.0,216.0,89.0,127.0,15.0,37.0,112.0,26.0,86.0,11.0,0.021807465618860503,0.029666011787819257
PCA,fixed_model_selected_cal,linear,20260925,509,2.159566161660216,0.10805500982318271,-13.635114655275864,1.4764023485052362,0.6831638131549799,0.06326129666011789,0.15748174078976226,0.07367387033398821,0.22331869818411937,0.04047151277013752,0.2243183555337757,161.0,463.0,159.0,304.0,2.0,104.0,369.0,93.0,276.0,11.0,37.0,83.0,21.0,62.0,16.0,0.008055009823182704,0.06581532416502947
PCA,fixed_model_selected_cal,ml_selected,20260925,509,1.8548238596154638,0.10609037328094302,-11.873918150880675,1.287420432905194,0.5674034267102702,0.0618860510805501,0.04890109592399711,0.056581532416502954,0.21600798543983202,0.028290766208251474,0.14996124659090385,161.0,416.0,155.0,261.0,6.0,104.0,262.0,91.0,171.0,13.0,37.0,91.0,28.0,63.0,9.0,0.006090373280943015,0.03988212180746563
PCA,fixed_model_selected_cal,ml_selected,20260926,509,1.8404756889582068,0.10609037328094302,-11.822322695386351,1.281342024844979,0.5591336641132281,0.05992141453831041,0.03462615882851688,0.05618860510805501,0.21600798543983202,0.022986247544204322,0.11645728374814547,161.0,416.0,156.0,260.0,5.0,104.0,260.0,91.0,169.0,13.0,37.0,94.0,31.0,63.0,6.0,0.006090373280943015,0.036345776031434185
