definition,policy,family,seed,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
EQ,fixed_model_selected_cal,historical,20260925,509,1.9463705113170817,0.11984282907662082,-11.883187019911047,1.2973896061000512,0.6489809052170306,0.07269155206286837,0.21822714048534367,0.05147347740667977,0.223666070517431,0.03614931237721021,0.15069811195152222,164.0,444.0,155.0,289.0,9.0,104.0,216.0,89.0,127.0,15.0,39.0,113.0,28.0,85.0,11.0,0.019842829076620813,0.027701375245579557
EQ,fixed_model_selected_cal,linear,20260925,509,2.1732600965354796,0.10805500982318271,-13.731482169425888,1.4864251280782266,0.6868349684572531,0.06267190569744598,0.15821571065689802,0.07387033398821219,0.22651003601541506,0.0412573673870334,0.21102893836879633,164.0,463.0,162.0,301.0,2.0,104.0,370.0,93.0,277.0,11.0,39.0,89.0,23.0,66.0,16.0,0.008055009823182704,0.06542239685658152
EQ,fixed_model_selected_cal,ml_selected,20260925,509,1.8711397043975004,0.10412573673870335,-12.068355190135856,1.306531660728326,0.5646080436691747,0.06051080550098232,0.04977504894835953,0.05834970530451867,0.22390340174997592,0.02907662082514735,0.12775317374983927,164.0,412.0,158.0,254.0,6.0,104.0,261.0,90.0,171.0,14.0,39.0,97.0,30.0,67.0,9.0,0.0041257367387033395,0.030058939096267192
EQ,fixed_model_selected_cal,ml_selected,20260926,509,1.8772196365823872,0.10609037328094302,-12.03008864343808,1.3036956647440145,0.5735239718383726,0.060903732809430254,0.04977504894835953,0.05697445972495089,0.21925941602964752,0.02848722986247544,0.1456846446834852,164.0,414.0,158.0,256.0,6.0,104.0,264.0,91.0,173.0,13.0,39.0,94.0,30.0,64.0,9.0,0.006090373280943015,0.03595284872298624
EQ,fixed_model_selected_cal,ml_selected,20260927,509,1.8673163514369644,0.10412573673870335,-12.094790243440402,1.3085284802296813,0.5587878712072829,0.06168958742632613,0.04977504894835953,0.05618860510805501,0.21925941602964752,0.02868369351669941,0.1456846446834852,164.0,418.0,158.0,260.0,6.0,104.0,260.0,91.0,169.0,13.0,39.0,95.0,30.0,65.0,9.0,0.0041257367387033395,0.03398821218074656
EQ,fixed_model_selected_cal,ml_selected,20260928,509,1.8751286611383682,0.10216110019646366,-12.074315857094714,1.3074670164287097,0.5676616447096584,0.061296660117878196,0.04977504894835953,0.05795677799607073,0.21925941602964752,0.028683693516699412,0.1456846446834852,164.0,416.0,158.0,258.0,6.0,104.0,269.0,91.0,178.0,13.0,39.0,95.0,30.0,65.0,9.0,0.00216110019646365,0.03988212180746562
EQ,fixed_model_selected_cal,state_hist,20260925,509,1.8714798254310292,0.1100196463654224,-11.771066084588984,1.2798096533324603,0.5916701720985688,0.06836935166994107,0.010909162836426175,0.05402750491159136,0.22503838985940633,0.025736738703339885,0.11326268231949241,164.0,492.0,162.0,330.0,2.0,104.0,219.0,88.0,131.0,16.0,39.0,120.0,34.0,86.0,5.0,0.010019646365422394,0.024557956777996066
EQ,fixed_model_selected_cal,threshold,20260925,509,2.0212407161938986,0.11591355599214145,-12.950009456694424,1.4008906458982369,0.6203500702956616,0.06227897838899804,0.15921871509312113,0.06326129666011789,0.2166989673132736,0.03595284872298625,0.1656397160997939,164.0,401.0,156.0,245.0,8.0,104.0,306.0,92.0,214.0,12.0,39.0,112.0,28.0,84.0,11.0,0.015913555992141448,0.02730844793713163
EQ,global_window_selected,historical,20260925,509,2.510699869564535,0.10412573673870335,-16.873621571285476,1.8029616515484952,0.7077382180160395,0.06777996070726916,0.0,0.07956777996070727,0.0,0.05972495088408645,0.3392952894947159,164.0,509.0,164.0,345.0,0.0,104.0,509.0,104.0,405.0,0.0,39.0,103.0,15.0,88.0,24.0,0.0041257367387033395,0.12868369351669942
EQ,global_window_selected,linear,20260925,509,2.1160660187907196,0.11787819253438114,-13.058118796205104,1.42010301671388,0.6959630020768395,0.06110019646365422,0.15821571065689802,0.06719056974459724,0.20324655657614057,0.044007858546168954,0.22308648625839334,164.0,455.0,162.0,293.0,2.0,104.0,336.0,93.0,243.0,11.0,39.0,83.0,21.0,62.0,18.0,0.017878192534381138,0.06345776031434185
EQ,global_window_selected,ml_selected,20260925,509,1.8611867478880337,0.11591355599214145,-11.544362994731419,1.2583770674909798,0.6028096803970537,0.06090373280943026,0.18945443521104374,0.055992141453831044,0.2152107276906612,0.029273084479371318,0.16653262836115687,164.0,404.0,157.0,247.0,7.0,104.0,259.0,91.0,168.0,13.0,39.0,78.0,28.0,50.0,11.0,0.015913555992141448,0.03398821218074655
EQ,global_window_selected,ml_selected,20260926,509,1.8561394129957967,0.11394891944990176,-11.52820132852823,1.2564177840434692,0.5997216289523277,0.06345776031434186,0.2105292717306938,0.05540275049115914,0.2152107276906612,0.02888015717092338,0.16653262836115687,164.0,407.0,156.0,251.0,8.0,104.0,256.0,91.0,165.0,13.0,39.0,76.0,28.0,48.0,11.0,0.013948919449901759,0.03202357563850687
EQ,global_window_selected,ml_selected,20260927,509,1.8703977596323478,0.12180746561886051,-11.643161226342576,1.2681900095104153,0.6022077501219324,0.06110019646365423,0.18945443521104374,0.054616895874263265,0.21490244741413722,0.029273084479371318,0.16653262836115687,164.0,405.0,157.0,248.0,7.0,104.0,262.0,92.0,170.0,12.0,39.0,78.0,28.0,50.0,11.0,0.021807465618860503,0.03202357563850688
