method,scope,algorithm,period,n,mse,baseline_mse,skill
sequential_ols,mean_market,ridge,all,912,96.63254176999126,94.4800490923687,-0.02278251015215038
sequential_ols,mean_market,ridge,2026-01,346,79.01037220827645,73.59256728474031,-0.073618914564753
sequential_ols,mean_market,ridge,2026-02,324,105.73424847887752,104.47953823447457,-0.012009148064830777
sequential_ols,mean_market,ridge,2026-03,242,109.6421190207109,110.95622356921626,0.01184345056305569
sequential_ols,mean_market,lightgbm,all,912,98.26644029660886,94.4800490923687,-0.04007609268427004
sequential_ols,mean_market,lightgbm,2026-01,346,74.44533175365814,73.59256728474031,-0.011587643975217832
sequential_ols,mean_market,lightgbm,2026-02,324,105.87136847495567,104.47953823447457,-0.013321558115595211
sequential_ols,mean_market,lightgbm,2026-03,242,122.14291478452861,110.95622356921626,-0.10082076386038774
sequential_ols,all_references,ridge,all,912,48.892868063349034,94.4800490923687,0.4825058990438418
sequential_ols,all_references,ridge,2026-01,346,48.93332006135601,73.59256728474031,0.3350779587288225
sequential_ols,all_references,ridge,2026-02,324,44.613586783099564,104.47953823447457,0.5729921137000331
sequential_ols,all_references,ridge,2026-03,242,54.56431741661522,110.95622356921626,0.5082356296798698
sequential_ols,all_references,lightgbm,all,912,82.89441263836218,94.4800490923687,0.12262521627904521
sequential_ols,all_references,lightgbm,2026-01,346,64.59648361039932,73.59256728474031,0.12224174269575139
sequential_ols,all_references,lightgbm,2026-02,324,78.6294000439188,104.47953823447457,0.24741818950752337
sequential_ols,all_references,lightgbm,2026-03,242,114.76609662296883,110.95622356921626,-0.034336722458618185
pca_1,mean_market,ridge,all,912,95.36597920242188,93.38642123913473,-0.021197492494311243
pca_1,mean_market,ridge,2026-01,346,78.37080930614744,73.31388275863422,-0.06897638424310104
pca_1,mean_market,ridge,2026-02,324,104.1253548134108,102.64799287708553,-0.014392506808139194
pca_1,mean_market,ridge,2026-03,242,107.93742997163902,109.68538447697408,0.015936074926208632
pca_1,mean_market,lightgbm,all,912,96.84559687112392,93.38642123913473,-0.03704152687392592
pca_1,mean_market,lightgbm,2026-01,346,73.98885924615743,73.31388275863422,-0.009206666761128801
pca_1,mean_market,lightgbm,2026-02,324,103.8726459636285,102.64799287708553,-0.011930609184043428
pca_1,mean_market,lightgbm,2026-03,242,120.11694940115252,109.68538447697408,-0.0951044204651379
pca_1,all_references,ridge,all,912,49.078452480749164,93.38642123913473,0.4744583652576866
pca_1,all_references,ridge,2026-01,346,49.181046917549274,73.31388275863422,0.3291714329267714
pca_1,all_references,ridge,2026-02,324,44.87562187599095,102.64799287708553,0.5628202693673059
pca_1,all_references,ridge,2026-03,242,54.558698103926126,109.68538447697408,0.5025891702519448
pca_1,all_references,lightgbm,all,912,81.70697935632113,93.38642123913473,0.12506574004914528
pca_1,all_references,lightgbm,2026-01,346,64.54271672211762,73.31388275863422,0.11963854193063617
pca_1,all_references,lightgbm,2026-02,324,76.57819073078299,102.64799287708553,0.2539728387823371
pca_1,all_references,lightgbm,2026-03,242,113.11426194354749,109.68538447697408,-0.03126102427341371
pca_2,mean_market,ridge,all,912,50.25323235928265,49.00498460588582,-0.02547185278060282
pca_2,mean_market,ridge,2026-01,346,50.299902413960346,46.72253727014502,-0.07656615742273076
pca_2,mean_market,ridge,2026-02,324,46.335014480894266,44.80566473309681,-0.034132955216882754
pca_2,mean_market,ridge,2026-03,242,55.43238423399071,57.89054831229056,0.04246226974806466
pca_2,mean_market,lightgbm,all,912,49.592877692337986,49.00498460588582,-0.011996597717154556
pca_2,mean_market,lightgbm,2026-01,346,44.964800704223045,46.72253727014502,0.03762074297803897
pca_2,mean_market,lightgbm,2026-02,324,43.83693451094504,44.80566473309681,0.02162070862964327
pca_2,mean_market,lightgbm,2026-03,242,63.91618442233421,57.89054831229056,-0.10408669956861272
pca_2,all_references,ridge,all,912,53.77421723063001,49.00498460588582,-0.09732137787818784
pca_2,all_references,ridge,2026-01,346,55.3619077228351,46.72253727014502,-0.1849079899650592
pca_2,all_references,ridge,2026-02,324,50.77123451162641,44.80566473309681,-0.13314320441546723
pca_2,all_references,ridge,2026-03,242,55.52473578705232,57.89054831229056,0.040866991144666076
pca_2,all_references,lightgbm,all,912,49.71775397653568,49.00498460588582,-0.014544834089474712
pca_2,all_references,lightgbm,2026-01,346,45.31173096569491,46.72253727014502,0.03019541289662775
pca_2,all_references,lightgbm,2026-02,324,44.26485323713682,44.80566473309681,0.012070158967209976
pca_2,all_references,lightgbm,2026-03,242,63.31785232908172,57.89054831229056,-0.0937511247520677
ae_selected,mean_market,ridge,all,912,1785.3362260899019,537.5336673419599,-2.3213477304931933
ae_selected,mean_market,ridge,2026-01,346,1034.7122561716174,665.7880291403897,-0.5541166420603147
ae_selected,mean_market,ridge,2026-02,324,1609.603385903694,629.954367228179,-1.5551110836583364
ae_selected,mean_market,ridge,2026-03,242,3093.82107655295,230.4249237659615,-12.426590431229954
ae_selected,mean_market,lightgbm,all,912,75.42644046595677,537.5336673419599,0.859680527846876
ae_selected,mean_market,lightgbm,2026-01,346,79.31179857933282,665.7880291403897,0.8808753009847088
ae_selected,mean_market,lightgbm,2026-02,324,84.2342296277443,629.954367228179,0.8662851882456537
ae_selected,mean_market,lightgbm,2026-03,242,58.07909502939781,230.4249237659615,0.7479478604997274
ae_selected,all_references,ridge,all,912,1849.6770552197022,537.5336673419599,-2.4410441012302266
ae_selected,all_references,ridge,2026-01,346,1012.1872612584798,665.7880291403897,-0.5202845604859134
ae_selected,all_references,ridge,2026-02,324,1672.5889981051112,629.954367228179,-1.6550954880502862
ae_selected,all_references,ridge,2026-03,242,3284.17291974743,230.4249237659615,-13.252680942983
ae_selected,all_references,lightgbm,all,912,74.84510045323897,537.5336673419599,0.8607620229197195
ae_selected,all_references,lightgbm,2026-01,346,76.12320305077787,665.7880291403897,0.8856645062407298
ae_selected,all_references,lightgbm,2026-02,324,86.58243590697099,629.954367228179,0.8625576066915185
ae_selected,all_references,lightgbm,2026-03,242,57.30328150382726,230.4249237659615,0.7513147424884072
joint_ols,mean_market,ridge,all,912,96.69493620161187,94.66219222021547,-0.021473662649472036
joint_ols,mean_market,ridge,2026-01,346,79.10898948629809,73.963345043857,-0.06957019641810325
joint_ols,mean_market,ridge,2026-02,324,105.81575630875899,104.41415727222206,-0.013423457825577856
joint_ols,mean_market,ridge,2026-03,242,109.62713392385525,111.20006183248775,0.014145027284265033
joint_ols,mean_market,lightgbm,all,912,98.26669596950202,94.66219222021547,-0.03807754357622817
joint_ols,mean_market,lightgbm,2026-01,346,74.75477234512529,73.963345043857,-0.010700263769830798
joint_ols,mean_market,lightgbm,2026-02,324,105.79319524498787,104.41415727222206,-0.013207384982962367
joint_ols,mean_market,lightgbm,2026-03,242,121.80611666692744,111.20006183248775,-0.09537813792241145
joint_ols,all_references,ridge,all,912,48.962637465056766,94.66219222021547,0.4827645935860695
joint_ols,all_references,ridge,2026-01,346,49.0091427964594,73.963345043857,0.33738606917522274
joint_ols,all_references,ridge,2026-02,324,44.73980497294515,104.41415727222206,0.5715159118097144
joint_ols,all_references,ridge,2026-03,242,54.549855988936294,111.20006183248775,0.5094440138791431
joint_ols,all_references,lightgbm,all,912,83.02260302874022,94.66219222021547,0.12295921865402959
joint_ols,all_references,lightgbm,2026-01,346,65.1190164980613,73.963345043857,0.1195771843546477
joint_ols,all_references,lightgbm,2026-02,324,78.35943224122111,104.41415727222206,0.249532493597326
joint_ols,all_references,lightgbm,2026-03,242,114.86354631291833,111.20006183248775,-0.032944986001440135
