task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,pca_1,with_positioning,linear_qr,0.1,add_residual,3,577,-0.024927847983716313,-0.2651995495099059,-0.15750732698422418,0.11198082590178794
observed_change,pca_1,with_positioning,linear_qr,0.1,add_residual,7,577,-0.024927847983716313,-0.2651995495099059,-0.13476451498453648,0.08199380571744681
observed_change,pca_1,with_positioning,linear_qr,0.1,add_positioning,3,577,-0.07844256684760129,-0.8298015659967385,-0.12310154904608321,-0.03505655449528091
observed_change,pca_1,with_positioning,linear_qr,0.1,add_positioning,7,577,-0.07844256684760129,-0.8298015659967385,-0.11319668559636165,-0.04600595158046897
observed_change,pca_1,with_positioning,linear_qr,0.5,add_residual,3,577,0.012168121214428899,0.06974197825724429,-0.034619500173428235,0.0555526889086557
observed_change,pca_1,with_positioning,linear_qr,0.5,add_residual,7,577,0.012168121214428899,0.06974197825724429,-0.021755446855224306,0.04753305359018088
observed_change,pca_1,with_positioning,linear_qr,0.5,add_positioning,3,577,0.0050178180597086584,0.028748004098179153,-0.00043002537931101305,0.012887247231633663
observed_change,pca_1,with_positioning,linear_qr,0.5,add_positioning,7,577,0.0050178180597086584,0.028748004098179153,-0.00025670236019933334,0.01234348840712518
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.2971317268880474,3.322449059129715,0.009604729786567777,0.5973954755202984
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.2971317268880474,3.322449059129715,0.042481516112364316,0.5726222791975104
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.1445520268349606,-1.540272030480247,-0.3462091668370323,0.06061625425772779
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.1445520268349606,-1.540272030480247,-0.3189568008712834,0.04145669099195004
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.05235114488571998,-0.2902467390850709,-0.23496870169351225,0.13478993270994327
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.05235114488571998,-0.2902467390850709,-0.2003175501785251,0.10675022641698607
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.30312385894038796,-1.6575426085555982,-0.7113432974307395,0.1150773114220796
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.30312385894038796,-1.6575426085555982,-0.597975612506617,-0.013203138864659632
observed_change,pca_2,without_positioning,linear_qr,0.1,add_residual,3,577,0.02094085409141764,0.22107972575380416,-0.05766280200556297,0.10526359528796017
observed_change,pca_2,without_positioning,linear_qr,0.1,add_residual,7,577,0.02094085409141764,0.22107972575380416,-0.04433281194670015,0.09045854502210256
observed_change,pca_2,without_positioning,linear_qr,0.5,add_residual,3,577,0.037529593562956765,0.21510207304372178,-0.021230701387862098,0.10377118543881383
observed_change,pca_2,without_positioning,linear_qr,0.5,add_residual,7,577,0.037529593562956765,0.21510207304372178,-0.022320492002991077,0.10199636829772783
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.12155807697212687,1.3146016296823442,-0.02673408475822128,0.27492897859412807
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.12155807697212687,1.3146016296823442,0.011839157989295449,0.22801217253011383
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.10344326354264777,-0.5648969634947966,-0.2413748756418603,0.03751268371443251
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.10344326354264777,-0.5648969634947966,-0.24763603435636003,0.04493388906599058
observed_change,pca_2,with_positioning,linear_qr,0.1,add_residual,3,577,0.00956408437124822,0.10174929133018674,-0.05841506453335729,0.08481183135021694
