task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,baseline,without_positioning,linear_qr,0.1,all,577,9.472082534939233,8.562900504351065,-0.1061768766466673,0.15944540727902945
observed_change,baseline,without_positioning,linear_qr,0.1,2026-01,220,6.625068216934749,7.042016486823745,0.059208647220458044,0.07272727272727272
observed_change,baseline,without_positioning,linear_qr,0.1,2026-02,204,7.502973061625309,7.354111916736108,-0.020241892777077553,0.08823529411764706
observed_change,baseline,without_positioning,linear_qr,0.1,2026-03,153,16.191307910867508,12.361510672517484,-0.30981627891682795,0.3790849673202614
observed_change,baseline,without_positioning,linear_qr,0.5,all,577,17.44734164199732,17.186990224743525,-0.015148168111422722,0.5441941074523396
observed_change,baseline,without_positioning,linear_qr,0.5,2026-01,220,15.073824059355275,14.77639160141037,-0.02012889655120631,0.5590909090909091
observed_change,baseline,without_positioning,linear_qr,0.5,2026-02,204,15.294199598127273,15.288156377859181,-0.0003952877062955995,0.46078431372549017
observed_change,baseline,without_positioning,linear_qr,0.5,2026-03,153,23.731098799714577,23.184988929957264,-0.0235544589392358,0.6339869281045751
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,all,577,9.246761469594386,8.562900504351065,-0.07986323850146704,0.1681109185441941
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-01,220,6.417611246969425,7.042016486823745,0.0886685285418799,0.1
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-02,204,7.917846923843099,7.354111916736108,-0.07665575578528694,0.10784313725490197
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-03,153,15.086706674239835,12.361510672517484,-0.2204581684163487,0.3464052287581699
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,all,577,18.311881675320887,17.186990224743525,-0.06545017108102469,0.5823223570190641
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-01,220,15.511175550698702,14.77639160141037,-0.049726886584286145,0.6
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-02,204,15.199516268891513,15.288156377859181,0.005797959333804337,0.46078431372549017
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,2026-03,153,26.48886135067037,23.184988929957264,-0.14250049593270164,0.7189542483660131
observed_change,baseline,with_positioning,linear_qr,0.1,all,577,9.399656986515806,8.562900504351065,-0.09771881405600369,0.16291161178509533
observed_change,baseline,with_positioning,linear_qr,0.1,2026-01,220,6.5795626468401665,7.042016486823745,0.06567065567779795,0.07727272727272727
observed_change,baseline,with_positioning,linear_qr,0.1,2026-02,204,7.469246048655896,7.354111916736108,-0.01565574922211499,0.08823529411764706
observed_change,baseline,with_positioning,linear_qr,0.1,2026-03,153,16.028575849601182,12.361510672517484,-0.2966518635328639,0.38562091503267976
observed_change,baseline,with_positioning,linear_qr,0.5,all,577,17.44734164199732,17.186990224743525,-0.015148168111422722,0.5441941074523396
observed_change,baseline,with_positioning,linear_qr,0.5,2026-01,220,15.073824059355275,14.77639160141037,-0.02012889655120631,0.5590909090909091
observed_change,baseline,with_positioning,linear_qr,0.5,2026-02,204,15.294199598127273,15.288156377859181,-0.0003952877062955995,0.46078431372549017
observed_change,baseline,with_positioning,linear_qr,0.5,2026-03,153,23.731098799714577,23.184988929957264,-0.0235544589392358,0.6339869281045751
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,all,577,8.943153727867188,8.562900504351065,-0.0444070584871219,0.16291161178509533
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-01,220,6.447078954887677,7.042016486823745,0.08448397317007861,0.09545454545454546
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-02,204,7.821296359147698,7.354111916736108,-0.06352696936096325,0.11274509803921569
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-03,153,14.028090677372214,12.361510672517484,-0.13482009189701416,0.32679738562091504
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,all,577,18.03677279915139,17.186990224743525,-0.0494433617111425,0.561525129982669
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-01,220,15.557665135486992,14.77639160141037,-0.05287309345551261,0.5818181818181818
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-02,204,15.335748699029512,15.288156377859181,-0.00311301899287586,0.44607843137254904
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-03,153,25.202868239877077,23.184988929957264,-0.08703386988951789,0.6862745098039216
observed_change,sequential_ols,without_positioning,linear_qr,0.1,all,577,9.451170149616065,8.562900504351065,-0.10373466850556579,0.16291161178509533
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-01,220,6.5182900325650825,7.042016486823745,0.07437165977083449,0.08636363636363636
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-02,204,7.468278716721416,7.354111916736108,-0.01552421302230833,0.07352941176470588
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-03,153,16.312238633679627,12.361510672517484,-0.31959912229380905,0.39215686274509803
observed_change,sequential_ols,without_positioning,linear_qr,0.5,all,577,17.45511788672696,17.186990224743525,-0.015600617587913757,0.5459272097053726
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-01,220,15.03589438547325,14.77639160141037,-0.01756198611020232,0.5590909090909091
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-02,204,15.288138928406477,15.288156377859181,1.1413706317853212e-06,0.46078431372549017
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-03,153,23.823045192434112,23.184988929957264,-0.027520231491351632,0.6405228758169934
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,all,577,9.389505595799598,8.562900504351065,-0.09653330562798312,0.1663778162911612
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-01,220,6.309603276732264,7.042016486823745,0.10400617656347344,0.09090909090909091
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-02,204,7.924328473806122,7.354111916736108,-0.07753710625104104,0.10294117647058823
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-03,153,15.771692805482488,12.361510672517484,-0.2758709856188235,0.35947712418300654
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,all,577,18.2823278064918,17.186990224743525,-0.06373062225702286,0.5701906412478336
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-01,220,15.34226188773579,14.77639160141037,-0.03829556644068699,0.5909090909090909
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-02,204,15.441178477735816,15.288156377859181,-0.010009192481720497,0.4362745098039216
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-03,153,26.298072677031282,23.184988929957264,-0.13427152182296753,0.7189542483660131
observed_change,sequential_ols,with_positioning,linear_qr,0.1,all,577,9.375453008283683,8.562900504351065,-0.09489220428518785,0.16464471403812825
observed_change,sequential_ols,with_positioning,linear_qr,0.1,2026-01,220,6.483133505401022,7.042016486823745,0.07936405466650698,0.09090909090909091
observed_change,sequential_ols,with_positioning,linear_qr,0.1,2026-02,204,7.472003736806642,7.354111916736108,-0.01603073510511077,0.07352941176470588
