model,month,stage,epoch,train_loss_scaled,validation_tail_loss_bp,selected_counts
gru_clean_20260910,2025-12,validation,1,0.18070400428416125,1.6557478573830584,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,validation,2,0.17548846842637703,1.65974104199835,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,validation,3,0.1719684411785496,1.6772004864372074,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,validation,4,0.17085244651161022,1.6713219359287146,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,validation,5,0.1700592926189081,1.677480204314767,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,validation,6,0.16956218120767108,1.6759560647140381,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,validation,7,0.1689245058084602,1.6939920938426767,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,validation,8,0.16797994410813744,1.6695864673386116,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,validation,9,0.16775300253683062,1.6569276067268854,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260910,2025-12,refit,1,0.1928191049532457,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,1,0.18115989396821208,1.6500497908810237,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,2,0.17666682934583122,1.666370894653344,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,3,0.17259247890159266,1.6986523561029332,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,4,0.17160283295965906,1.7111159680987882,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,5,0.17081249916731422,1.713256865715626,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,6,0.17003247453205622,1.7103447577769828,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,7,0.1697026858134056,1.710004269547365,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,8,0.16878536054447515,1.7048010496982693,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,validation,9,0.16846934694852403,1.7256093252479212,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260911,2025-12,refit,1,0.19339019466530194,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,1,0.1803981466079826,1.6256350563400768,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,2,0.17478201104633845,1.6094652496061306,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,3,0.17234038083410974,1.6533077060861407,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,4,0.17107689514088986,1.6830619035812064,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,5,0.17040405633734235,1.710774628821931,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,6,0.17001452997549257,1.6755698895756592,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,7,0.16961847312414824,1.6714106795163564,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,8,0.16851933433938382,1.6936328606790223,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,9,0.16817792249259664,1.706616381524458,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,validation,10,0.16725224634604668,1.713706103764147,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,refit,1,0.1919763989069245,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_clean_20260912,2025-12,refit,2,0.18642308088866147,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,1,0.18072437795240487,1.6564120111617153,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,2,0.17544982348805044,1.6618318739288187,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,3,0.1719545217147514,1.687069986383555,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,4,0.17162807864039692,1.6842095855913366,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,5,0.17034000180550476,1.6826953569734726,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,6,0.16971894720597053,1.6869959138973736,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,7,0.16918319997502795,1.7045983376216174,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,8,0.16838896207845033,1.6866426357036974,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,validation,9,0.1682829650035545,1.665608035896934,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260910,2025-12,refit,1,0.19285426356575705,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260911,2025-12,validation,1,0.1811552761650797,1.650922541528457,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260911,2025-12,validation,2,0.17681674970619715,1.669697860633159,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260911,2025-12,validation,3,0.17287848667422337,1.7096436279767853,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
gru_shuffled_20260911,2025-12,validation,4,0.17188086594218638,1.7249683876784572,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
