model,month,epochs,n_train,n_inner,n_valid,n_forecast,n_parameters,last_training_target,first_test_origin
gru_clean_20260910,2025-12,1,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_clean_20260911,2025-12,1,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_clean_20260912,2025-12,2,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_shuffled_20260910,2025-12,1,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_shuffled_20260911,2025-12,1,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_shuffled_20260912,2025-12,2,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_tick_20260910,2025-12,21,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_tick_20260911,2025-12,1,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_tick_20260912,2025-12,2,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_clean_20260910,2025-12,1,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_clean_20260911,2025-12,1,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_clean_20260912,2025-12,4,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_shuffled_20260910,2025-12,1,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_shuffled_20260911,2025-12,1,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_shuffled_20260912,2025-12,4,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_tick_20260910,2025-12,1,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_tick_20260911,2025-12,1,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_tick_20260912,2025-12,4,2816,2144,666,736,5795,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_hard_shuffled_20260910,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_hard_shuffled_20260911,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_hard_shuffled_20260912,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_hard_tick_20260910,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_hard_tick_20260911,2025-12,15,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_hard_tick_20260912,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_clean_20260910,2026-01,3,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
