proposal,reference,worst_loss_difference,low95,high95,p_centered,n_boot,clean_loss_ratio,clean_ratio_upper95,worst_loss_ratio,sensitivity_ratio,sensitivity_ratio_low95,sensitivity_ratio_high95,width_ratio,coverage_error_increase,p_holm_12,p_holm_16,clean_noninferior_2pct,worst_reduction_10pct,sensitivity_reduction_10pct,width_increase_le5pct,coverage_error_increase_le1pp,all_gates_pass
gru_tick_ensemble_cal,gru_clean_ensemble_cal,-0.006281592862574459,-0.010234681667791628,-0.0023171706951338462,0.0025,1999,1.0012718420154496,1.0027539121774087,0.9963516850600822,0.8731343368875373,0.8327006926586854,0.9149288678548366,1.0049787065243991,0.0025358324145534628,0.0075,0.015,True,False,True,True,True,False
gru_tick_ensemble_cal,gru_shuffled_ensemble_cal,-0.0057630210090789955,-0.00901721106618789,-0.002598741273240081,0.001,1999,1.0022122467597516,1.0040001358581059,0.9966518603645634,0.8880309260719222,0.8701931448916715,0.9058507005813855,1.0026396159388995,0.0022050716648291946,0.006,0.008,True,False,True,True,True,False
gru_tick_ensemble_cal,tcn_tick_ensemble_cal,-0.029911662037549646,-0.047801065446336964,-0.013300636904369088,0.0005,1999,0.9855107448478045,0.9930413700700038,0.9828626659824996,0.9860574319215616,0.8637276353929834,1.1443333146283214,0.9933330354750161,0.00033076074972426817,0.006,0.008,True,False,False,True,True,False
gru_tick_ensemble_cal,exact_qr_cal,-0.05805900357986354,-0.07401373825033752,-0.04139099596396781,0.0005,1999,0.9994758768702787,1.0048272561880953,0.9672640825358898,0.49041444632682296,0.4354726136054722,0.5663948889391548,1.00267774608716,0.0008820286659315668,0.006,0.008,True,False,True,True,True,False
mlp_tick_ensemble_cal,mlp_clean_ensemble_cal,0.0005121703934661258,-0.007782873226320228,0.008113951165436959,0.9075,1999,0.9983723304490874,1.002021567146897,1.0003021809340995,1.145751134669047,1.0861940347226853,1.2039612235037496,0.9977279870970159,-0.004410143329658278,0.9075,0.9075,True,False,False,True,True,False
mlp_tick_ensemble_cal,mlp_shuffled_ensemble_cal,-0.006185254313913187,-0.014564311615348446,0.0010744779972097407,0.1165,1999,0.996563208037997,1.0001122543674177,0.9963650585203265,0.9850991874331162,0.9545221633107793,1.0116495878972305,0.994648591045852,0.0,0.233,0.34950000000000003,True,False,False,True,True,False
mlp_tick_ensemble_cal,tcn_tick_ensemble_cal,-0.04998412210153416,-0.07537078271212337,-0.027708924624767074,0.0005,1999,0.9938729432256003,1.0039804636807355,0.971362520914077,0.4468648721837377,0.42987201437476097,0.4657799664067279,0.9931772144461724,-0.0018743109151049264,0.006,0.008,True,False,True,True,True,False
mlp_tick_ensemble_cal,exact_qr_cal,-0.07813146364384806,-0.09305085128800426,-0.06412177401855994,0.0005,1999,1.0079565713730072,1.013257727689034,0.9559464512394383,0.2222476924572554,0.19916456555825784,0.2434686443225403,1.0025204591829555,-0.0013230429988976278,0.006,0.008,True,False,True,True,True,False
tcn_hard_tick_ensemble_cal,tcn_clean_ensemble_cal,-0.07593388448136532,-0.10255185211223561,-0.05210314776356893,0.0005,1999,0.9861906173802099,0.9947487335320773,0.9564476163890016,0.19549933408551295,0.16466425347998437,0.22446036272629832,0.9884160360687962,0.004189636163175248,0.006,0.008,True,False,True,True,True,False
tcn_hard_tick_ensemble_cal,tcn_tick_ensemble_cal,-0.07783620448151456,-0.10525085642326043,-0.05242419379144973,0.0005,1999,0.9836567194853126,0.9935077287028597,0.9554051850017673,0.219233876047584,0.20438842059739648,0.2321258505011541,0.9886128105437519,0.001984564498346053,0.006,0.008,True,False,True,True,True,False
tcn_hard_tick_ensemble_cal,tcn_hard_shuffled_ensemble_cal,-0.04242369535527363,-0.05820666303205185,-0.026179416475980932,0.0005,1999,0.9863331375189633,0.993253306129681,0.975190774757362,0.36808303215871824,0.31027915930101496,0.43784586473044645,1.0067246430558565,-0.00022050716648303048,0.006,0.008,True,False,True,True,True,False
tcn_hard_tick_ensemble_cal,exact_qr_cal,-0.10598354602382844,-0.1211087551561797,-0.09035593215018276,0.0005,1999,0.9975955791316655,1.0044542759297468,0.940242367225312,0.10903569757436991,0.0995125915163414,0.11730610914425169,0.9979131159721041,0.0025358324145533517,0.006,0.008,True,False,True,True,True,False
