checkpoint,model,max_error_bp,parameters
gru_tick_20260911_2026-02.pt,gru,1.9073486328125e-06,5673
gru_tick_20260911_2026-03.pt,gru,1.9073486328125e-06,5673
gru_tick_20260912_2025-12.pt,gru,1.9073486328125e-06,5673
gru_tick_20260912_2026-01.pt,gru,1.9073486328125e-06,5673
gru_tick_20260912_2026-02.pt,gru,1.9073486328125e-06,5673
gru_tick_20260912_2026-03.pt,gru,1.9073486328125e-06,5673
mlp_clean_20260910_2025-12.pt,mlp,0.0,5795
mlp_clean_20260910_2026-01.pt,mlp,0.0,5795
mlp_clean_20260910_2026-02.pt,mlp,0.0,5795
mlp_clean_20260910_2026-03.pt,mlp,0.0,5795
mlp_clean_20260911_2025-12.pt,mlp,0.0,5795
mlp_clean_20260911_2026-01.pt,mlp,0.0,5795
mlp_clean_20260911_2026-02.pt,mlp,0.0,5795
mlp_clean_20260911_2026-03.pt,mlp,0.0,5795
mlp_clean_20260912_2025-12.pt,mlp,0.0,5795
mlp_clean_20260912_2026-01.pt,mlp,0.0,5795
mlp_clean_20260912_2026-02.pt,mlp,0.0,5795
mlp_clean_20260912_2026-03.pt,mlp,0.0,5795
mlp_shuffled_20260910_2025-12.pt,mlp,0.0,5795
mlp_shuffled_20260910_2026-01.pt,mlp,0.0,5795
mlp_shuffled_20260910_2026-02.pt,mlp,0.0,5795
mlp_shuffled_20260910_2026-03.pt,mlp,0.0,5795
mlp_shuffled_20260911_2025-12.pt,mlp,0.0,5795
mlp_shuffled_20260911_2026-01.pt,mlp,0.0,5795
mlp_shuffled_20260911_2026-02.pt,mlp,0.0,5795
mlp_shuffled_20260911_2026-03.pt,mlp,0.0,5795
mlp_shuffled_20260912_2025-12.pt,mlp,0.0,5795
mlp_shuffled_20260912_2026-01.pt,mlp,0.0,5795
mlp_shuffled_20260912_2026-02.pt,mlp,0.0,5795
mlp_shuffled_20260912_2026-03.pt,mlp,0.0,5795
mlp_tick_20260910_2025-12.pt,mlp,0.0,5795
mlp_tick_20260910_2026-01.pt,mlp,0.0,5795
mlp_tick_20260910_2026-02.pt,mlp,0.0,5795
mlp_tick_20260910_2026-03.pt,mlp,0.0,5795
mlp_tick_20260911_2025-12.pt,mlp,0.0,5795
mlp_tick_20260911_2026-01.pt,mlp,0.0,5795
mlp_tick_20260911_2026-02.pt,mlp,0.0,5795
mlp_tick_20260911_2026-03.pt,mlp,0.0,5795
mlp_tick_20260912_2025-12.pt,mlp,0.0,5795
mlp_tick_20260912_2026-01.pt,mlp,0.0,5795
mlp_tick_20260912_2026-02.pt,mlp,0.0,5795
mlp_tick_20260912_2026-03.pt,mlp,0.0,5795
tcn_hard_shuffled_20260910_2025-12.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260910_2026-01.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260910_2026-02.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260910_2026-03.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260911_2025-12.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260911_2026-01.pt,tcn,3.814697265625e-06,5923
tcn_hard_shuffled_20260911_2026-02.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260911_2026-03.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260912_2025-12.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260912_2026-01.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260912_2026-02.pt,tcn,1.9073486328125e-06,5923
tcn_hard_shuffled_20260912_2026-03.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260910_2025-12.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260910_2026-01.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260910_2026-02.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260910_2026-03.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260911_2025-12.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260911_2026-01.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260911_2026-02.pt,tcn,2.86102294921875e-06,5923
tcn_hard_tick_20260911_2026-03.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260912_2025-12.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260912_2026-01.pt,tcn,1.9073486328125e-06,5923
tcn_hard_tick_20260912_2026-02.pt,tcn,3.814697265625e-06,5923
tcn_hard_tick_20260912_2026-03.pt,tcn,1.9073486328125e-06,5923
