proposal,reference,seed,clean_ratio,worst_ratio,sensitivity_ratio
gru_tick_ensemble_cal,gru_clean_ensemble_cal,20260910,1.0052618405787994,1.000447572659122,0.9128246581216025
gru_tick_ensemble_cal,gru_clean_ensemble_cal,20260911,1.000625158248663,0.9953774746631919,0.7949827004079247
gru_tick_ensemble_cal,gru_clean_ensemble_cal,20260912,1.0002563292243745,0.9950244789858741,0.894854401000188
gru_tick_ensemble_cal,gru_shuffled_ensemble_cal,20260910,1.0026646793569505,0.9966072308675586,0.9136969468516415
gru_tick_ensemble_cal,gru_shuffled_ensemble_cal,20260911,1.0021050625263026,0.9937824402029056,0.7999461989709492
gru_tick_ensemble_cal,gru_shuffled_ensemble_cal,20260912,1.0000203183650311,0.9962661749243076,0.9244705911060612
gru_tick_ensemble_cal,tcn_tick_ensemble_cal,20260910,0.986883792687984,0.9961919478728352,1.4278465396779447
gru_tick_ensemble_cal,tcn_tick_ensemble_cal,20260911,0.9673338794556305,0.9488834610336098,0.5692348632218875
gru_tick_ensemble_cal,tcn_tick_ensemble_cal,20260912,0.9949529880167267,0.9926564984834981,1.0185573669008872
mlp_tick_ensemble_cal,mlp_clean_ensemble_cal,20260910,1.0037395442352441,1.0072258377113967,1.209027857678761
mlp_tick_ensemble_cal,mlp_clean_ensemble_cal,20260911,0.9892042791328268,0.9911276440247173,1.248402326625981
mlp_tick_ensemble_cal,mlp_clean_ensemble_cal,20260912,1.0032457166107422,1.003086630223711,0.9737069616752063
mlp_tick_ensemble_cal,mlp_shuffled_ensemble_cal,20260910,0.9996032404274386,0.9980194688929438,0.9399259855662391
mlp_tick_ensemble_cal,mlp_shuffled_ensemble_cal,20260911,0.9875087798070736,0.989659307351939,1.281496516055121
mlp_tick_ensemble_cal,mlp_shuffled_ensemble_cal,20260912,1.0004524072236898,0.9989452756526574,0.9066056931216255
mlp_tick_ensemble_cal,tcn_tick_ensemble_cal,20260910,0.994397701986292,0.9890366833244346,0.9323706305838464
mlp_tick_ensemble_cal,tcn_tick_ensemble_cal,20260911,0.9640832986726451,0.9303651382092635,0.21457040040265835
mlp_tick_ensemble_cal,tcn_tick_ensemble_cal,20260912,1.0218668476770596,0.9888484144285908,0.30963881239425795
tcn_hard_tick_ensemble_cal,tcn_clean_ensemble_cal,20260910,0.9944285381895321,0.9750797813735746,0.33774062977823727
tcn_hard_tick_ensemble_cal,tcn_clean_ensemble_cal,20260911,0.978003165807459,0.942109666318573,0.20066083943835705
tcn_hard_tick_ensemble_cal,tcn_clean_ensemble_cal,20260912,0.9952351789973728,0.9638840718291639,0.2424948318048275
tcn_hard_tick_ensemble_cal,tcn_tick_ensemble_cal,20260910,0.9967652685678869,0.9767687420721101,0.31569997099487224
tcn_hard_tick_ensemble_cal,tcn_tick_ensemble_cal,20260911,0.9661110207574746,0.9330916676054904,0.2187093025594813
tcn_hard_tick_ensemble_cal,tcn_tick_ensemble_cal,20260912,0.9944619987533745,0.9634193380590019,0.2916573828546198
tcn_hard_tick_ensemble_cal,tcn_hard_shuffled_ensemble_cal,20260910,0.9973328706209454,0.9873573754610435,0.4334265665529007
tcn_hard_tick_ensemble_cal,tcn_hard_shuffled_ensemble_cal,20260911,0.9886283646096814,0.964902686883289,0.3169675898861338
tcn_hard_tick_ensemble_cal,tcn_hard_shuffled_ensemble_cal,20260912,0.9884854681395134,0.9857443698695886,0.6754439839221009
