method,q,contrast,conditioning,block_days,delta_pinball_bp,relative_change_pct,ci_low,ci_high,n,repetitions
linear,0.1,add_positioning,linear_qr,3,0.005250828299552923,0.30616580664972887,0.0023261787126130696,0.008963725484914017,577,2000
linear,0.1,add_positioning,quantile_lightgbm,3,-0.03259843233276971,-1.7459814052663214,-0.07084979566211888,0.007090674428737181,577,2000
linear,0.1,ML_minus_linear,without_positioning,3,0.15202728474850558,8.864421689766035,0.07208575855749584,0.23325586154266378,577,2000
linear,0.1,ML_minus_linear,with_positioning,3,0.11417802411618294,6.637182539999868,0.0303657730321024,0.19620428251713684,577,2000
linear,0.1,add_positioning,linear_qr,7,0.005250828299552923,0.30616580664972887,0.0028004879251695867,0.007726110085854216,577,2000
linear,0.1,add_positioning,quantile_lightgbm,7,-0.03259843233276971,-1.7459814052663214,-0.06828167705779369,0.002702604891129333,577,2000
linear,0.1,ML_minus_linear,without_positioning,7,0.15202728474850558,8.864421689766035,0.08664428264116789,0.2180937278893305,577,2000
linear,0.1,ML_minus_linear,with_positioning,7,0.11417802411618294,6.637182539999868,0.04119225744771046,0.1844746487085121,577,2000
linear,0.5,add_positioning,linear_qr,3,-0.017776159544408365,-0.4530109541956701,-0.043201243943306565,0.00328871964377949,577,2000
linear,0.5,add_positioning,quantile_lightgbm,3,-0.03430117286220158,-0.8804194411679417,-0.08151254578556041,0.013203457540168176,577,2000
linear,0.5,ML_minus_linear,without_positioning,3,-0.027998571241747428,-0.7135207941092765,-0.21574143913162133,0.1021860724819701,577,2000
linear,0.5,ML_minus_linear,with_positioning,3,-0.04452358455954064,-1.139810772952009,-0.2186836000449698,0.08862415171980163,577,2000
linear,0.5,add_positioning,linear_qr,7,-0.017776159544408365,-0.4530109541956701,-0.04218674296605539,0.0040709299852323836,577,2000
linear,0.5,add_positioning,quantile_lightgbm,7,-0.03430117286220158,-0.8804194411679417,-0.08606546266786372,0.014575892216837163,577,2000
linear,0.5,ML_minus_linear,without_positioning,7,-0.027998571241747428,-0.7135207941092765,-0.18552061865784303,0.09571960321732459,577,2000
linear,0.5,ML_minus_linear,with_positioning,7,-0.04452358455954064,-1.139810772952009,-0.1977804711576706,0.086373012383837,577,2000
linear,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
linear,0.9,add_positioning,quantile_lightgbm,3,-0.01887438425123733,-1.080268774186217,-0.04935750940755694,0.005916076091626576,577,2000
linear,0.9,ML_minus_linear,without_positioning,3,0.015107313481313778,0.8722034072835411,-0.058031231869773825,0.0951804755563156,577,2000
linear,0.9,ML_minus_linear,with_positioning,3,-0.003767070769923553,-0.21748750795894817,-0.06173018017139617,0.05829203930293757,577,2000
linear,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
linear,0.9,add_positioning,quantile_lightgbm,7,-0.01887438425123733,-1.080268774186217,-0.04240943656073276,0.002170858228683874,577,2000
linear,0.9,ML_minus_linear,without_positioning,7,0.015107313481313778,0.8722034072835411,-0.04653424462306126,0.08271832479271765,577,2000
linear,0.9,ML_minus_linear,with_positioning,7,-0.003767070769923553,-0.21748750795894817,-0.05190674304254134,0.049666728363365706,577,2000
pca,0.1,add_positioning,linear_qr,3,0.0022085623149501465,0.1279784851659168,0.0005444799134882772,0.00437124449918303,577,2000
pca,0.1,add_positioning,quantile_lightgbm,3,-0.009620648844562485,-0.5183819543161462,-0.04535452278007829,0.03067535205708761,577,2000
pca,0.1,ML_minus_linear,without_positioning,3,0.1301702668127498,7.542913074071435,0.045819874309175335,0.20988611738374938,577,2000
pca,0.1,ML_minus_linear,with_positioning,3,0.11834105565323716,6.848686688905411,0.03187461974007027,0.19898189112276568,577,2000
pca,0.1,add_positioning,linear_qr,7,0.0022085623149501465,0.1279784851659168,0.0010454567381462053,0.0034403274353182025,577,2000
pca,0.1,add_positioning,quantile_lightgbm,7,-0.009620648844562485,-0.5183819543161462,-0.03824195650641779,0.021630896918189993,577,2000
pca,0.1,ML_minus_linear,without_positioning,7,0.1301702668127498,7.542913074071435,0.06944444701831164,0.197243223863302,577,2000
pca,0.1,ML_minus_linear,with_positioning,7,0.11834105565323716,6.848686688905411,0.05256803757709334,0.18918233163470694,577,2000
pca,0.5,add_positioning,linear_qr,3,-0.020290803785536493,-0.5205009891462165,-0.05094055754965081,0.003695577875085037,577,2000
pca,0.5,add_positioning,quantile_lightgbm,3,-0.0380005974955,-0.9787495786139455,-0.10694342857310643,0.023356658362723715,577,2000
pca,0.5,ML_minus_linear,without_positioning,3,-0.01575593804413522,-0.40417232474273074,-0.15553135346960179,0.09388905445489121,577,2000
pca,0.5,ML_minus_linear,with_positioning,3,-0.033465731754098726,-0.8629567778497785,-0.20352935377548156,0.10097107281103408,577,2000
pca,0.5,add_positioning,linear_qr,7,-0.020290803785536493,-0.5205009891462165,-0.05063029891855262,0.005080910837283811,577,2000
pca,0.5,add_positioning,quantile_lightgbm,7,-0.0380005974955,-0.9787495786139455,-0.09274350758898936,0.012814768240147321,577,2000
pca,0.5,ML_minus_linear,without_positioning,7,-0.01575593804413522,-0.40417232474273074,-0.150392341239496,0.09711312913046694,577,2000
pca,0.5,ML_minus_linear,with_positioning,7,-0.033465731754098726,-0.8629567778497785,-0.18386862772007584,0.09184627154103656,577,2000
pca,0.9,add_positioning,linear_qr,3,0.0,0.0,0.0,0.0,577,2000
pca,0.9,add_positioning,quantile_lightgbm,3,-0.019196602059040835,-1.11113152876689,-0.04718999417533911,0.0027816877962578155,577,2000
pca,0.9,ML_minus_linear,without_positioning,3,0.012667396013728904,0.7386258096243391,-0.03520256264386036,0.07575164165541161,577,2000
pca,0.9,ML_minus_linear,with_positioning,3,-0.0065292060453119305,-0.3807128233928965,-0.043359755959680654,0.036195636197632365,577,2000
pca,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
pca,0.9,add_positioning,quantile_lightgbm,7,-0.019196602059040835,-1.11113152876689,-0.04447282142888993,0.001510543042430249,577,2000
pca,0.9,ML_minus_linear,without_positioning,7,0.012667396013728904,0.7386258096243391,-0.03399823225536275,0.06181761584680144,577,2000
pca,0.9,ML_minus_linear,with_positioning,7,-0.0065292060453119305,-0.3807128233928965,-0.03942898825116194,0.027408675218861357,577,2000
ml,0.1,add_positioning,linear_qr,3,0.0,0.0,-4.440892098500626e-16,2.220446049250313e-16,577,2000
ml,0.1,add_positioning,quantile_lightgbm,3,0.01118010969718064,0.6035452921146364,-0.0076005793289796505,0.03428313575073937,577,2000
ml,0.1,ML_minus_linear,without_positioning,3,0.059855434466992374,3.339120964759628,-0.05479495292620168,0.16453471095455402,577,2000
ml,0.1,ML_minus_linear,with_positioning,3,0.07103554416417301,3.962819364255084,-0.03813130859143631,0.17261584845589423,577,2000
ml,0.1,add_positioning,linear_qr,7,0.0,0.0,-4.440892098500626e-16,2.220446049250313e-16,577,2000
ml,0.1,add_positioning,quantile_lightgbm,7,0.01118010969718064,0.6035452921146364,-0.005092323323486803,0.02788863658591608,577,2000
ml,0.1,ML_minus_linear,without_positioning,7,0.059855434466992374,3.339120964759628,-0.016376915564931527,0.14246090586141497,577,2000
ml,0.1,ML_minus_linear,with_positioning,7,0.07103554416417301,3.962819364255084,-0.0036631072349823596,0.1557824884812293,577,2000
ml,0.5,add_positioning,linear_qr,3,-0.001230170005698028,-0.030638631188876973,-0.005765611745627575,0.0020377367361774828,577,2000
ml,0.5,add_positioning,quantile_lightgbm,3,-0.043131169723733986,-1.088254816091757,-0.118326826307725,0.014423389250175596,577,2000
