method,info,algorithm,q,period,n,days,pinball,below_rate
linear,without_positioning,linear_qr,0.1,all,577,55,1.7150276698142748,0.16464471403812825
linear,without_positioning,linear_qr,0.1,2026-01,220,21,1.5240315044390116,0.19090909090909092
linear,without_positioning,linear_qr,0.1,2026-02,204,20,1.9257173546223882,0.13725490196078433
linear,without_positioning,linear_qr,0.1,2026-03,153,14,1.7087430991064496,0.16339869281045752
linear,without_positioning,linear_qr,0.5,all,577,55,3.924002141619354,0.5077989601386482
linear,without_positioning,linear_qr,0.5,2026-01,220,21,3.42409150403513,0.6
linear,without_positioning,linear_qr,0.5,2026-02,204,20,4.454059052029026,0.43137254901960786
linear,without_positioning,linear_qr,0.5,2026-03,153,14,3.9360853477955353,0.477124183006536
linear,without_positioning,linear_qr,0.9,all,577,55,1.7320860426772677,0.8821490467937608
linear,without_positioning,linear_qr,0.9,2026-01,220,21,1.5626323205161818,0.9272727272727272
linear,without_positioning,linear_qr,0.9,2026-02,204,20,1.8741354309298301,0.8284313725490197
linear,without_positioning,linear_qr,0.9,2026-03,153,14,1.7863458052388115,0.8888888888888888
linear,without_positioning,quantile_lightgbm,0.1,all,577,55,1.8670549545627804,0.17850953206239167
linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.720563196557419,0.21363636363636362
linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,1.9588718667115104,0.13725490196078433
linear,without_positioning,quantile_lightgbm,0.1,2026-03,153,14,1.9552741485682608,0.1830065359477124
linear,without_positioning,quantile_lightgbm,0.5,all,577,55,3.8960035703776064,0.5268630849220104
linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.4773316481505314,0.6136363636363636
linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.311288598503923,0.4362745098039216
linear,without_positioning,quantile_lightgbm,0.5,2026-03,153,14,3.9443021138559584,0.5228758169934641
linear,without_positioning,quantile_lightgbm,0.9,all,577,55,1.7471933561585815,0.8613518197573656
linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.490867544565576,0.9
linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,1.9941368378538726,0.8137254901960784
linear,without_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.7865084429861757,0.869281045751634
linear,with_positioning,linear_qr,0.1,all,577,55,1.7202784981138277,0.16464471403812825
linear,with_positioning,linear_qr,0.1,2026-01,220,21,1.5240315044390116,0.19090909090909092
linear,with_positioning,linear_qr,0.1,2026-02,204,20,1.931654825484147,0.13725490196078433
linear,with_positioning,linear_qr,0.1,2026-03,153,14,1.7206286146165357,0.16339869281045752
linear,with_positioning,linear_qr,0.5,all,577,55,3.9062259820749454,0.5095320623916811
linear,with_positioning,linear_qr,0.5,2026-01,220,21,3.407743155514542,0.5909090909090909
linear,with_positioning,linear_qr,0.5,2026-02,204,20,4.407389587861709,0.4411764705882353
linear,with_positioning,linear_qr,0.5,2026-03,153,14,3.954780532812128,0.48366013071895425
linear,with_positioning,linear_qr,0.9,all,577,55,1.7320860426772677,0.8821490467937608
linear,with_positioning,linear_qr,0.9,2026-01,220,21,1.5626323205161818,0.9272727272727272
linear,with_positioning,linear_qr,0.9,2026-02,204,20,1.8741354309298301,0.8284313725490197
linear,with_positioning,linear_qr,0.9,2026-03,153,14,1.7863458052388115,0.8888888888888888
linear,with_positioning,quantile_lightgbm,0.1,all,577,55,1.8344565222300107,0.17504332755632582
linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.6879072128805774,0.20454545454545456
linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,1.9191766223860969,0.14215686274509803
linear,with_positioning,quantile_lightgbm,0.1,2026-03,153,14,1.9322208857923229,0.17647058823529413
