method,scope,algorithm,period,n,mse,baseline_mse,skill,scenario
pca_1,all_references,lightgbm,all,907,84.74389464271239,93.79695477790032,0.0965176338253674,clock_UTC_quote
pca_1,all_references,lightgbm,2026-01,346,68.16139160194041,75.53011598098644,0.0975600829330249,clock_UTC_quote
pca_1,all_references,lightgbm,2026-02,324,79.18887817345899,97.54059333307984,0.1881443871984019,clock_UTC_quote
pca_1,all_references,lightgbm,2026-03,237,116.54714944501283,115.34711229627187,-0.0104037034378341,clock_UTC_quote
pca_2,mean_market,ridge,all,907,51.64846515848084,51.60538010990975,-0.000834894510598,clock_UTC_quote
pca_2,mean_market,ridge,2026-01,346,50.01351762960499,47.199192384518376,-0.0596265550935513,clock_UTC_quote
pca_2,mean_market,ridge,2026-02,324,51.71685036039439,49.83974858131326,-0.0376627457503853,clock_UTC_quote
pca_2,mean_market,ridge,2026-03,237,53.94186194991989,60.45181710674808,0.1076883287946938,clock_UTC_quote
pca_2,mean_market,lightgbm,all,907,49.75247458500736,51.60538010990975,0.0359052781116242,clock_UTC_quote
pca_2,mean_market,lightgbm,2026-01,346,44.84644779709627,47.199192384518376,0.0498471365411291,clock_UTC_quote
pca_2,mean_market,lightgbm,2026-02,324,49.60687299431231,49.83974858131326,0.0046724871940518,clock_UTC_quote
pca_2,mean_market,lightgbm,2026-03,237,57.11390996054506,60.45181710674808,0.0552159935955078,clock_UTC_quote
pca_2,all_references,ridge,all,907,52.99429414188665,51.60538010990975,-0.0269141323834603,clock_UTC_quote
pca_2,all_references,ridge,2026-01,346,51.78163493455417,47.199192384518376,-0.0970873084586689,clock_UTC_quote
pca_2,all_references,ridge,2026-02,324,53.08532355384045,49.83974858131326,-0.0651202115763496,clock_UTC_quote
pca_2,all_references,ridge,2026-03,237,54.64022897844363,60.45181710674808,0.0961358716156062,clock_UTC_quote
pca_2,all_references,lightgbm,all,907,50.54040139345469,51.60538010990975,0.0206369706838096,clock_UTC_quote
pca_2,all_references,lightgbm,2026-01,346,44.38157133604263,47.199192384518376,0.0596963826313252,clock_UTC_quote
pca_2,all_references,lightgbm,2026-02,324,51.67626139699517,49.83974858131326,-0.0368483563412374,clock_UTC_quote
pca_2,all_references,lightgbm,2026-03,237,57.978952274119074,60.45181710674808,0.0409063771939612,clock_UTC_quote
ae_selected,mean_market,ridge,all,907,1030.1991095579922,403.8584946553244,-1.5508912730366666,clock_UTC_quote
ae_selected,mean_market,ridge,2026-01,346,507.0729873405159,468.6017190694955,-0.0820980092591485,clock_UTC_quote
ae_selected,mean_market,ridge,2026-02,324,1027.1439311086556,469.85855216335113,-1.1860705235212117,clock_UTC_quote
ae_selected,mean_market,ridge,2026-03,237,1798.0958019834436,219.1109238540424,-7.206326596391969,clock_UTC_quote
ae_selected,mean_market,lightgbm,all,907,77.11144137415694,403.8584946553244,0.8090632179472461,clock_UTC_quote
ae_selected,mean_market,lightgbm,2026-01,346,75.68272325504118,468.6017190694955,0.8384924336058248,clock_UTC_quote
ae_selected,mean_market,lightgbm,2026-02,324,95.3476250393358,469.85855216335113,0.7970716408154529,clock_UTC_quote
ae_selected,mean_market,lightgbm,2026-03,237,54.2667703264612,219.1109238540424,0.752331972446019,clock_UTC_quote
ae_selected,all_references,ridge,all,907,1065.3776861585643,403.8584946553244,-1.637997467572938,clock_UTC_quote
ae_selected,all_references,ridge,2026-01,346,481.7236118912394,468.6017190694955,-0.0280022293725257,clock_UTC_quote
ae_selected,all_references,ridge,2026-02,324,1041.534928592517,469.85855216335113,-1.2166988847963265,clock_UTC_quote
ae_selected,all_references,ridge,2026-03,237,1950.058543322674,219.1109238540424,-7.899869112056129,clock_UTC_quote
ae_selected,all_references,lightgbm,all,907,74.86475865197785,403.8584946553244,0.814626262310338,clock_UTC_quote
ae_selected,all_references,lightgbm,2026-01,346,74.17954105091623,468.6017190694955,0.8417002370409249,clock_UTC_quote
ae_selected,all_references,lightgbm,2026-02,324,90.00832666737682,469.85855216335113,0.8084352700340239,clock_UTC_quote
ae_selected,all_references,lightgbm,2026-03,237,55.16251921306668,219.1109238540424,0.7482438655143803,clock_UTC_quote
joint_ols,mean_market,ridge,all,907,94.22049743400235,95.2600590308996,0.0109128800409417,clock_UTC_quote
joint_ols,mean_market,ridge,2026-01,346,76.39106686004196,76.32289119390163,-0.0008932531914589,clock_UTC_quote
joint_ols,mean_market,ridge,2026-02,324,102.55024995745178,99.39745853468403,-0.0317190345633193,clock_UTC_quote
joint_ols,mean_market,ridge,2026-03,237,108.86245169979428,117.25053427298882,0.0715398238925287,clock_UTC_quote
joint_ols,mean_market,lightgbm,all,907,95.57480724712369,95.2600590308996,-0.0033040942807098,clock_UTC_quote
joint_ols,mean_market,lightgbm,2026-01,346,76.1713699864758,76.32289119390163,0.0019852655612964,clock_UTC_quote
joint_ols,mean_market,lightgbm,2026-02,324,99.70050735290964,99.39745853468403,-0.0030488588208708,clock_UTC_quote
joint_ols,mean_market,lightgbm,2026-03,237,118.26199061383056,117.25053427298882,-0.0086264540039264,clock_UTC_quote
joint_ols,all_references,ridge,all,907,49.67066391679364,95.2600590308996,0.4785782790594123,clock_UTC_quote
joint_ols,all_references,ridge,2026-01,346,46.96653080331013,76.32289119390163,0.384633757073096,clock_UTC_quote
joint_ols,all_references,ridge,2026-02,324,49.420459969588336,99.39745853468403,0.5027995614963996,clock_UTC_quote
joint_ols,all_references,ridge,2026-03,237,53.960521031391984,117.25053427298882,0.539784433683191,clock_UTC_quote
joint_ols,all_references,lightgbm,all,907,85.8952230478608,95.2600590308996,0.0983081060237546,clock_UTC_quote
joint_ols,all_references,lightgbm,2026-01,346,69.099370603495,76.32289119390163,0.0946442211165056,clock_UTC_quote
joint_ols,all_references,lightgbm,2026-02,324,79.87371166752493,99.39745853468403,0.196420986562211,clock_UTC_quote
joint_ols,all_references,lightgbm,2026-03,237,118.64768985368096,117.25053427298882,-0.0119159847701779,clock_UTC_quote
sequential_ols,mean_market,ridge,all,907,105.28717970484423,104.9989072173564,-0.002745480835254,clock_NY_quote
sequential_ols,mean_market,ridge,2026-01,346,83.80812583376037,79.54677759746913,-0.0535703439535282,clock_NY_quote
sequential_ols,mean_market,ridge,2026-02,324,113.63504741418748,110.0865970656358,-0.0322332640224676,clock_NY_quote
sequential_ols,mean_market,ridge,2026-03,237,125.2325109350882,135.20154577279288,0.0737346217509797,clock_NY_quote
sequential_ols,mean_market,lightgbm,all,907,105.35137370829004,104.9989072173564,-0.0033568586595287,clock_NY_quote
sequential_ols,mean_market,lightgbm,2026-01,346,76.4749969504707,79.54677759746913,0.0386160287037971,clock_NY_quote
sequential_ols,mean_market,lightgbm,2026-02,324,112.10919398364123,110.0865970656358,-0.0183727808099973,clock_NY_quote
sequential_ols,mean_market,lightgbm,2026-03,237,138.26990783905663,135.20154577279288,-0.022694726223176,clock_NY_quote
sequential_ols,all_references,ridge,all,907,53.54194564398351,104.9989072173564,0.4900714010942297,clock_NY_quote
sequential_ols,all_references,ridge,2026-01,346,55.70060202522995,79.54677759746913,0.2997755068458974,clock_NY_quote
sequential_ols,all_references,ridge,2026-02,324,48.177016852739904,110.0865970656358,0.5623716407182991,clock_NY_quote
sequential_ols,all_references,ridge,2026-03,237,57.72482252352639,135.20154577279288,0.5730461349862572,clock_NY_quote
sequential_ols,all_references,lightgbm,all,907,93.48624709960131,104.9989072173564,0.1096455232045692,clock_NY_quote
sequential_ols,all_references,lightgbm,2026-01,346,67.40145620582716,79.54677759746913,0.1526815008535101,clock_NY_quote
sequential_ols,all_references,lightgbm,2026-02,324,89.08613276253888,110.0865970656358,0.1907631343221195,clock_NY_quote
sequential_ols,all_references,lightgbm,2026-03,237,137.58318673864812,135.20154577279288,-0.0176154862153543,clock_NY_quote
pca_1,mean_market,ridge,all,907,103.69911303193923,103.76238930187324,0.0006098189368974,clock_NY_quote
pca_1,mean_market,ridge,2026-01,346,83.09491028506893,79.40967967076982,-0.0464078262193976,clock_NY_quote
pca_1,mean_market,ridge,2026-02,324,111.71053219252616,107.95237821883768,-0.0348130725389863,clock_NY_quote
pca_1,mean_market,ridge,2026-03,237,122.82719042597708,133.58720416797158,0.0805467395549722,clock_NY_quote
pca_1,mean_market,lightgbm,all,907,103.7610181201336,103.76238930187324,1.3214631514046893e-05,clock_NY_quote
pca_1,mean_market,lightgbm,2026-01,346,75.90668999724122,79.40967967076982,0.0441128800424821,clock_NY_quote
pca_1,mean_market,lightgbm,2026-02,324,109.93873733105912,107.95237821883768,-0.0184003274869475,clock_NY_quote
pca_1,mean_market,lightgbm,2026-03,237,135.98049704916687,133.58720416797158,-0.0179155847755148,clock_NY_quote
pca_1,all_references,ridge,all,907,53.6974193374756,103.76238930187324,0.482496310091173,clock_NY_quote
pca_1,all_references,ridge,2026-01,346,55.89276612758043,79.40967967076982,0.2961466869113415,clock_NY_quote
pca_1,all_references,ridge,2026-02,324,48.45942821381911,107.95237821883768,0.5511036531721083,clock_NY_quote
pca_1,all_references,ridge,2026-03,237,57.65319627708924,133.58720416797158,0.5684227644692936,clock_NY_quote
pca_1,all_references,lightgbm,all,907,92.016139206529,103.76238930187324,0.1132033502155698,clock_NY_quote
pca_1,all_references,lightgbm,2026-01,346,66.72210729243153,79.40967967076982,0.1597736249653768,clock_NY_quote
pca_1,all_references,lightgbm,2026-02,324,87.43934970080883,107.95237821883768,0.1900192367827735,clock_NY_quote
pca_1,all_references,lightgbm,2026-03,237,135.20016807628025,133.58720416797158,-0.0120742395827113,clock_NY_quote
pca_2,mean_market,ridge,all,907,53.77030824763553,54.03062307573804,0.0048179127554685,clock_NY_quote
pca_2,mean_market,ridge,2026-01,346,56.54085857946545,51.37150739195105,-0.1006268153292371,clock_NY_quote
pca_2,mean_market,ridge,2026-02,324,48.5448968667647,46.816646562842365,-0.0369152946826829,clock_NY_quote
pca_2,mean_market,ridge,2026-03,237,56.86913893366506,67.7748526823562,0.1609109177972468,clock_NY_quote
pca_2,mean_market,lightgbm,all,907,51.5937884975005,54.03062307573804,0.0451009897631882,clock_NY_quote
pca_2,mean_market,lightgbm,2026-01,346,47.34178399439077,51.37150739195105,0.0784427711418812,clock_NY_quote
pca_2,mean_market,lightgbm,2026-02,324,46.93485014885282,46.816646562842365,-0.0025248195821072,clock_NY_quote
pca_2,mean_market,lightgbm,2026-03,237,64.1705377930187,67.7748526823562,0.0531807115277701,clock_NY_quote
pca_2,all_references,ridge,all,907,56.29553604263762,54.03062307573804,-0.0419190606727728,clock_NY_quote
pca_2,all_references,ridge,2026-01,346,59.51894241058445,51.37150739195105,-0.1585983248743436,clock_NY_quote
pca_2,all_references,ridge,2026-02,324,52.058736151490095,46.816646562842365,-0.1119706338131507,clock_NY_quote
pca_2,all_references,ridge,2026-03,237,57.38171562669756,67.7748526823562,0.1533479844562506,clock_NY_quote
pca_2,all_references,lightgbm,all,907,52.37103446803174,54.03062307573804,0.0307157036738213,clock_NY_quote
pca_2,all_references,lightgbm,2026-01,346,48.12749751495332,51.37150739195105,0.0631480375346354,clock_NY_quote
pca_2,all_references,lightgbm,2026-02,324,48.305769244215085,46.816646562842365,-0.0318075469026568,clock_NY_quote
pca_2,all_references,lightgbm,2026-03,237,64.12381808947362,67.7748526823562,0.0538700483790657,clock_NY_quote
ae_selected,mean_market,ridge,all,907,1276.6022342691044,465.0742552664467,-1.744942812492864,clock_NY_quote
ae_selected,mean_market,ridge,2026-01,346,547.8899809301746,586.0174367339415,0.0650619818008542,clock_NY_quote
ae_selected,mean_market,ridge,2026-02,324,1081.1748377942222,528.778554248138,-1.0446646882862485,clock_NY_quote
ae_selected,mean_market,ridge,2026-03,237,2607.6271967717694,201.41799510686351,-11.946346702479474,clock_NY_quote
ae_selected,mean_market,lightgbm,all,907,90.91307330195076,465.0742552664467,0.8045192304831719,clock_NY_quote
ae_selected,mean_market,lightgbm,2026-01,346,79.46700063663107,586.0174367339415,0.8643948188990322,clock_NY_quote
ae_selected,mean_market,lightgbm,2026-02,324,87.57909403209018,528.778554248138,0.8343747239208339,clock_NY_quote
ae_selected,mean_market,lightgbm,2026-03,237,112.18121855779656,201.41799510686351,0.44304272069495,clock_NY_quote
ae_selected,all_references,ridge,all,907,1286.6272404510055,465.0742552664467,-1.7664985233678032,clock_NY_quote
ae_selected,all_references,ridge,2026-01,346,515.6042691933192,586.0174367339415,0.1201554136905156,clock_NY_quote
ae_selected,all_references,ridge,2026-02,324,1126.7877501297196,528.778554248138,-1.1309255851570637,clock_NY_quote
ae_selected,all_references,ridge,2026-03,237,2630.770459519596,201.41799510686351,-12.061248366233738,clock_NY_quote
ae_selected,all_references,lightgbm,all,907,89.00903423290394,465.0742552664467,0.8086132843842118,clock_NY_quote
ae_selected,all_references,lightgbm,2026-01,346,78.01655374238149,586.0174367339415,0.8668699105999437,clock_NY_quote
ae_selected,all_references,lightgbm,2026-02,324,86.04456727015257,528.778554248138,0.8372767454752434,clock_NY_quote
ae_selected,all_references,lightgbm,2026-03,237,109.1098171259512,201.41799510686351,0.4582916135767196,clock_NY_quote
joint_ols,mean_market,ridge,all,907,105.43619662620549,105.47665838094848,0.0003836086141151,clock_NY_quote
joint_ols,mean_market,ridge,2026-01,346,83.94340618061524,80.28001177423877,-0.045632708882487,clock_NY_quote
joint_ols,mean_market,ridge,2026-02,324,113.9042865182945,110.10646278502362,-0.0344922871665207,clock_NY_quote
joint_ols,mean_market,ridge,2026-03,237,125.23722771961214,135.9322832712489,0.0786792901160582,clock_NY_quote
joint_ols,mean_market,lightgbm,all,907,105.44872334591132,105.47665838094848,0.0002648456584228,clock_NY_quote
joint_ols,mean_market,lightgbm,2026-01,346,76.7974204078109,80.28001177423877,0.0433805537575344,clock_NY_quote
joint_ols,mean_market,lightgbm,2026-02,324,111.99457943476342,110.10646278502362,-0.0171481001385562,clock_NY_quote
joint_ols,mean_market,lightgbm,2026-03,237,138.32844251804076,135.9322832712489,-0.0176275950725433,clock_NY_quote
joint_ols,all_references,ridge,all,907,53.67816788914551,105.47665838094848,0.4910896049126162,clock_NY_quote
joint_ols,all_references,ridge,2026-01,346,55.8153640855314,80.28001177423877,0.3047414561610452,clock_NY_quote
joint_ols,all_references,ridge,2026-02,324,48.44566544628485,110.10646278502362,0.5600107003630463,clock_NY_quote
joint_ols,all_references,ridge,2026-03,237,57.71133627537904,135.9322832712489,0.5754405437285436,clock_NY_quote
joint_ols,all_references,lightgbm,all,907,93.38109387253392,105.47665838094848,0.1146752721794541,clock_NY_quote
joint_ols,all_references,lightgbm,2026-01,346,67.19262184153806,80.28001177423877,0.1630217739566943,clock_NY_quote
joint_ols,all_references,lightgbm,2026-02,324,88.99463217528204,110.10646278502362,0.1917401583498436,clock_NY_quote
joint_ols,all_references,lightgbm,2026-03,237,137.61073485411268,135.9322832712489,-0.0123477038895494,clock_NY_quote
sequential_ols,mean_market,ridge,all,907,94.1317381156044,94.96183104849509,0.0087413324250958,clock_FXUTC_USNY_quote
sequential_ols,mean_market,ridge,2026-01,346,76.35545200253343,75.92352274466931,-0.0056890044382778,clock_FXUTC_USNY_quote
sequential_ols,mean_market,ridge,2026-02,324,102.364884909936,99.3977303955044,-0.0298513306352696,clock_FXUTC_USNY_quote
sequential_ols,mean_market,ridge,2026-03,237,108.82817454496774,116.69188710205076,0.0673886827299824,clock_FXUTC_USNY_quote
sequential_ols,mean_market,lightgbm,all,907,95.71943822735312,94.96183104849509,-0.0079780178045549,clock_FXUTC_USNY_quote
sequential_ols,mean_market,lightgbm,2026-01,346,76.08763034869696,75.92352274466931,-0.0021614856383778,clock_FXUTC_USNY_quote
sequential_ols,mean_market,lightgbm,2026-02,324,99.81079799001294,99.3977303955044,-0.0041557044900819,clock_FXUTC_USNY_quote
sequential_ols,mean_market,lightgbm,2026-03,237,118.78696971643856,116.69188710205076,-0.0179539697781696,clock_FXUTC_USNY_quote
sequential_ols,all_references,ridge,all,907,49.57892348219695,94.96183104849509,0.477906829146144,clock_FXUTC_USNY_quote
sequential_ols,all_references,ridge,2026-01,346,46.941104851841736,75.92352274466931,0.3817317327371045,clock_FXUTC_USNY_quote
sequential_ols,all_references,ridge,2026-02,324,49.2066236053129,99.3977303955044,0.5049522417713228,clock_FXUTC_USNY_quote
sequential_ols,all_references,ridge,2026-03,237,53.93888300208448,116.69188710205076,0.5377666404956396,clock_FXUTC_USNY_quote
sequential_ols,all_references,lightgbm,all,907,85.80687873071481,94.96183104849509,0.0964066532489776,clock_FXUTC_USNY_quote
sequential_ols,all_references,lightgbm,2026-01,346,68.81394827873274,75.92352274466931,0.093641261745007,clock_FXUTC_USNY_quote
sequential_ols,all_references,lightgbm,2026-02,324,80.37357276004094,99.3977303955044,0.1913942859637355,clock_FXUTC_USNY_quote
sequential_ols,all_references,lightgbm,2026-03,237,118.04293388212469,116.69188710205076,-0.0115778981180789,clock_FXUTC_USNY_quote
pca_1,mean_market,ridge,all,907,92.72046454588912,93.79695477790032,0.0114768143012765,clock_FXUTC_USNY_quote
pca_1,mean_market,ridge,2026-01,346,75.57267231081534,75.53011598098644,-0.0005634352506438,clock_FXUTC_USNY_quote
pca_1,mean_market,ridge,2026-02,324,100.71161717465893,97.54059333307984,-0.0325097862666341,clock_FXUTC_USNY_quote
pca_1,mean_market,ridge,2026-03,237,106.83018041767866,115.34711229627187,0.0738374087486235,clock_FXUTC_USNY_quote
pca_1,mean_market,lightgbm,all,907,94.14592080265253,93.79695477790032,-0.0037204408776223,clock_FXUTC_USNY_quote
pca_1,mean_market,lightgbm,2026-01,346,75.23658994051583,75.53011598098644,0.0038862119653636,clock_FXUTC_USNY_quote
pca_1,mean_market,lightgbm,2026-02,324,97.86258477263242,97.54059333307984,-0.003301101916133,clock_FXUTC_USNY_quote
pca_1,mean_market,lightgbm,2026-03,237,116.67093916563064,115.34711229627187,-0.0114768964996581,clock_FXUTC_USNY_quote
pca_1,all_references,ridge,all,907,49.762361452026354,93.79695477790032,0.4694671957116569,clock_FXUTC_USNY_quote
pca_1,all_references,ridge,2026-01,346,47.10669364363361,75.53011598098644,0.3763190611875664,clock_FXUTC_USNY_quote
pca_1,all_references,ridge,2026-02,324,49.53951817088797,97.54059333307984,0.4921138320153402,clock_FXUTC_USNY_quote
pca_1,all_references,ridge,2026-03,237,53.94405885621504,115.34711229627187,0.532332818894864,clock_FXUTC_USNY_quote
pca_1,all_references,lightgbm,all,907,84.74389464271239,93.79695477790032,0.0965176338253674,clock_FXUTC_USNY_quote
pca_1,all_references,lightgbm,2026-01,346,68.16139160194041,75.53011598098644,0.0975600829330249,clock_FXUTC_USNY_quote
pca_1,all_references,lightgbm,2026-02,324,79.18887817345899,97.54059333307984,0.1881443871984019,clock_FXUTC_USNY_quote
pca_1,all_references,lightgbm,2026-03,237,116.54714944501283,115.34711229627187,-0.0104037034378341,clock_FXUTC_USNY_quote
pca_2,mean_market,ridge,all,907,51.64846515848084,51.60538010990975,-0.000834894510598,clock_FXUTC_USNY_quote
pca_2,mean_market,ridge,2026-01,346,50.01351762960499,47.199192384518376,-0.0596265550935513,clock_FXUTC_USNY_quote
pca_2,mean_market,ridge,2026-02,324,51.71685036039439,49.83974858131326,-0.0376627457503853,clock_FXUTC_USNY_quote
pca_2,mean_market,ridge,2026-03,237,53.94186194991989,60.45181710674808,0.1076883287946938,clock_FXUTC_USNY_quote
pca_2,mean_market,lightgbm,all,907,49.75247458500736,51.60538010990975,0.0359052781116242,clock_FXUTC_USNY_quote
pca_2,mean_market,lightgbm,2026-01,346,44.84644779709627,47.199192384518376,0.0498471365411291,clock_FXUTC_USNY_quote
pca_2,mean_market,lightgbm,2026-02,324,49.60687299431231,49.83974858131326,0.0046724871940518,clock_FXUTC_USNY_quote
pca_2,mean_market,lightgbm,2026-03,237,57.11390996054506,60.45181710674808,0.0552159935955078,clock_FXUTC_USNY_quote
pca_2,all_references,ridge,all,907,52.99429414188665,51.60538010990975,-0.0269141323834603,clock_FXUTC_USNY_quote
pca_2,all_references,ridge,2026-01,346,51.78163493455417,47.199192384518376,-0.0970873084586689,clock_FXUTC_USNY_quote
pca_2,all_references,ridge,2026-02,324,53.08532355384045,49.83974858131326,-0.0651202115763496,clock_FXUTC_USNY_quote
pca_2,all_references,ridge,2026-03,237,54.64022897844363,60.45181710674808,0.0961358716156062,clock_FXUTC_USNY_quote
pca_2,all_references,lightgbm,all,907,50.54040139345469,51.60538010990975,0.0206369706838096,clock_FXUTC_USNY_quote
pca_2,all_references,lightgbm,2026-01,346,44.38157133604263,47.199192384518376,0.0596963826313252,clock_FXUTC_USNY_quote
pca_2,all_references,lightgbm,2026-02,324,51.67626139699517,49.83974858131326,-0.0368483563412374,clock_FXUTC_USNY_quote
pca_2,all_references,lightgbm,2026-03,237,57.978952274119074,60.45181710674808,0.0409063771939612,clock_FXUTC_USNY_quote
ae_selected,mean_market,ridge,all,907,1030.1991095579922,403.8584946553244,-1.5508912730366666,clock_FXUTC_USNY_quote
ae_selected,mean_market,ridge,2026-01,346,507.0729873405159,468.6017190694955,-0.0820980092591485,clock_FXUTC_USNY_quote
ae_selected,mean_market,ridge,2026-02,324,1027.1439311086556,469.85855216335113,-1.1860705235212117,clock_FXUTC_USNY_quote
ae_selected,mean_market,ridge,2026-03,237,1798.0958019834436,219.1109238540424,-7.206326596391969,clock_FXUTC_USNY_quote
ae_selected,mean_market,lightgbm,all,907,77.11144137415694,403.8584946553244,0.8090632179472461,clock_FXUTC_USNY_quote
ae_selected,mean_market,lightgbm,2026-01,346,75.68272325504118,468.6017190694955,0.8384924336058248,clock_FXUTC_USNY_quote
ae_selected,mean_market,lightgbm,2026-02,324,95.3476250393358,469.85855216335113,0.7970716408154529,clock_FXUTC_USNY_quote
ae_selected,mean_market,lightgbm,2026-03,237,54.2667703264612,219.1109238540424,0.752331972446019,clock_FXUTC_USNY_quote
ae_selected,all_references,ridge,all,907,1065.3776861585643,403.8584946553244,-1.637997467572938,clock_FXUTC_USNY_quote
ae_selected,all_references,ridge,2026-01,346,481.7236118912394,468.6017190694955,-0.0280022293725257,clock_FXUTC_USNY_quote
ae_selected,all_references,ridge,2026-02,324,1041.534928592517,469.85855216335113,-1.2166988847963265,clock_FXUTC_USNY_quote
ae_selected,all_references,ridge,2026-03,237,1950.058543322674,219.1109238540424,-7.899869112056129,clock_FXUTC_USNY_quote
ae_selected,all_references,lightgbm,all,907,74.86475865197785,403.8584946553244,0.814626262310338,clock_FXUTC_USNY_quote
ae_selected,all_references,lightgbm,2026-01,346,74.17954105091623,468.6017190694955,0.8417002370409249,clock_FXUTC_USNY_quote
ae_selected,all_references,lightgbm,2026-02,324,90.00832666737682,469.85855216335113,0.8084352700340239,clock_FXUTC_USNY_quote
ae_selected,all_references,lightgbm,2026-03,237,55.16251921306668,219.1109238540424,0.7482438655143803,clock_FXUTC_USNY_quote
joint_ols,mean_market,ridge,all,907,94.22049743400235,95.2600590308996,0.0109128800409417,clock_FXUTC_USNY_quote
joint_ols,mean_market,ridge,2026-01,346,76.39106686004196,76.32289119390163,-0.0008932531914589,clock_FXUTC_USNY_quote
joint_ols,mean_market,ridge,2026-02,324,102.55024995745178,99.39745853468403,-0.0317190345633193,clock_FXUTC_USNY_quote
joint_ols,mean_market,ridge,2026-03,237,108.86245169979428,117.25053427298882,0.0715398238925287,clock_FXUTC_USNY_quote
joint_ols,mean_market,lightgbm,all,907,95.57480724712369,95.2600590308996,-0.0033040942807098,clock_FXUTC_USNY_quote
joint_ols,mean_market,lightgbm,2026-01,346,76.1713699864758,76.32289119390163,0.0019852655612964,clock_FXUTC_USNY_quote
joint_ols,mean_market,lightgbm,2026-02,324,99.70050735290964,99.39745853468403,-0.0030488588208708,clock_FXUTC_USNY_quote
joint_ols,mean_market,lightgbm,2026-03,237,118.26199061383056,117.25053427298882,-0.0086264540039264,clock_FXUTC_USNY_quote
joint_ols,all_references,ridge,all,907,49.67066391679364,95.2600590308996,0.4785782790594123,clock_FXUTC_USNY_quote
joint_ols,all_references,ridge,2026-01,346,46.96653080331013,76.32289119390163,0.384633757073096,clock_FXUTC_USNY_quote
joint_ols,all_references,ridge,2026-02,324,49.420459969588336,99.39745853468403,0.5027995614963996,clock_FXUTC_USNY_quote
joint_ols,all_references,ridge,2026-03,237,53.960521031391984,117.25053427298882,0.539784433683191,clock_FXUTC_USNY_quote
joint_ols,all_references,lightgbm,all,907,85.8952230478608,95.2600590308996,0.0983081060237546,clock_FXUTC_USNY_quote
joint_ols,all_references,lightgbm,2026-01,346,69.099370603495,76.32289119390163,0.0946442211165056,clock_FXUTC_USNY_quote
