method,scope,algorithm,period,n,mse,baseline_mse,skill,scenario
sequential_ols,mean_market,ridge,all,907,94.1317381156044,94.96183104849509,0.0087413324250958,clock_UTC_quote
sequential_ols,mean_market,ridge,2026-01,346,76.35545200253343,75.92352274466931,-0.0056890044382778,clock_UTC_quote
sequential_ols,mean_market,ridge,2026-02,324,102.364884909936,99.3977303955044,-0.0298513306352696,clock_UTC_quote
sequential_ols,mean_market,ridge,2026-03,237,108.82817454496774,116.69188710205076,0.0673886827299824,clock_UTC_quote
sequential_ols,mean_market,lightgbm,all,907,95.71943822735312,94.96183104849509,-0.0079780178045549,clock_UTC_quote
sequential_ols,mean_market,lightgbm,2026-01,346,76.08763034869696,75.92352274466931,-0.0021614856383778,clock_UTC_quote
sequential_ols,mean_market,lightgbm,2026-02,324,99.81079799001294,99.3977303955044,-0.0041557044900819,clock_UTC_quote
sequential_ols,mean_market,lightgbm,2026-03,237,118.78696971643856,116.69188710205076,-0.0179539697781696,clock_UTC_quote
sequential_ols,all_references,ridge,all,907,49.57892348219695,94.96183104849509,0.477906829146144,clock_UTC_quote
sequential_ols,all_references,ridge,2026-01,346,46.941104851841736,75.92352274466931,0.3817317327371045,clock_UTC_quote
sequential_ols,all_references,ridge,2026-02,324,49.2066236053129,99.3977303955044,0.5049522417713228,clock_UTC_quote
sequential_ols,all_references,ridge,2026-03,237,53.93888300208448,116.69188710205076,0.5377666404956396,clock_UTC_quote
sequential_ols,all_references,lightgbm,all,907,85.80687873071481,94.96183104849509,0.0964066532489776,clock_UTC_quote
sequential_ols,all_references,lightgbm,2026-01,346,68.81394827873274,75.92352274466931,0.093641261745007,clock_UTC_quote
sequential_ols,all_references,lightgbm,2026-02,324,80.37357276004094,99.3977303955044,0.1913942859637355,clock_UTC_quote
sequential_ols,all_references,lightgbm,2026-03,237,118.04293388212469,116.69188710205076,-0.0115778981180789,clock_UTC_quote
pca_1,mean_market,ridge,all,907,92.72046454588912,93.79695477790032,0.0114768143012765,clock_UTC_quote
pca_1,mean_market,ridge,2026-01,346,75.57267231081534,75.53011598098644,-0.0005634352506438,clock_UTC_quote
pca_1,mean_market,ridge,2026-02,324,100.71161717465893,97.54059333307984,-0.0325097862666341,clock_UTC_quote
pca_1,mean_market,ridge,2026-03,237,106.83018041767866,115.34711229627187,0.0738374087486235,clock_UTC_quote
pca_1,mean_market,lightgbm,all,907,94.14592080265253,93.79695477790032,-0.0037204408776223,clock_UTC_quote
pca_1,mean_market,lightgbm,2026-01,346,75.23658994051583,75.53011598098644,0.0038862119653636,clock_UTC_quote
pca_1,mean_market,lightgbm,2026-02,324,97.86258477263242,97.54059333307984,-0.003301101916133,clock_UTC_quote
pca_1,mean_market,lightgbm,2026-03,237,116.67093916563064,115.34711229627187,-0.0114768964996581,clock_UTC_quote
pca_1,all_references,ridge,all,907,49.762361452026354,93.79695477790032,0.4694671957116569,clock_UTC_quote
pca_1,all_references,ridge,2026-01,346,47.10669364363361,75.53011598098644,0.3763190611875664,clock_UTC_quote
pca_1,all_references,ridge,2026-02,324,49.53951817088797,97.54059333307984,0.4921138320153402,clock_UTC_quote
pca_1,all_references,ridge,2026-03,237,53.94405885621504,115.34711229627187,0.532332818894864,clock_UTC_quote
