task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate,scenario
observed_change,baseline,without_positioning,linear_qr,0.1,all,577,9.595516940019602,8.587026022983327,-0.1174435612908393,0.1611785095320624,clock_UTC_quote
observed_change,baseline,without_positioning,linear_qr,0.1,2026-01,220,7.089922266204996,8.374700244345386,0.1534118166208843,0.1045454545454545,clock_UTC_quote
observed_change,baseline,without_positioning,linear_qr,0.1,2026-02,204,6.729661024979209,6.572494775461143,-0.0239127233854725,0.0784313725490196,clock_UTC_quote
observed_change,baseline,without_positioning,linear_qr,0.1,2026-03,153,17.019474030917998,11.578372727524982,-0.4699366164347101,0.3529411764705882,clock_UTC_quote
observed_change,baseline,without_positioning,linear_qr,0.5,all,577,16.75030637719917,17.137983525319658,0.0226209313101354,0.5597920277296361,clock_UTC_quote
observed_change,baseline,without_positioning,linear_qr,0.5,2026-01,220,13.414422716664394,14.26555639864685,0.0596635461104896,0.4818181818181818,clock_UTC_quote
observed_change,baseline,without_positioning,linear_qr,0.5,2026-02,204,16.076606158073623,16.601638280535468,0.0316253199587788,0.5686274509803921,clock_UTC_quote
observed_change,baseline,without_positioning,linear_qr,0.5,2026-03,153,22.44526879562573,21.983397890051634,-0.0210099870767979,0.6601307189542484,clock_UTC_quote
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,all,577,9.704298777340163,8.587026022983327,-0.1301117233564259,0.1785095320623916,clock_UTC_quote
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-01,220,7.128430180196471,8.374700244345386,0.1488136921665224,0.1181818181818181,clock_UTC_quote
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-02,204,7.007100586543595,6.572494775461143,-0.0661249382357949,0.1225490196078431,clock_UTC_quote
observed_change,baseline,without_positioning,quantile_lightgbm,0.1,2026-03,153,17.004426374033713,11.578372727524982,-0.4686369815690512,0.3398692810457516,clock_UTC_quote
observed_change,baseline,without_positioning,quantile_lightgbm,0.5,all,577,16.916464608768756,17.137983525319658,0.012925611477198,0.537261698440208,clock_UTC_quote
