method,scope,algorithm,scenario,period,n,zero_mse,probe_mse,past_mean_mse,skill_vs_zero,skill_vs_past_mean
joint_ols,mean_market,ridge,clock_UTC_quote,2026-02,324,99.02273827129252,102.55024995745178,99.39745853468405,-0.035623249242966226,-0.03171903456331915
joint_ols,mean_market,ridge,clock_UTC_quote,2026-03,237,114.8293721143523,108.8624516997943,117.25053427298882,0.051963363594950795,0.07153982389252855
pca_1,all_references,lightgbm,clock_UTC_quote,all,907,91.18537973824247,84.74389464271239,93.79695477790032,0.07064164358388447,0.09651763382536749
pca_1,all_references,lightgbm,clock_UTC_quote,2026-01,346,70.79346155725646,68.16139160194041,75.53011598098644,0.03717956287795432,0.09756008293302498
pca_1,all_references,lightgbm,clock_UTC_quote,2026-02,324,97.14198291219725,79.188878173459,97.54059333307983,0.18481303552312023,0.18814438719840187
pca_1,all_references,lightgbm,clock_UTC_quote,2026-03,237,112.81265510642737,116.54714944501285,115.34711229627187,-0.03310350540958695,-0.010403703437834144
pca_1,all_references,ridge,clock_UTC_quote,all,907,91.18537973824247,49.762361452026354,93.79695477790032,0.4542725862975555,0.46946719571165696
pca_1,all_references,ridge,clock_UTC_quote,2026-01,346,70.79346155725646,47.10669364363361,75.53011598098644,0.33458976849811795,0.3763190611875664
pca_1,all_references,ridge,clock_UTC_quote,2026-02,324,97.14198291219725,49.53951817088797,97.54059333307983,0.4900297823273305,0.4921138320153402
pca_1,all_references,ridge,clock_UTC_quote,2026-03,237,112.81265510642737,53.944058856215044,115.34711229627187,0.5218261745074233,0.532332818894864
pca_1,mean_market,lightgbm,clock_UTC_quote,all,907,91.18537973824247,94.14592080265253,93.79695477790032,-0.032467277900345426,-0.003720440877622355
pca_1,mean_market,lightgbm,clock_UTC_quote,2026-01,346,70.79346155725646,75.23658994051583,75.53011598098644,-0.06276184672317298,0.0038862119653636507
pca_1,mean_market,lightgbm,clock_UTC_quote,2026-02,324,97.14198291219725,97.86258477263242,97.54059333307983,-0.007418027086048884,-0.003301101916133087
pca_1,mean_market,lightgbm,clock_UTC_quote,2026-03,237,112.81265510642737,116.67093916563063,115.34711229627187,-0.03420080890360522,-0.011476896499658107
pca_1,mean_market,ridge,clock_UTC_quote,all,907,91.18537973824247,92.72046454588913,93.79695477790032,-0.016834769039217434,0.011476814301276561
