method,scope,algorithm,block_days,n,delta,relative_pct,ci_low,ci_high,scenario
pca_1,mean_market,ridge,3,907,-0.0632762699340013,-0.0609818936897389,-4.564283473645443,4.717179042170442,clock_NY_quote
pca_1,mean_market,ridge,7,907,-0.0632762699340013,-0.0609818936897389,-3.82982730718774,4.1993524212931,clock_NY_quote
pca_1,mean_market,lightgbm,3,907,-0.0013711817396538,-0.0013214631514167,-3.655914004821693,3.9134067171829137,clock_NY_quote
pca_1,mean_market,lightgbm,7,907,-0.0013711817396538,-0.0013214631514167,-3.557995698215316,4.3533644783461725,clock_NY_quote
pca_1,all_references,ridge,3,907,-50.06496996439763,-48.24963100911729,-60.45805204882258,-40.50693326955216,clock_NY_quote
pca_1,all_references,ridge,7,907,-50.06496996439763,-48.24963100911729,-56.66935755886957,-43.75895170936825,clock_NY_quote
pca_1,all_references,lightgbm,3,907,-11.746250095344251,-11.320335021556984,-18.69334559436492,-5.429840656141521,clock_NY_quote
pca_1,all_references,lightgbm,7,907,-11.746250095344251,-11.320335021556984,-19.38278455075727,-4.676294223222278,clock_NY_quote
pca_2,mean_market,ridge,3,907,-0.2603148281025136,-0.4817912755468586,-4.126456682644758,3.9989613609214425,clock_NY_quote
pca_2,mean_market,ridge,7,907,-0.2603148281025136,-0.4817912755468586,-3.6739097182259512,3.598706039034429,clock_NY_quote
pca_2,mean_market,lightgbm,3,907,-2.436834578237547,-4.5100989763188295,-5.093659635392781,0.3807676498228378,clock_NY_quote
pca_2,mean_market,lightgbm,7,907,-2.436834578237547,-4.5100989763188295,-4.984442669339401,0.5813812694950966,clock_NY_quote
pca_2,all_references,ridge,3,907,2.264912966899584,4.191906067277286,-1.8355695086653536,6.409771586662699,clock_NY_quote
pca_2,all_references,ridge,7,907,2.264912966899584,4.191906067277286,-0.9623202743903227,5.6918362243082194,clock_NY_quote
pca_2,all_references,lightgbm,3,907,-1.6595886077063058,-3.071570367382139,-4.518749122572093,1.4732200026676912,clock_NY_quote
pca_2,all_references,lightgbm,7,907,-1.6595886077063058,-3.071570367382139,-4.486465167452585,1.5796888397939273,clock_NY_quote
ae_selected,mean_market,ridge,3,907,811.5279790026576,174.4942812492864,502.0162403447485,1136.8879762002034,clock_NY_quote
ae_selected,mean_market,ridge,7,907,811.5279790026576,174.4942812492864,485.1762815056452,1172.7967172852009,clock_NY_quote
ae_selected,mean_market,lightgbm,3,907,-374.16118196449577,-80.45192304831716,-413.4112203054012,-336.30019431705824,clock_NY_quote
ae_selected,mean_market,lightgbm,7,907,-374.16118196449577,-80.45192304831716,-400.8107437658367,-345.514485115464,clock_NY_quote
ae_selected,all_references,ridge,3,907,821.5529851845586,176.64985233678024,525.8127886513355,1135.825205743938,clock_NY_quote
ae_selected,all_references,ridge,7,907,821.5529851845586,176.64985233678024,516.9150538549056,1162.7679516146438,clock_NY_quote
ae_selected,all_references,lightgbm,3,907,-376.0652210335427,-80.86132843842117,-414.9886185009228,-337.6477546869381,clock_NY_quote
ae_selected,all_references,lightgbm,7,907,-376.0652210335427,-80.86132843842117,-403.134544728719,-347.43038987057736,clock_NY_quote
joint_ols,mean_market,ridge,3,907,-0.0404617547430031,-0.0383608614115059,-4.552170954526553,4.739343248331527,clock_NY_quote
joint_ols,mean_market,ridge,7,907,-0.0404617547430031,-0.0383608614115059,-3.800979904262532,4.224732982861562,clock_NY_quote
joint_ols,mean_market,lightgbm,3,907,-0.027935035037144,-0.0264845658422846,-3.6562555419310594,3.9004133992281855,clock_NY_quote
joint_ols,mean_market,lightgbm,7,907,-0.027935035037144,-0.0264845658422846,-3.586076341041696,4.306813540791647,clock_NY_quote
joint_ols,all_references,ridge,3,907,-51.79849049180296,-49.108960491261605,-62.32700858155084,-42.10974957380734,clock_NY_quote
joint_ols,all_references,ridge,7,907,-51.79849049180296,-49.108960491261605,-58.4783401800614,-45.3264163342239,clock_NY_quote
joint_ols,all_references,lightgbm,3,907,-12.095564508414585,-11.467527217945426,-19.21239050249826,-5.643069029872125,clock_NY_quote
joint_ols,all_references,lightgbm,7,907,-12.095564508414585,-11.467527217945426,-19.85300368234812,-4.9048387555492425,clock_NY_quote
sequential_ols,mean_market,ridge,3,907,-0.8300929328906959,-0.8741332425095976,-4.198923347475478,2.732124399371526,clock_FXUTC_USNY_quote
sequential_ols,mean_market,ridge,7,907,-0.8300929328906959,-0.8741332425095976,-3.4605055365458024,1.8639283551307,clock_FXUTC_USNY_quote
