method,scope,algorithm,scenario,block_days,n,delta,relative_pct,ci_low,ci_high
ae_selected,all_references,lightgbm,clock_UTC_quote,3,907,-0.635001585492761,-0.8410643735761283,-2.601655168552223,1.3274771087237804
ae_selected,all_references,lightgbm,clock_UTC_quote,7,907,-0.635001585492761,-0.8410643735761283,-2.497078855997572,1.1470376142221022
ae_selected,all_references,ridge,clock_UTC_quote,3,907,989.8779259210941,1311.1007542376492,780.2907960033026,1225.6885280592355
ae_selected,all_references,ridge,clock_UTC_quote,7,907,989.8779259210941,1311.1007542376492,769.8202133404668,1227.5499364752636
ae_selected,mean_market,lightgbm,clock_UTC_quote,3,907,1.611681136686328,2.1346837812690813,0.18960556639970755,3.170057266902586
ae_selected,mean_market,lightgbm,clock_UTC_quote,7,907,1.611681136686328,2.1346837812690813,0.22505505625776356,3.039313958363301
ae_selected,mean_market,ridge,clock_UTC_quote,3,907,954.6993493205217,1264.5064650770948,748.5591856223446,1188.917345908872
ae_selected,mean_market,ridge,clock_UTC_quote,7,907,954.6993493205217,1264.5064650770948,732.8393090727453,1204.458737901728
joint_ols,all_references,lightgbm,clock_UTC_quote,3,907,-6.849085513589292,-7.384911936726831,-12.7613839120587,-1.388041980203579
joint_ols,all_references,lightgbm,clock_UTC_quote,7,907,-6.849085513589292,-7.384911936726831,-12.41530477676993,-1.539180196142484
joint_ols,all_references,ridge,clock_UTC_quote,3,907,-43.07364464465645,-46.4434371367564,-51.16109184987055,-35.34290669708607
joint_ols,all_references,ridge,clock_UTC_quote,7,907,-43.07364464465645,-46.4434371367564,-48.46625475900573,-38.22997049408586
joint_ols,mean_market,lightgbm,clock_UTC_quote,3,907,2.8304986856736107,3.0519378812320244,0.06585263856782281,5.538715563293029
joint_ols,mean_market,lightgbm,clock_UTC_quote,7,907,2.8304986856736107,3.0519378812320244,0.42245621132949396,5.487537108060599
joint_ols,mean_market,ridge,clock_UTC_quote,3,907,1.4761888725522931,1.5916759696086438,-1.4580130908139062,4.73691779306549
joint_ols,mean_market,ridge,clock_UTC_quote,7,907,1.4761888725522931,1.5916759696086438,-0.7260505652836906,3.8773318911595664
pca_1,all_references,lightgbm,clock_UTC_quote,3,907,-6.441485095530088,-7.0641643583884495,-12.301041398683225,-1.0268477010385895
pca_1,all_references,lightgbm,clock_UTC_quote,7,907,-6.441485095530088,-7.0641643583884495,-11.949498632018754,-1.2033447787402256
pca_1,all_references,ridge,clock_UTC_quote,3,907,-41.42301828621613,-45.427258629755556,-49.46706172369152,-33.732698403422624
pca_1,all_references,ridge,clock_UTC_quote,7,907,-41.42301828621613,-45.427258629755556,-46.716454142422016,-36.63735390256784
