name,stage,month,difference
tcn_training_main,cal,2026-01,-0.014467704847558152
tcn_training_main,cal,2026-02,-0.04039117493456682
tcn_training_main,cal,2026-03,-0.044021686463490875
tcn_training_main,raw,2026-01,-0.02036723654028096
tcn_training_main,raw,2026-02,-0.026176713612107133
tcn_training_main,raw,2026-03,-0.055962819045055505
tcn_financial_main,cal,2026-01,-0.011436174050042755
tcn_financial_main,cal,2026-02,-0.019141133772573933
tcn_financial_main,cal,2026-03,-0.020215559011694226
tcn_financial_main,raw,2026-01,-0.008288037907985551
tcn_financial_main,raw,2026-02,-0.020718966756271415
tcn_financial_main,raw,2026-03,-0.019547971950201793
tcn_interaction,cal,2026-01,-0.02164914752454104
tcn_interaction,cal,2026-02,-0.0388063375616384
tcn_interaction,cal,2026-03,-0.03725172869122329
tcn_interaction,raw,2026-01,-0.015690879880055623
tcn_interaction,raw,2026-02,-0.043083459715976664
tcn_interaction,raw,2026-03,-0.03476531558094461
tcn_max_minus_mean_tick,cal,2026-01,-0.02529227860982867
tcn_max_minus_mean_tick,cal,2026-02,-0.05979434371538602
tcn_max_minus_mean_tick,cal,2026-03,-0.06264755080910252
tcn_max_minus_mean_tick,raw,2026-01,-0.02821267648030877
tcn_max_minus_mean_tick,raw,2026-02,-0.04771844347009546
tcn_max_minus_mean_tick,raw,2026-03,-0.0733454768355278
tcn_max_minus_mean_shuffled,cal,2026-01,-0.003643131085287632
tcn_max_minus_mean_shuffled,cal,2026-02,-0.020988006153747622
tcn_max_minus_mean_shuffled,cal,2026-03,-0.025395822117879226
tcn_max_minus_mean_shuffled,raw,2026-01,-0.01252179660025315
tcn_max_minus_mean_shuffled,raw,2026-02,-0.004634983754118804
tcn_max_minus_mean_shuffled,raw,2026-03,-0.038580161254583197
tcn_tick_minus_shuffled_mean,cal,2026-01,-0.0006116002877722327
tcn_tick_minus_shuffled_mean,cal,2026-02,0.00026203500824526665
tcn_tick_minus_shuffled_mean,cal,2026-03,-0.0015896946660825851
tcn_tick_minus_shuffled_mean,raw,2026-01,-0.0004425979679577425
tcn_tick_minus_shuffled_mean,raw,2026-02,0.0008227631017169142
tcn_tick_minus_shuffled_mean,raw,2026-03,-0.002165314159729485
tcn_tick_minus_shuffled_max,cal,2026-01,-0.022260747812313273
tcn_tick_minus_shuffled_max,cal,2026-02,-0.03854430255339313
tcn_tick_minus_shuffled_max,cal,2026-03,-0.03884142335730588
tcn_tick_minus_shuffled_max,raw,2026-01,-0.01613347784801336
tcn_tick_minus_shuffled_max,raw,2026-02,-0.042260696614259755
tcn_tick_minus_shuffled_max,raw,2026-03,-0.0369306297406741
gru_training_main,cal,2026-01,-0.026013451497916885
gru_training_main,cal,2026-02,-0.04088354678341932
gru_training_main,cal,2026-03,-0.049060232558744796
gru_training_main,raw,2026-01,-0.02633896942121917
gru_training_main,raw,2026-02,-0.04486588784591837
gru_training_main,raw,2026-03,-0.05937497636584031
gru_financial_main,cal,2026-01,-0.007974613107339504
gru_financial_main,cal,2026-02,-0.013434008966457002
gru_financial_main,cal,2026-03,-0.015983452403363723
gru_financial_main,raw,2026-01,-0.008306147110289768
gru_financial_main,raw,2026-02,-0.011569288868655688
gru_financial_main,raw,2026-03,-0.01701823948672391
gru_interaction,cal,2026-01,-0.015209253964350238
gru_interaction,cal,2026-02,-0.024850986003971537
gru_interaction,cal,2026-03,-0.024114789435127036
gru_interaction,raw,2026-01,-0.015451752111483663
gru_interaction,raw,2026-02,-0.02199903310082721
gru_interaction,raw,2026-03,-0.023578095153668387
gru_max_minus_mean_tick,cal,2026-01,-0.03361807848009201
gru_max_minus_mean_tick,cal,2026-02,-0.0533090397854051
gru_max_minus_mean_tick,cal,2026-03,-0.06111762727630832
gru_max_minus_mean_tick,raw,2026-01,-0.034064845476961
gru_max_minus_mean_tick,raw,2026-02,-0.055865404396331975
gru_max_minus_mean_tick,raw,2026-03,-0.07116402394267451
gru_max_minus_mean_shuffled,cal,2026-01,-0.018408824515741766
gru_max_minus_mean_shuffled,cal,2026-02,-0.028458053781433554
gru_max_minus_mean_shuffled,cal,2026-03,-0.03700283784118128
gru_max_minus_mean_shuffled,raw,2026-01,-0.018613093365477337
gru_max_minus_mean_shuffled,raw,2026-02,-0.03386637129550477
gru_max_minus_mean_shuffled,raw,2026-03,-0.047585928789006124
gru_tick_minus_shuffled_mean,cal,2026-01,-0.00036998612516438357
gru_tick_minus_shuffled_mean,cal,2026-02,-0.0010085159644712348
gru_tick_minus_shuffled_mean,cal,2026-03,-0.003926057685800207
gru_tick_minus_shuffled_mean,raw,2026-01,-0.0005802710545479355
gru_tick_minus_shuffled_mean,raw,2026-02,-0.0005697723182420856
gru_tick_minus_shuffled_mean,raw,2026-03,-0.005229191909889718
gru_tick_minus_shuffled_max,cal,2026-01,-0.015579240089514626
gru_tick_minus_shuffled_max,cal,2026-02,-0.02585950196844277
gru_tick_minus_shuffled_max,cal,2026-03,-0.02804084712092724
gru_tick_minus_shuffled_max,raw,2026-01,-0.0160320231660316
gru_tick_minus_shuffled_max,raw,2026-02,-0.022568805419069297
gru_tick_minus_shuffled_max,raw,2026-03,-0.0288072870635581
gru_minus_tcn_interaction,cal,2026-01,0.006439893560190803
gru_minus_tcn_interaction,cal,2026-02,0.013955351557666867
gru_minus_tcn_interaction,cal,2026-03,0.013136939256096257
gru_minus_tcn_interaction,raw,2026-01,0.00023912776857195763
gru_minus_tcn_interaction,raw,2026-02,0.02108442661514946
gru_minus_tcn_interaction,raw,2026-03,0.011187220427276226
tcn_tick_max_vs_clean,cal,2026-01,-0.026721643204878475
tcn_tick_max_vs_clean,cal,2026-02,-0.06535789335642524
tcn_tick_max_vs_clean,cal,2026-03,-0.07198201636279254
tcn_tick_max_vs_clean,raw,2026-01,-0.02913074802808318
tcn_tick_max_vs_clean,raw,2026-02,-0.06922655709111739
tcn_tick_max_vs_clean,raw,2026-03,-0.08081554896542052
tcn_tick_max_vs_qr,cal,2026-01,-0.103206193650773
tcn_tick_max_vs_qr,cal,2026-02,-0.08192937957986006
tcn_tick_max_vs_qr,cal,2026-03,-0.04920853224134695
tcn_tick_max_vs_qr,raw,2026-01,-0.11203580405166895
tcn_tick_max_vs_qr,raw,2026-02,-0.05114530425166953
tcn_tick_max_vs_qr,raw,2026-03,-0.09149717974650391
gru_tick_max_vs_clean,cal,2026-01,-0.034756448400983
gru_tick_max_vs_clean,cal,2026-02,-0.05674192629616327
gru_tick_max_vs_clean,cal,2026-03,-0.06994119617349309
gru_tick_max_vs_clean,raw,2026-01,-0.03525836384677932
gru_tick_max_vs_clean,raw,2026-02,-0.062433632381396965
gru_tick_max_vs_clean,raw,2026-03,-0.07848501874789385
gru_tick_max_vs_qr,cal,2026-01,-0.11137863185346118
gru_tick_max_vs_qr,cal,2026-02,-0.11343976920282695
gru_tick_max_vs_qr,cal,2026-03,-0.07505263268501035
gru_tick_max_vs_qr,raw,2026-01,-0.1133578874794521
gru_tick_max_vs_qr,raw,2026-02,-0.13288226474569576
gru_tick_max_vs_qr,raw,2026-03,-0.07714907235386814
